Primary Industry Type,,Employer,Doing Business As,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state)
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","AECOM USA, INC",,"2,500 to 4,999",292,"AL, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IL, IN, KS, LA, MA, MD, MI, MN, NC, NH, NJ, NM, NV, NY, OH, OR, PA, PR, SC, TN, TX, UT, VA, VT, WA, WI, WV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","AECOM, Inc.",,"2,500 to 4,999",64,"AK, AL, CA, CO, CT, FL, GA, IL, IN, KS, MA, MD, MI, MN, MT, NC, NH, NJ, NY, PA, RI, SC, TX, VA, WA, WI, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Aerial Surveys International, LLC",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","AERIS, LLC",AERIS,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Aero Solutions LLC,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Aero Thermo Technology, Inc.",,20 to 99,7,"AK, AL, CO, FL, NE, NM, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Aerobiology Laboratory Associates, Inc.",,20 to 99,3,"CO, GA, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Aeroflex RAD, Inc.","Aeroflex RAD, Inc.",20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Aerospace Solutions Engineering,ASE,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","AES Group, Inc.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","AFC Tax and Financial Advisors, Inc",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","AFC Tax and Financial Advisors, Inc",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Affect Marketing LLC,,20 to 99,2,"CA, CO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Affirmitech, Inc",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Aftama,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Agapito Associates, Inc.","Agapito Associates, Inc.",20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",AGEISS Inc.,,100 to 499,2,"CO, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Agency Zero, LLC",Agency Zero,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Agileana, LC",,5 to 9,3,"CO, NC, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Agilent Technologies, Inc.",,"2,500 to 4,999",87,"AL, AZ, CA, CO, CT, DC, DE, GA, IL, KS, LA, MA, MD, MI, MN, NC, NJ, NM, NY, OH, PA, RI, TN, TX, VT, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Agility Recovery Solutions,,100 to 499,2,"CO, NC"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Agility Recovery Solutions Inc.,,20 to 99,3,"CO, GA, NC"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Agility Recovery Solutions, Inc",Agility Recovery Solutions,100 to 499,3,"CO, GA, NV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",AgTax Services of N.E.Colo.,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Air Force Academy Athletic Corporation,AFAAC,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Air Pollution Testing, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Air Resource Specialists, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Aircraft Performance Group, LLC",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Airport Development Group, Inc.",,10 to 19,3,"CO, KS, MS"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","AJAL Systems, Inc.","AJAL Systems, Inc.",5 to 9,2,"CO, NC"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Ajax Mountain Enterprises,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Akal Security Corporate,,100 to 499,92,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, GU, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SD, TN, TX, UT, VI, VT, WA, WI, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Akamai Technologies, Inc.",,"2,500 to 4,999",12,"CA, CO, GA, IL, MA, NY, TX, VA, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Akima Facilities Management, LLC",,100 to 499,13,"CA, CO, FL, KY, NC, NM, PA, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Akonia Holographics, LLC",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Aktarius Technical Services LLC,,10 to 19,4,"CO, FL, MO, NV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Alar Staffing Corp.,,500 to 999,20,"AZ, CA, CO, FL, GA, HI, IL, LA, MA, MD, MI, NC, NJ, NV, NY, OK, OR, TX, VA, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Alarm.com, Inc.",,500 to 999,6,"CO, FL, KS, MA, MN, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","ALATEC, Inc.",,100 to 499,10,"AL, CO, DC, FL, NM, OK, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Alcatel-Lucent,,"10,000 and over",5,"AZ, CO, GA, MN, MO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Alchemy Security Llc,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","ALD NanoSolutions, Inc.",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Aldea Services Inc,,20 to 99,5,"CA, CO, GA, MD, OH"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Alden Research Laboratory Incorporated,,20 to 99,5,"CO, MA, OR, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Alem International Management, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Aleutian Consulting,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Alexius Solutions LLC,,10 to 19,2,"CO, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Alfred Benesch & Co.,,500 to 999,35,"CO, CT, FL, GA, IL, IN, KS, MA, MI, MO, NC, NE, OH, PA, TN, TX, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Alignex Inc.,,20 to 99,3,"CO, MN, NE"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Alion Science and Technology,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","All Traffic Data Services, Inc.",,10 to 19,5,"CO, FL, GA, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Allegheny Science and Technology,,100 to 499,16,"CA, CO, DC, FL, ID, MD, MN, NC, NM, NV, NY, OH, TX, VA, WV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Allegiance Consulting, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Alliance Engineering,,100 to 499,2,"CO, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Alliance for Sustainable Energy, LLC",National Renewable Energy Laboratory,"1,000 to 2,499",1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Allied Associates International,Allied Associates International,100 to 499,3,"AL, CO, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Allied GIS, Inc.",,10 to 19,2,"AK, CO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Allied Global LLC,Talent Navigation Experts,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Allogy,,10 to 19,11,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Allonhill,,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",AlloSource,,500 to 999,8,"CA, CO, IL, MN, MO, NY, OH, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Allott Immigration Law Firm,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",alm2s,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Almanac Technologies,  LLC",,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ALN Medical Management,,100 to 499,2,"CO, NE"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Alpha Pest Control, Inc.",Alpha Ecological,100 to 499,6,"AZ, CO, ID, OR, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Alpha Security,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Alpha Security Solutions, Inc.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Alphabet Inc [Google LLC, Waymo, LLC, Loon LLC, Chronicle LLC and its subsidiaries and affiliates]",,"10,000 and over",363,"AL, CA, CO, DC, FL, GA, IL, KY, MA, MI, MN, MO, NC, NJ, NY, OH, OR, PA, TN, TX, UT, VA, VT, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",AlphaTRAC Inc,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Alpine Archaeological Consultants, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Alpine Urology PC,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ALPINE VETERINARY SERVICE LLC,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Alpine Winds Landscaping,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","ALS Group USA, Corp",,100 to 499,4,"AZ, CO, TX, UT"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","ALS Group USA, Corp",ALS Global,"1,000 to 2,499",14,"AZ, CA, CO, FL, IN, MI, NY, OH, PA, TX, UT, WA, WV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","ALS Group USA, Corp.",ALS Environmental,500 to 999,20,"AZ, CA, CO, FL, IN, MD, MI, NY, OH, PA, TX, UT, WA, WV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","ALS Marshfield, LLC",ALS Global,100 to 499,8,"CO, KS, MN, NC, NE, OH, TX, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","ALS Reservoir Laboratories, LLC","ALS Reservoir Laboratories, LLC",10 to 19,2,"CO, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Alta Planning & Design, Inc.",,100 to 499,31,"AR, CA, CO, CT, DC, FL, GA, MA, MD, MN, MO, NC, NY, OR, PA, SC, TN, TX, UT, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Altegrity Management,Riveron Consulting,100 to 499,8,"CO, GA, IL, MN, NY, TX, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Alterian, Inc.",,100 to 499,6,"CA, CO, CT, IL, NY, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Alteryx, Inc.",,500 to 999,6,"CA, CO, IL, NY, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Alteryx, Inc.",Alteryx,100 to 499,5,"CA, CO, IL, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Altimetrik Corp,,100 to 499,3,"AZ, CO, GA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Altoros Americas LLC,,5 to 9,3,"CA, CO, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Altura Land Consultants,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Alutiiq, LLC",,"2,500 to 4,999",54,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, GU, HI, IA, ID, IL, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Alvarez & Marsal Holdings, LLC",,"1,000 to 2,499",23,"AL, AZ, CA, CO, CT, DC, FL, GA, IL, MA, MI, MO, NC, NY, PA, TN, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Alvarez and Marsal,,"1,000 to 2,499",25,"AL, AZ, CA, CO, DC, FL, GA, IL, LA, MA, MI, MO, NC, NY, PA, TN, TX, VA, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Alvarez LLC,,10 to 19,2,"CO, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","AM-PM Event Security, LLC",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Amadeus Consulting,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Amadeus Consulting Group, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Ambient Air Technologies, LLC",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Ambient Energy Inc,Ambient Energy Inc,10 to 19,2,"CA, CO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Ambient Energy, Inc",Ambient Energy,10 to 19,2,"CA, CO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","AMBL Consulting Group, Inc.",,10 to 19,3,"CA, CO, MI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","AMEC E&I Holdings, Inc.",,"2,500 to 4,999",57,"AK, AL, AZ, CA, CO, CT, FL, GA, IL, KY, MA, MD, ME, MI, MO, NC, NJ, NV, OH, PA, SC"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Amelie Company,Amelie Company,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","American Automation Building Solutions, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",American Cybersystems Inc.,ACS Group,"2,500 to 4,999",29,"AL, AZ, CA, CO, FL, GA, IL, KS, KY, MA, MD, MI, MN, MO, NC, NJ, NY, OH, TN, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","American CyberSystems Inc.,",,"2,500 to 4,999",30,"AL, AZ, CA, CO, FL, GA, IL, KS, KY, MA, MD, MI, MN, MO, NC, NJ, NY, OH, TN, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",American Data Group Inc.,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","American Energy Solutions, Inc.",American Energy Solutions,10 to 19,5,"AL, CA, CO, KS, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",American Financing Corporation,,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",American Innovations,,20 to 99,2,"CO, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",American Innovations LTD,,100 to 499,2,"CO, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",American Merchandising Specialists,,100 to 499,52,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","American Research Associates, LLC",,5 to 9,5,"AZ, CO, IL, OK, PA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",American Title Services Company,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Amgen, Inc.",,"10,000 and over",17,"CA, CO, DC, KY, MA, MD, PR, RI, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",aMind Solutions LLC,,20 to 99,24,"AZ, CA, CO, CT, MA, MN, NC, PA, RI, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Amplexor Inc,,20 to 99,2,"CO, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Ampt, LLC",Ampt Services,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Analysis Group, Inc.",,500 to 999,9,"CA, CO, DC, IL, MA, NY, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Analyst International,,"1,000 to 2,499",51,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Analysts International,,"2,500 to 4,999",32,"AL, AZ, CA, CO, FL, GA, IL, IN, KS, KY, MD, MI, MN, MO, NC, NJ, NV, NY, OH, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Analysts International,,"2,500 to 4,999",30,"AL, AZ, CA, CO, FL, GA, IL, KS, KY, MA, MD, MI, MN, MO, NC, NJ, NY, OH, TN, TX, WA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Analytic Services Inc.,,100 to 499,3,"CO, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Analytical Systems Incorporated,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Analytics Computer Information Systems Inc.,,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Analytics Computer Information Systems, Inc",Analytics,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Anark Corporation,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Anderson Consulting Engineers, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Anderson Mason Dale Architects, P.C.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Anderson Mason Dale Architects, PC",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Andrews & Anderson Architects, PC",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Animal Arts Design Studios, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Animal Care Center of Castle Rock,Animal Care Center of Castle Pines,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Animal Clinic West O Street P.C.,,10 to 19,2,"CO, NE"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Animal Eye Center, PC",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Animas Valley Arborist, Inc.",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Ankura Consulting Group, LLC.",,500 to 999,14,"CA, CO, DC, GA, IL, MA, NJ, NY, PA, PR, TN, TX, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ANOMALI INCORPORATED,,100 to 499,11,"CA, CO, FL, GA, IL, MA, MN, NC, NJ, OR, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Answer Engineering, LLP",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Answerquest Contract Staffing LLC,,10 to 19,5,"CO, DE, FL, NJ, NY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ANSYS Inc,,100 to 499,18,"AZ, CA, CO, FL, GA, IL, IN, MA, MI, NH, NJ, NY, OK, PA, SC, TX, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Antares Group Incorporated,Antares Group Inc,10 to 19,4,"CO, MD, NY, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Antech Inc,Antech Corp,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Apecs, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Apex Design, PC",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","APEX Emergency Group, PC",,20 to 99,3,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Apex Petroleum Engineering Inc.,,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Apogee Consulting Group, P.A.",,20 to 99,8,"CO, GA, IN, MN, NC, NV, PA, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Apogee Engineering, LLC",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Apogee Engineering, LLC",,100 to 499,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Apogee Engineering,LLC","Apogee Engineering, LLC",20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Apogee Scientific, Inc",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Apolent Corporation,,20 to 99,5,"CA, CO, TX"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Applegate Group, Inc.",,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Applied Design Corporation,,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Applied Engineering Services, Inc.","Applied Engineering Services, Inc.",20 to 99,3,"CA, CO, ID"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Applied Physical Sciences Corp,,100 to 499,5,"CA, CO, CT, MA, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Applied Research Associates, Inc.",,"1,000 to 2,499",10,"CO, FL, IL, MD, MS, NC, NM, OH, PA, VT"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Applied Research Associates, Inc.","Applied Research Associates, Inc.","1,000 to 2,499",41,"AL, AZ, CA, CO, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Applied Sciences and Information Systems, Inc.","AScIS, Inc.",20 to 99,20,"AZ, CA, CO, GA, HI, KS, KY, LA, MD, MO, NC, NJ, NY, OK, PR, SC, TN, TX, UT, VA"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Applied Trust Engineering, Inc.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",APR Consulting Co.,Advertising Production Resources,20 to 99,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Aqua Engineering, Inc.","Aqua Engineering, Inc.",10 to 19,2,"AZ, CO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Aqua Sierra, Inc.",,10 to 19,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Aquacraft, Inc",,5 to 9,1,CO
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",AquAeTer Inc.,,20 to 99,3,"CO, NC, TN"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Aquaterra Environmental Solutions, Inc.",,20 to 99,10,"CO, IL, KS, MO, NE, OK"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Aquent LLC,,100 to 499,32,"CA, CO, CT, DC, FL, GA, IL, IN, MA, MD, MI, MN, MO, NC, NJ, NY, OR, PA, TX, VA, WA, WI"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Aqwest LLC,,5 to 9,2,"CA, CO"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","ARAMARK Clinical Technology Services,LLC",,"1,000 to 2,499",54,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, GU, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY"
54,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","Arapahoe Fire Protection, Inc.","Arapahoe Fire Protection, Inc.",20 to 99,1,CO
