,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,APPLICATION_TYPE,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
1055,C-10032-49136,2010-02-05,2010-02-01,CERTIFIED,H-2B,PA,2010-04-01,2010-10-31,"S&S AMUSEMENTS, INC.",1052 LAKELAND DR.,,SCOTT TOWNSHIP,PA,18433,"JOE ANGEL NICHOLS - LAW OFFICES OF JOE A. NICHOLS,",SANFORD,FL,349.664-010,AMUSEMENT PARK WORKER,26.0,26,306.4,WK,306.4,WK
1056,C-10102-49857,2010-04-29,2010-04-12,CERTIFIED,H-2B,PA,2010-04-01,2010-12-15,"INTERSTATE BUILDING MATERIALS, INC.",3000 N TOWNSHIP BLVD.,,PITTSTON TOWNSHIP,PA,18640,JOE A NICHOLS,SANFORD,FL,521.685-102,CUTTING MACHINE OPERATOR,17.0,17,10.8,HR,10.8,HR
1057,C-10025-49011,2010-02-10,2010-01-25,CERTIFIED,H-2B,PA,2010-04-01,2010-11-30,"GREEN VALLEY LANDSCAPING, INC.",52 REESE ST.,,PLAINS,PA,18702,WILLIAM VELIE VELIE,NORMAN,OK,408.687-014,"LABORER, LANDSCAPE",4.0,4,10.23,HR,10.23,HR
1058,C-10211-50689,2010-08-20,2010-07-30,DENIED,H-2B,PA,2010-10-01,2011-02-01,DEAD SEA LEGEND LLC DBA DEAD SEA LEGEND,15 NEW FREDERICK ST.,,WILKES-BARRE,PA,18702,SIUPO CHAN,CHAMBLEE,GA,262.357-018,"SALESPERSON, COSMETICS AND TOILETRIES",10.0,0,7.87,HR,7.87,HR
1059,C-09358-48083,2010-01-06,2009-12-23,CERTIFIED,H-2B,PA,2010-04-01,2010-11-30,"WYBLE LAWN & LANDSCAPE, INC.",251 EAST ROAD,,DOYLESTOWN,PA,18901,WILLIAM P. VELIE,NORMAN,OK,408.687-014,"LABORER, LANDSCAPE",3.0,3,,,,
1060,C-09358-48111,2009-12-30,2009-12-23,CERTIFIED,H-2B,PA,2010-03-15,2010-11-30,"GORECON, INC.",4355 BURNT HOUSE HILL RD,,DOYLESTOWN,PA,18902,FERNANDO ERNESTO SAENZ / WORKFORCE ADVANTAGE,GLEN ALLEN,VA,408.687-014,"LABORER, LANDSCAPE",20.0,20,9.91,HR,9.91,HR
1061,C-09362-48195,2009-12-30,2009-12-24,CERTIFIED,H-2B,PA,2010-04-01,2010-11-30,"TOTAL TURF LANDSCAPE SERVICES, INC.",2647 COUNTY LINE ROAD,,CHALFONT,PA,18914,WILLIAM VELIE VELIE,NORMAN,OK,408.687-014,"LABORER, LANDSCAPE",50.0,50,9.91,HR,9.91,HR
1062,C-09363-48232,2010-01-13,2009-12-28,CERTIFIED,H-2B,PA,2010-04-01,2010-12-13,THE LINGO GROUP INC.,1170 TIMBER LANE,,CHALFONT,PA,18914,"MASLABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",20.0,20,9.91,HR,9.91,HR
1063,C-10071-49628,2010-03-17,2010-03-12,PARTIAL CERTIFIED,H-2B,PA,2010-04-25,2010-12-15,"A.H. CORNELL & SON, INC.",2362 YORK ROAD,,JAMISON,PA,18929,ROBERT L. WINGFIELD,DALLAS,TX,408.687-014,"LABORER, LANDSCAPE",10.0,9,9.91,HR,9.91,HR
1064,C-09321-47251,2009-12-01,2009-11-17,CERTIFIED,H-2B,PA,2010-03-01,2010-12-15,T & T LANDSCAPING SERVICES INC.,518 HILLTOWN PIKE,,LINE LEXINGTON,PA,18932,MICHELLE SELINA SKOLE / LAW OFFICE OF MICHELLE SKO,BENSALEM,PA,408.687-014,"LABORER, LANDSCAPE",8.0,8,9.91,HR,9.91,HR
1065,C-09331-47408,2009-12-02,2009-11-27,PARTIAL CERTIFIED,H-2B,PA,2010-03-02,2010-12-01,REALTY LANDSCAPING CORPORATION,2585 SECOND STREET PIKE,,NEWTOWN,PA,18940,RITA ROMERO / FEDERATION OF EMPLOYERS & WORKERS OF,BAY CITY,TX,408.687-014,"LABORER, LANDSCAPE",100.0,99,9.91,HR,9.91,HR
1066,C-09342-47551,2009-12-10,2009-12-08,CERTIFIED,H-2B,PA,2010-03-01,2010-12-31,"H.S.W., INC. DBA NEWTOWN RENTAL CENTER",861 NEWTOWN YARDLEY RD,,NEWTOWN,PA,18940,BRANDI  COWAN,BAY CITY,TX,509.687-026,"LABORER, GENERAL",4.0,4,9.38,HR,9.38,HR
1067,C-10005-48497,2010-01-25,2010-01-05,PARTIAL CERTIFIED,H-2B,PA,2010-04-01,2010-12-01,"SERGIO'S POOL SERVICES, INC.",135 DURHAM ROAD,,OTTSVILLE,PA,18942,STEVEN P. BARSAMIAN,PHILADELPHIA,PA,842.361-018,PLASTERER,20.0,14,,,,
1068,C-09327-47334,2009-12-09,2009-11-23,CERTIFIED,H-2B,PA,2010-02-02,2010-11-15,"BRILL LANDSCAPING, INC.",1574 ELEPHANT ROAD,,PERKASIE,PA,18944,"ELIZABETH D. WHITLEY / MAS LABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",25.0,25,9.91,HR,9.91,HR
1069,C-09329-47389,2010-01-07,2009-11-25,DENIED,H-2B,PA,2010-04-02,2010-12-31,CHRIS ORSER LANDSCAPING,211 MIDDLE RD.,,PERKASIE,PA,18944,,,,408.687-014,"LABORER, LANDSCAPE",16.0,0,9.91,HR,9.91,HR
1070,C-10085-49766,2010-04-09,2010-03-26,DENIED,H-2B,PA,2010-04-02,2010-12-31,"CHRIS ORSER LANDSCAPING, INC.",211 MIDDLE ROAD,,PERKASIE,PA,18944,,,,408.687-014,"LABORER, LANDSCAPE",16.0,0,9.91,HR,9.91,HR
1071,C-10119-50011,2010-05-04,2010-04-29,CERTIFIED,H-2B,PA,2010-05-03,2010-12-31,CHRIS ORSER LANDSCAPING INC,211 MIDDLE RD.,"P.O. BOX 1175, DOYLESTOWN, PA 18901",PERKASIE,PA,18944,BRANDI COWAN,BAY CITY,TX,408.687-014,"LABORER, LANDSCAPE",16.0,16,9.91,HR,9.91,HR
1072,C-09357-48027,2009-12-29,2009-12-22,CERTIFIED,H-2B,PA,2010-04-01,2010-12-01,SHAN-GRI-LA FARM,6176 HARING ROAD,,PLUMSTEADVILLE,PA,18949,ELIZABETH D. WHITLEY,LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",9.0,9,9.91,HR,9.91,HR
1073,C-09320-47186,2009-11-20,2009-11-16,CERTIFIED,H-2B,PA,2010-02-06,2010-12-06,DERSTINE LANDSCAPING,PO BOX 64076,511 CHERRY ROAD,SOUDERTON,PA,18964,BRANDI C. COWAN/ FEDERATION OF EMPLOYERS & WORKERS,BAY CITY,TX,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",23.0,23,9.91,HR,9.91,HR
1074,C-09316-47125,2009-12-04,2009-11-12,CERTIFIED,H-2B,PA,2009-12-15,2010-03-31,AMC NURSERY AND LANDSCAPING INC.,70 HATFIELD SOUDERTON PIKE SUITE 200,,SOUDERTON,PA,18964,WILLIAM P VELIE,NORMAN,OK,408.687-014,"LABORER, LANDSCAPE",7.0,7,11.74,HR,11.74,HR
1075,C-10088-49771,2010-04-07,2010-03-29,CERTIFIED,H-2B,PA,2010-04-01,2010-12-15,"AMC NURSERY & LANDSCAPING, INC.",70 HATFIELD- SOUDERTON PIKE SUITE 200,,SOUDERTON,PA,18964,"CRAIG MCDOUGAL / WILLIAM VELIE, ATTORNEY AT LAW, P",NORMAN,OK,408.687-014,"LABORER, LANDSCAPE",7.0,7,9.91,HR,9.91,HR
1076,C-09357-47986,2009-12-29,2009-12-21,CERTIFIED,H-2B,PA,2010-04-01,2010-12-15,HUNTINGDON LANDSCAPE GROUP,295 W. STREET ROAD,PO BOX 2482,WARMINSTER,PA,18974,MICHELLE SELINA SKOLE,BENSALEM,PA,408.687-014,"LABORER, LANDSCAPE",10.0,10,,,,
1077,C-10063-49560,2010-03-26,2010-03-04,CERTIFIED,H-2B,PA,2010-04-01,2010-11-30,HOPE RACING STABLE,1880 SPENCER ROAD,,IVYLAND,PA,18974,RON KATIRAEI,JACKSON HEIGHTS,NY,410.674-022,STABLE ATTENDANT,15.0,15,7.67,HR,7.67,HR
1078,C-09358-48115,2009-12-30,2009-12-23,CERTIFIED,H-2B,PA,2010-04-01,2010-12-13,DETAILED ENVIRONMENTS,2888 WEST BRISTOL ROAD,,WARRINGTON,PA,18976,ELIZABETH D. WHITLEY,LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",65.0,65,9.91,HR,9.91,HR
1079,C-09362-48167,2010-01-06,2009-12-23,CERTIFIED,H-2B,PA,2010-04-01,2010-11-30,LANKFORD LANDSCAPING I L.L.C,416 KANSAS ROAD (P.O. BOX 306),,WARRINGTON,PA,18976,"WILLIAM VELIE VELIE, ATTORNEYS AT LAW, PLLC",NORMAN,OK,408.687-014,"LABORER, LANDSCAPE",5.0,5,8.56,HR,8.56,HR
1080,C-09358-48082,2010-01-06,2009-12-23,CERTIFIED,H-2B,PA,2010-04-01,2010-11-30,"HOLLY DAYS NURSERY, INC.",1201 HORSHAM RD,,AMBLER,PA,19002,WILLIAM P. VELIE,NORMAN,OK,408.687-014,"LABORER, LANDSCAPE",5.0,5,,,,
1081,C-10015-48774,2010-01-20,2010-01-14,CERTIFIED,H-2B,PA,2010-04-01,2010-12-13,"DISHLER LANDSCAPING, INC.",110 PARK ROAD,P.O. BOX 158,BLUE BELL,PA,19002,"ELIZABETH D. WHITLEY / MAS LABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",11.0,11,9.91,HR,9.91,HR
1082,C-10033-49150,2010-02-17,2010-02-02,CERTIFIED,H-2B,PA,2010-04-01,2010-12-31,"HOLLY DAYS NURSERY, INC.",1201 HORSHAM RD,,AMBLER,PA,19002,WILLIAM VELIE,NORMAN,OK,408.687-014,"LABORER, LANDSCAPE",3.0,3,9.91,HR,9.91,HR
1083,C-09331-47416,2010-01-22,2009-11-27,DENIED,H-2B,PA,2010-01-01,2010-06-15,"ZAMPELL REFRACTORIES, INC.",1650 REPUBLIC ROAD,,HUNTINGDON VALLEY,PA,19006,MATTHEW HIRSCH,WAYNE,PA,849.484-010,"BOILER RELINER, PLASTIC BLOCK",30.0,0,26.44,HR,26.44,HR
1084,C-09362-48196,2009-12-30,2009-12-24,CERTIFIED,H-2B,PA,2010-04-01,2010-10-31,"F. C. YOUNG & CO., INC DBA YOUNGCRAFT",400 HOWELL ST.,,BRISTOL,PA,19007,GREGORY J. PALAKOW,FLEMINGTON,NJ,920.587-018,"PACKAGER, HAND",25.0,25,7.64,HR,7.64,HR
1085,C-09363-48292,2010-01-05,2009-12-29,PARTIAL CERTIFIED,H-2B,PA,2010-04-01,2010-12-13,"SHARP'S LANDSCAPING, INC.",7911 NORTH RADCLIFFE STREET,,BRISTOL,PA,19007,"ELIZABETH D. WHITLEY / MASLABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",55.0,48,9.91,HR,9.91,HR
1086,C-10088-49772,2010-04-01,2010-03-29,CERTIFIED,H-2B,PA,2010-04-01,2010-12-31,"RICK'S LAWN AND LANDSCAPING, LLC",2630 WEST CHESTER PIKE APT. J2,,BROOMALL,PA,19008,CRAIG MCDOUGAL,NORMAN,OK,408.687-014,"LABORER, LANDSCAPE",5.0,5,9.91,HR,9.91,HR
1087,C-10004-48423,2010-01-14,2009-12-31,CERTIFIED,H-2B,PA,2010-04-01,2010-12-01,MONTGOMERY NURSERY,948 SPROUL ROAD,,BRYN MAWR,PA,19010,STEVEN P. BARSAMIAN,PHILADELPHIA,PA,408.687-014,"LABORER, LANDSCAPE",6.0,6,,,,
1088,C-10022-48976,2010-01-28,2010-01-22,CERTIFIED,H-2B,PA,2010-04-01,2010-11-30,DAMN GOOD SERVICES LANDSCAPING LLC DBA D.G.S. LAND,2622B WEST 4TH STREET,,CHESTER,PA,19013,"WILLIAM VELIE, ATTORNEYS AT LAW, PLLC",NORMAN,OK,408.687-014,"LABORER, LANDSCAPE",3.0,3,11.74,HR,11.74,HR
1089,C-09308-46984,2009-12-07,2009-11-04,DENIED,H-2B,PA,2009-12-01,2010-03-31,"IVS LANDSCAPING, LTD.",4828 PENNELL ROAD,WAREHOUSE GARAGE B.,ASTON,PA,19014,SHARON D. ALEXANDER,KENNETT SQUARE,PA,869.684-074,UTILITY WORKER,10.0,0,9.91,HR,9.91,HR
1090,C-09362-48222,2009-12-31,2009-12-24,CERTIFIED,H-2B,PA,2010-04-01,2010-11-30,"BURKHOLDER BROTHERS, INC.",266 BODLEY ROAD,SUITE 3,ASTON,PA,19014,WILLIAM VELIE VELIE,NORMAN,OK,408.687-014,"LABORER, LANDSCAPE",4.0,4,,,,
1091,C-09357-47984,2009-12-28,2009-12-21,CERTIFIED,H-2B,PA,2010-04-01,2010-12-15,"C. CARAMANICO & SONS, INC.",6 RACE STREET,,UPLAND,PA,19015,INTERNATIONAL LABOR MANAGEMENT CORP.,VASS,NC,408.687-014,"LABORER, LANDSCAPE",20.0,20,9.91,HR,9.91,HR
1092,C-10144-50162,2010-06-01,2010-05-24,CERTIFIED,H-2B,PA,2010-04-01,2010-12-01,LESLYE BOUCHARD,3001 STREET RD,,BENSALEM,PA,19020,CRAIG MCDOUGAL,NORMAN,OK,410.674-010,ANIMAL CARETAKER,1.0,1,,,,
1093,C-09357-48069,2009-12-29,2009-12-22,PARTIAL CERTIFIED,H-2B,PA,2010-04-01,2010-12-20,"J. DOWNEND LANDSCAPING, INC.",411 SMILEY STREET,,CRUM LYNNE,PA,19022,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",40.0,35,,,,
1094,C-09364-48363,2010-01-13,2009-12-30,PARTIAL CERTIFIED,H-2B,PA,2010-04-01,2010-12-01,"PRIMAVERA LANDSCAPE SERVICES, INC.",7439 KEIFFER STREET,,PHILADELPHIA,PA,19028,"STEVEN P. BARSAMIAN, LAW OFFICES OF STEVEN P. BARS",PHILADELPHIA,PA,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",18.0,17,9.91,HR,9.91,HR
1095,C-10015-48798,2010-01-21,2010-01-14,CERTIFIED,H-2B,PA,2010-04-01,2010-12-15,"DEL VACCHIO LANDSCAPES, INC",PO BOX 237,"5251 WEST CHESTER PIKE, NEWTOWN SQUARE, PA 19073",EDGEMONT,PA,19028,,,,408.687-014,"LABORER, LANDSCAPE",8.0,8,,HR,9.91,HR
1096,C-09363-48308,2010-01-05,2009-12-29,CERTIFIED,H-2B,PA,2010-04-01,2010-12-25,"JOSEPH F. MARTIN, JR. DBA MARTIN'S LAWN SERVICE",1074 MORTON AVE,,FOLSOM,PA,19033,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",9.0,9,,,,
1097,C-09362-48173,2009-12-31,2009-12-24,PARTIAL CERTIFIED,H-2B,PA,2010-04-01,2010-11-19,PHILADELPHIA COUNTRY CLUB,1601 SPRING MILL RD,,GLADWYNE,PA,19035,ROBERT L. WINGFIELD,DALLAS,TX,408.687-014,"LABORER, LANDSCAPE",17.0,14,,HR,9.92,HR
1098,C-10081-49701,2010-03-24,2010-03-22,CERTIFIED,H-2B,PA,2010-05-01,2010-11-01,PHILADELPHIA COUNTRY CLUB,1601 SPRING MILL ROAD,,GLADWYNE,PA,19035,MATTHEW S. DUNN,NEW YORK,NY,350.677-030,WAITER/WAITRESS,9.0,9,,,,
1099,C-09358-48089,2009-12-30,2009-12-23,CERTIFIED,H-2B,PA,2010-04-01,2010-12-01,"THINKGREEN, LLC",222 SOUTH EASTON RD. STE 225,P.O. BOX 528,GLENSIDE,PA,19038,ELIZABETH WHITLEY,LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",17.0,17,9.91,HR,9.91,HR
1100,C-09363-48310,2010-01-05,2009-12-29,PARTIAL CERTIFIED,H-2B,PA,2010-04-01,2010-12-11,NORTH HILLS COUNTRY CLUB,99 STATION AVE.,,NORTH HILLS,PA,19038,"ELIZABETH D. WHITLEY/MASLABOR H2B, LLC",LOVINGSTON,VA,406.687-010,LANDSCAPE SPECIALIST,14.0,13,9.91,HR,9.91,HR
1101,C-09364-48317,2010-01-05,2009-12-29,CERTIFIED,H-2B,PA,2010-04-01,2010-12-09,GINKGO LANDSCAPES,22 MAURICE LANE.,,HATBORO,PA,19040,"ELIZABETH D. WHITLEY / MAS LABOR H2B, LLC",LOVINGSTON,VA,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",15.0,15,9.91,HR,9.91,HR
1102,C-09322-47270,2009-12-02,2009-11-18,CERTIFIED,H-2B,PA,2010-03-02,2010-12-11,DOUGHERTY LANDSCAPING INC.,321 MAPLE  AVENUE,,HORSHAM,PA,19044,MICHELLE SELINA SKOLE / LAW OFFICE OF MICHELLE SKO,BENSALEM,PA,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10.0,10,11.74,HR,11.74,HR
1103,C-10013-48729,2010-01-26,2010-01-13,PARTIAL CERTIFIED,H-2B,PA,2010-04-01,2010-11-25,"BROTHER'S GREEN SEASONS LANDSCAPING, INC",6008 NEW FALLS ROAD,,LEVITTOWN,PA,19056,"ELIZABETH D. WHITLEY / MAS LABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",15.0,10,,,,
1104,C-09365-48414,2010-01-25,2009-12-31,PARTIAL CERTIFIED,H-2B,PA,2010-03-01,2010-12-15,"IVS LANDSCAPING, LTD.",30 WEEKS DRIVE,"4828 PENNELL ROAD, WAREHOUSE GARAGE B, ASTON, PA 1",GARNET VALLEY,PA,19060,"SHARON DENISE ALEXANDER, MATURANO & ASSOCIATES",KENNETT SQUARE,PA,408.687-014,"LABORER, LANDSCAPE",15.0,10,,,,
1105,C-09358-48103,2009-12-30,2009-12-23,PARTIAL CERTIFIED,H-2B,PA,2010-04-01,2010-12-31,"BLASE DEMICHELE ENTERPRISES, INC.",390 PARKMOUNT RD,,MEDIA,PA,19063,RITA ROMERO,BAY CITY,TX,408.687-014,"LABORER, LANDSCAPE",25.0,22,9.91,HR,9.91,HR
1106,C-10004-48483,2010-01-19,2010-01-04,PARTIAL CERTIFIED,H-2B,PA,2010-03-15,2010-11-30,GOLD PAINTING SERVICE CORPORATION,429 S. OLD MIDDLE TOWN RD.,,MEDIA,PA,19063,"H-2B LABOR SOLUTIONS, LLC , LUISA RAMIREZ",PINE BROOK,NJ,840.687-010,"PAINTER HELPER, SHIPYARD",8.0,5,10.86,HR,10.86,HR
1107,C-09308-46985,2009-12-07,2009-11-04,DENIED,H-2B,PA,2009-12-01,2010-03-31,VILLAGE GREEN LANDSCAPING,"P.O. BOX 5099, SPRINGFIELD, PA 19064 (MAILING ADDR","COVENT ROAD & TEAM ROAD, ASTON, PA 19131 (PHYSICAL",SPRINGFIELD,PA,19064,"SHARON DENISE ALEXANDER, MATURANO & ASSOCIATES",KENNETT SQUARE,PA,408.687-014,"LABORER, LANDSCAPE",10.0,0,,,,
1108,C-09362-48184,2010-01-08,2009-12-24,PARTIAL CERTIFIED,H-2B,PA,2010-04-01,2010-12-24,MIKE SPAEDER LANDSCAPING,718 OLD MARPLE ROAD,,SPRINGFIELD,PA,19064,CARL HEMPHILL MJC LABOR SOLUTIONS LLC,UPPER DARBY,PA,408.687-014,"LABORER, LANDSCAPE",9.0,8,9.91,HR,9.91,HR
1109,C-09363-48311,2010-01-21,2009-12-29,CERTIFIED,H-2B,PA,2010-03-01,2010-12-15,VILLAGE GREEN LANDSCAPING,"P.O. BOX 5099, SPRINGFIELD, PA 19064 (MAILING ADDR","COVENT ROAD & TEAM ROAD, ASTON, PA 19131 (PHYSICAL",SPRINGFIELD,PA,19064,"SHARON DENISE ALEXANDER, MATURANO & ASSOCIATES",KENNETT SQUARE,PA,408.687-014,"LABORER, LANDSCAPE",10.0,10,,,,
1110,C-10039-49250,2010-02-17,2010-02-08,CERTIFIED,H-2B,PA,2010-04-01,2010-12-20,"GARDEN VIEWS, L.L.C.",345 ECHO VALLEY LANE,,NEWTOWN SQUARE,PA,19073,AUDREY L. ALLEN,WEST CONSHOHOCKEN,PA,408.687-014,"LABORER, LANDSCAPE",3.0,3,9.91,HR,9.91,HR
1111,C-09329-47385,2009-12-01,2009-11-25,CERTIFIED,H-2B,PA,2009-12-20,2010-04-01,"EXTREME LANDSCAPING, LLC",27 COLLIER CIRCLE,,RIDLEY PARK,PA,19078,"ELIZABETH D. WHITLEY / MAS LABOR H2B, LLC",LOVINGSTON,VA,691.687-010,PRODUCTION HELPER,10.0,10,9.11,HR,9.11,HR
1112,C-10061-49527,2010-03-12,2010-03-02,CERTIFIED,H-2B,PA,2010-04-01,2010-12-23,"EXTREME LANDSCAPING, LLC",27 COLLIER CIRCLE,,RIDLEY PARK,PA,19078,"ELIZABETH D. WHITLEY / MAS LABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",10.0,10,9.91,HR,9.91,HR
1113,C-09358-48136,2010-01-08,2009-12-23,CERTIFIED,H-2B,PA,2010-04-01,2010-12-24,MJC LABOR SOLUTIONS LLC,1720 SOUTH  STATE ROAD,REAR LOT #1,UPPER DARBY,PA,19082,,,,408.687-014,"LABORER, LANDSCAPE",45.0,45,9.91,HR,9.91,HR
1114,C-10013-48702,2010-01-15,2010-01-12,CERTIFIED,H-2B,PA,2010-04-01,2010-12-24,STATE ROAD BUILDERS SUPPLY CO.,1840 SOUTH STATE ROAD,,UPPER DARBY,PA,19082,MJC LABOR SOLUTIONS LLC/ CARL A. HEMPHILL,UPPER DARBY,PA,509.687-026,"LABORER, GENERAL",2.0,2,14.95,HR,14.95,HR
1115,C-10026-49030,2010-02-01,2010-01-26,CERTIFIED,H-2B,PA,2010-04-01,2010-12-24,MJC COMPANY LAWN WORKS INC.,1720 SOUTH STATE ROAD,REAR LOT 201,UPPER DARBY,PA,19082,CARL ALEXANDER HEMPHILL,UPPER DARBY,PA,408.687-014,"LABORER, LANDSCAPE",12.0,12,9.91,HR,9.91,HR
1116,C-10011-48650,2010-01-14,2010-01-11,CERTIFIED,H-2B,PA,2010-04-01,2010-11-20,LLANERCH COUNTRY CLUB,950 WEST CHESTER PIKE,,HAVERTOWN,PA,19083,CARL ALEXANDER HEMPHILL/MJC LABOR SOLUTIONS LLC,UPPER DARBY,PA,408.687-014,"LABORER, LANDSCAPE",9.0,9,9.91,HR,9.91,HR
1117,C-09336-47465,2010-01-13,2009-12-01,CERTIFIED,H-2B,PA,2009-12-15,2010-03-30,FERN VALLEY LANDSCAPING,567 DARBY PAOLI ROAD,,VILLANOVA,PA,19085,WILLIAM VELIE,NORMAN,OK,620.664-014,MAINTENANCE MECHANIC HELPER,2.0,2,9.8,HR,9.8,HR
1118,C-10064-49567,2010-03-16,2010-03-05,CERTIFIED,H-2B,PA,2010-03-15,2010-12-20,FERN VALLEY LANDSCAPING,567 DARBY PAOLI ROAD,,VILLANOVA,PA,19085,CRAIG MCDOUGAL,NORMAN,OK,408.687-014,"LABORER, LANDSCAPE",3.0,3,9.91,HR,9.91,HR
1119,C-09309-47005,2009-11-20,2009-11-05,CERTIFIED,H-2B,PA,2010-02-15,2010-12-04,GALBALLY LANDSCAPING INC.,985 DAVISVILLE ROAD,,WILLOW GROVE,PA,19090,MICHELLE SKOLE,BENSALEM,PA,408.687-014,"LABORER, LANDSCAPE",10.0,10,11.74,HR,11.74,HR
1120,C-09362-48215,2009-12-31,2009-12-24,PARTIAL CERTIFIED,H-2B,PA,2010-04-01,2010-12-13,BILL JOHNSTON LANDSCAPE COMPANY,556 DAVISVILLE ROAD,,WILLOW GROVE,PA,19090,"ELIZABETH D. WHITLEY / MASLABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",17.0,16,9.91,HR,9.91,HR
1121,C-09362-48198,2010-01-07,2009-12-24,PARTIAL CERTIFIED,H-2B,PA,2010-04-01,2010-12-01,"MCCAUGHEY BROTHERS LANDSCAPING, INC. D/B/A TERREN",466 CLOTHIER ROAD,,WYNNEWOOD,PA,19096,"STEVEN P. BARSAMIAN, ESQUIRE",PHILADELPHIA,PA,408.687-014,"LABORER, LANDSCAPE",30.0,26,9.91,HR,9.91,HR
1122,C-09321-47221,2009-12-02,2009-11-17,PARTIAL CERTIFIED,H-2B,PA,2010-02-18,2010-12-12,CERRUTI LANDSCAPING INC.,9538 DUGAN RD.,PO BOX 51326,PHILADELPHIA,PA,19115,BRANDI C. COWAN/ FEDERATION OF EMPLOYERS & WORKERS,BAY CITY,TX,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",40.0,27,9.91,HR,9.91,HR
1123,C-09352-47756,2010-01-12,2009-12-16,CERTIFIED,H-2B,PA,2010-04-01,2010-12-15,"ISAAC'S MOVING AND STORAGE, INC.",4309 G STREET,,PHILADELPHIA,PA,19124,CHARLES FRASER GOLDSMITH,BEVERLY,MA,929.687-030,MATERIAL HANDLER,10.0,10,,,,
1124,C-10176-50382,2010-07-09,2010-06-25,CERTIFIED,H-2B,PA,2010-10-01,2011-06-30,CYNTHIA GARDNER,1690 SMITH BRIDGE ROAD,,CHADDS FORD,PA,19317,EMILY M COHEN,PHILADELPHIA,PA,349.677-018,CHILDREN'S ATTENDANT,1.0,1,8.93,HR,475.0,HR
1125,C-09300-46828,2009-11-03,2009-10-27,CERTIFIED,H-2B,FL,2009-11-30,2010-04-30,VINTAGE FARM CORPORATION,1245 DOE RUN ROAD,,COATESVILLE,PA,19320,JANE W. GOLDBLUM/ GOLDBLUM & HESS,JENKINTOWN,PA,410.674-010,ANIMAL CARETAKER,7.0,7,8.27,HR,8.75,HR
1126,C-10036-49241,2010-03-09,2010-02-05,CERTIFIED,H-2B,PA,2010-04-01,2010-12-24,"SIOUSCA, INC.",132 HIBERNIA ROAD,,COATESVILLE,PA,19320,CARL ALEXANDER HEMPHILL/MJC LABOR SOLUTIONS LLC,UPPER DARBY,PA,408.687-014,"LABORER, LANDSCAPE",2.0,2,15.39,HR,15.39,HR
1127,C-10095-49810,2010-04-08,2010-04-05,CERTIFIED,H-2B,PA,2010-04-20,2010-11-30,"BUCK & DOE STABLE, LLC",1245 DOE RUN ROAD,,COATESVILLE,PA,19320,JANE W. GOLDBLUM,JENKINTOWN,PA,410.674-022,STABLE ATTENDANT,2.0,2,9.15,HR,9.15,HR
1128,C-10096-49818,2010-04-09,2010-04-06,CERTIFIED,H-2B,DE,2010-04-20,2010-11-30,VINTAGE FARM CORPORATION,1245 DOE RUN ROAD,,COATESVILLE,PA,19320,JANE W. GOLDBLUM/ GOLDBLUM & HESS,JENKINTOWN,PA,410.674-022,STABLE ATTENDANT,9.0,9,8.75,HR,8.75,HR
