,CASE_NUMBER,RECENT_DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVIALING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
1425,H-400-13337-879844,2013-12-17,2013-12-03,Certification,H-2B,NY,2014-03-01,2014-11-30,Sag Harbor Variety Inc.,114 MAIN STREET,PO BOX 488,SAG HARBOR,NY,11963,Market Place,Denig Minto,Hempstead,NY,41-2021,Counter and Rental Clerks,SALE CLERK,5,14.1,Hour,14.1,Hour
1426,H-400-13338-201939,2013-12-27,2013-12-13,Certification,H-2B,CO,2014-02-04,2014-12-01,"Liqui Green, Inc.",570 S. Commercial Dr.,,Grand Junction,CO,81505,"THE FOWLER LAW FIRM, PC",DANIEL KOWALSKI,AUSTIN,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,13,9.12,Hour,9.12,Hour
1427,H-400-13225-090372,2014-01-03,2013-12-06,Denied,H-2B,AZ,2014-01-20,2016-01-20,Herder Plumbing Inc.,3707 E Southern Ave. Suite 1039,,Mesa,AZ,85206,"FOREMEN, INC",JESUS LEON,LAVEEN,AZ,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and",General laborers,0,11.45,Hour,11.45,Hour
1428,H-400-13339-699416,2013-12-23,2013-12-05,Certification,H-2B,TX,2014-01-22,2014-11-22,"MOORE'S GREATER SHOWS, LLC",1083 FM 491,,LYFORD,TX,78569,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,RIO HONDO,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendants - Traveling Ca,22,340.0,Week,340.0,Week
1429,H-400-13331-658610,2013-12-11,2013-11-27,Certification,H-2B,MD,2014-03-01,2014-12-15,"Kingsdene Nurseries, Inc.",16435 York Road,,Monkton,MD,21111,Amigos Labor Solutions,Robert Wingfield,Dallas,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,8,9.68,Hour,9.68,Hour
1430,H-400-13331-656895,2013-12-13,2013-11-29,Partial Certification Expired,H-2B,MD,2013-12-13,2014-04-01,"Weiss Winter Services, LLC",2657-G Annapolis Rd #269,,Hanover,MD,21076,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Groundskeepers,32,12.86,Hour,12.86,Hour
1431,H-400-13344-056132,2013-12-23,2013-12-10,Certification,H-2B,DE,2014-03-01,2014-11-30,"Brogan Landscaping, Inc.",208 Welsh Pool Road,,Exton,PA,19341,Amigos Labor Solutions,Robert Wingfield,Dallas,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,42,10.08,Hour,10.08,Hour
1432,H-400-13337-415307,2013-12-17,2013-12-03,Certification,H-2B,TX,2014-03-13,2014-12-12,"Green Meadows Design & Landscaping, Inc.",724 Holford Prairie,,Lewisville,TX,75056,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,34,9.35,Hour,9.35,Hour
1433,H-400-13343-068359,2013-12-20,2013-12-09,Certification,H-2B,NY,2014-03-15,2014-11-30,MAIDSTONE CLUB,PO BOX 5110,50 OLD BEACH LANE,EAST HAMPTON,NY,11937,U.S. AMERICANS INC,JOHN GISMONDI,WESTBURY,NY,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,9,10.5,Hour,10.5,Hour
1434,H-400-13345-818136,2013-12-26,2013-12-11,Certification,H-2B,NY,2014-03-01,2014-12-20,JAMES C GRIMES LAND DESIGN INC,PO BOX 5061,26 SO. EMBASSY STREET,MONTAUK,NY,11954,U.S. AMERICANS INC,JOHN GISMONDI,WESTBURY,NY,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,13,11.0,Hour,11.0,Hour
1435,H-400-13345-167958,2013-12-26,2013-12-11,Certification,H-2B,TX,2014-02-01,2014-11-30,"DELBOSQUE LANDSCAPING, INC",510 S CLARK ST,,ROCKWALL,TX,75087,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,7,9.35,Hour,9.35,Hour
1436,H-400-13345-195142,2013-12-27,2013-12-11,Certification,H-2B,TX,2014-03-01,2014-12-30,Brandon's Landscape Service,P.O. BOX 82,,Fate,TX,75132,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,6,11.13,Hour,11.13,Hour
1437,H-400-13345-552507,2014-01-09,2013-12-11,Withdrawn,H-2B,MO,2014-03-15,2014-11-30,ATC INC,634 STE GENEVIEVE DRIVE,,STE GENEVIEVE,MO,63670,U.S. AMERICANS INC,JOHN GISMONDI,WESTBURY,NY,35-9011,Dining Room and Cafeteria Attendants and Bartender,BUSPERSON,0,9.7,Hour,9.7,Hour
1438,H-400-13345-806834,2013-12-27,2013-12-11,Certification,H-2B,TX,2014-02-15,2014-12-15,"All Metroplex Landscape Services, Inc.",11019 Denton Dr.,,Dallas,TX,75229,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,26,9.35,Hour,9.35,Hour
1439,H-400-13345-521300,2013-12-26,2013-12-11,Certification,H-2B,NY,2014-03-01,2014-12-20,LIBERTY LAWN & LANDSCAPING,PO BOX 3041,17 OSPREN ROAD,SHELTER ISLAND,NY,11965,U.S. AMERICANS INC,JOHN GISMONDI,WESTBURY,NY,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,6,10.5,Hour,10.5,Hour
1440,H-400-13345-641541,2013-12-26,2013-12-11,Certification,H-2B,NY,2014-03-01,2014-12-20,ELITE SYNTHETIC SURFACES INC,36 DOWNING STREET,,EAST WILLISTON,NY,11596,U.S. AMERICANS INC,JOHN GISMONDI,WESTBURY,NY,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,4,12.0,Hour,12.0,Hour
1441,H-400-13345-894033,2013-12-26,2013-12-11,Certification,H-2B,TX,2014-03-01,2014-10-31,"Ortiz Padilla Family, LLC",2740 Valwood Pkwy Ste 130,,Farmers Branch,TX,75234,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,41-9091,"Door-to-Door Sales Workers, News and Street",Frozen Popsicle Vendor,35,10.26,Hour,10.26,Hour
1442,H-400-13345-647973,2013-12-26,2013-12-11,Certification,H-2B,NY,2014-03-15,2014-12-20,ISLAND DESIGN & LANDSCAPING INC,482 DEER PARK AVENUE,,DIX HILLS,NY,11746,U.S. AMERICANS INC,JOHN GISMONDI,WESTBURY,NY,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,3,10.5,Hour,10.5,Hour
1443,H-400-13345-973475,2013-12-26,2013-12-11,Certification,H-2B,TX,2014-02-01,2014-11-30,Amberscapes Inc.,3114 N. Mechanic,"Mailing: PO Box 1574, El Campo, TX 77437",El Campo,TX,77437,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,15,8.5,Hour,8.5,Hour
1444,H-400-13351-059535,2014-02-14,2014-01-31,Partial Certification,H-2B,NJ,2014-03-01,2014-12-15,Hudson Landscaping Co Inc,1889 Hwy 88 Suite C,,Brick,NJ,08724,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,7,10.19,Hour,10.19,Hour
1445,H-400-13346-438707,2013-12-26,2013-12-12,Certification,H-2B,TX,2014-03-01,2014-12-01,"Coppell Lawn and Garden, Inc.",428 Cooper Ln.,,Coppell,TX,75019,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,10,9.35,Hour,9.35,Hour
1446,H-400-13351-017693,2013-12-30,2013-12-17,Partial Certification,H-2B,TX,2014-03-01,2014-12-15,Richmond & Associates Landscaping,11359 Kline Dr.,,Dallas,TX,75229,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,49,9.35,Hour,9.35,Hour
1447,H-400-13351-180332,2014-01-09,2013-12-26,Certification,H-2B,CO,2014-03-01,2014-11-30,Creativexteriors,3333 S. Wadsworth Blvd #216,,Lakewood,CO,80227,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,50,9.43,Hour,9.43,Hour
1448,H-400-13364-715156,2014-01-13,2013-12-30,Partial Certification,H-2B,NC,2014-03-01,2014-12-10,R.G. Smith Landscaping Ltd.,5660 Old Haywood Rd.,mailing: 20 Bradford Farm Rd.,Mills River,NC,28759,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,14,9.0,Hour,9.0,Hour
1449,H-400-13351-659890,2013-12-30,2013-12-17,Certification,H-2B,OK,2014-01-23,2014-11-16,"HUB CONSTRUCTION, INC.",HWY 109 SOUTH,,BOSWELL,OK,74727,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,47-2061,Construction Laborers,CONSTRUCTION HELPER,18,9.28,Hour,9.28,Hour
1450,H-400-13351-363498,2013-12-17,2013-12-17,Withdrawn,H-2B,MI,2014-04-01,2014-11-10,Lukkin Group,"PO Box 1410, 7463 Main Street",,Mackinac Island,MI,49757,"TIMOTHY J. O'LEARY, ATTORNEY AT LAW",TIMOTHY OLEARY,WASHINGTON,DC,35-9021,Dishwashers,Kitchen Helper,0,8.42,Hour,8.42,Hour
1451,H-400-13339-562072,2014-01-03,2013-12-20,Certification,H-2B,NY,2014-04-01,2014-11-30,Kiaran Mclaughlin Racing,105 Jackson Street,,Garden City,NY,11530,LAW OFFICES OF RON KATIRAEI,RON KATIRAEI,NEW YORK,NY,39-2021,Nonfarm Animal Caretakers,Stable Attendant,50,11.67,Hour,11.67,Hour
1452,H-400-13339-190396,2014-01-14,2013-12-31,Certification,H-2B,WY,2014-04-01,2014-11-30,"CARSON CONCRETE, INC. (f)","724 ROCKY ROAD IND. PARK, LOOP C",,VICTOR,ID,83455,"LABOR SOLUTIONS, INC.",SUE BOWEN,WINDSOR,CO,47-2051,Cement Masons and Concrete Finishers,Cement Masons and Concrete Finishers,12,12.19,Hour,12.19,Hour
1453,H-400-13339-083848,2014-01-22,2014-01-07,Certification,H-2B,MT,2014-04-01,2014-12-01,Dakota Fence (W),1110 25th Avenue North,,Fargo,ND,58102,"LABOR SOLUTIONS, INC.",SUE BOWEN,WINDSOR,CO,47-4031,Fence Erectors,Fence Erectors,10,14.47,Hour,14.47,Hour
1454,H-400-13360-334453,2014-01-23,2013-12-26,Withdrawn,H-2B,TX,2014-04-01,2014-11-30,"Brazos Valley Stump Grinding Service, Inc.",5222 Enchanted Oaks Drive,,College Station,TX,77845,"LAW OFFICE OF WILLIAM JANG, PLLC",WILLIAM JANG,AUSTIN,TX,37-3011,Landscaping and Groundskeeping Workers,Landscaper,0,10.9,Hour,10.9,Hour
1455,H-400-13365-494183,2014-01-14,2013-12-31,Certification,H-2B,ME,2014-03-20,2015-01-15,"ROCKWELL AMUSEMENTS & PROMOTIONS, INC",10 RED OAK DRIVE,"[MAIL: PO BOX 338, NORTH SCITUATE, RI 02857]",JOHNSTON,RI,02919-0000,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,RIO HONDO,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendants - Traveling Ca,70,345.0,Week,345.0,Week
1456,H-400-14001-946295,2014-03-06,2014-01-01,Partial Certification,H-2B,MD,2014-03-06,2014-12-01,DEER RIDGE INC.,2436 BULLS SAWMILL ROAD,,FREELAND,MD,21053,,,,,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,7,12.41,Hour,12.41,Hour
1457,H-400-14002-323903,2014-01-16,2014-01-02,Certification,H-2B,PA,2014-02-15,2014-12-15,"Serbian Landscape Services, Inc.",216 Creeks Bend Drive,,Downingtown,PA,19335,"ANNA & ANNA, P.C.",DANIEL ANNA,MEDIA,PA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,7,14.04,Hour,14.04,Hour
1458,H-400-14002-923721,2014-01-27,2014-01-09,Certification,H-2B,PA,2014-04-01,2014-12-15,"Town and Country Lawn Care, Inc.",177 Red Oak Drive,,Lincoln University,PA,19352,"ANNA & ANNA, P.C.",DANIEL ANNA,MEDIA,PA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,8,14.04,Hour,14.04,Hour
1459,H-400-14002-691065,2014-01-21,2014-01-02,Certification,H-2B,ME,2014-04-15,2014-11-10,THE MEADOWMERE RESORT,74 MAIN STREET,PO Box 2347,OGUNQUIT,ME,03907,,,,,35-2015,"Cooks, Short Order",Short Order Cook,6,11.12,Hour,11.12,Hour
1460,H-400-14002-155102,2014-01-16,2014-01-02,Certification,H-2B,MA,2014-04-01,2014-11-01,Wild Goose Tavern LLC,512 Main Street,PO Box 685,Chatham,MA,02633,"LEONORA L. BATSON, ATTORNEY AT LAW",LEONORA BATSON,SCITUATE,MA,35-2021,Food Preparation Workers,Prep Cook,10,10.93,Hour,10.93,Hour
1461,H-400-14002-968033,2014-01-16,2014-01-02,Partial Certification,H-2B,VA,2014-04-01,2014-12-01,"The Country Club of Virginia, Inc.",6031 St. Andrews Lane,,Richmond,VA,23226,WORKFORCE ADVANTAGE,FERNANDO SAENZ,MECHANICSVILLE,VA,37-3011,Landscaping and Groundskeeping Workers,GROUNDS KEEPER,27,10.71,Hour,10.71,Hour
1462,H-400-14002-627641,2014-01-16,2014-01-02,Certification,H-2B,OH,2014-03-10,2014-11-30,Esmerallawn Landscaping Inc.,12265 Chillicothe Rd,,Chesterland,OH,44026,International Labor Management Corp,Daniel Farrell,Vass,NC,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,10,9.69,Hour,9.69,Hour
1463,H-400-14002-627715,2014-01-21,2014-01-02,Certification,H-2B,VA,2014-02-17,2014-11-01,ValleyCrest Companies,24151 Ventura Road,,Calabasas,CA,91302,Jackson Lewis P.C.,Kevin Lashus,Austin,TX,37-3011,Landscaping and Groundskeeping Workers,Groundskeeper,50,10.43,Hour,10.43,Hour
1464,H-400-14002-817790,2014-01-16,2014-01-02,Partial Certification,H-2B,NJ,2014-04-01,2014-12-31,"Turfmasters, Inc.",604 Magnolia St.,,Bayville,NJ,08721,"AMIGOS LABOR SOLUTIONS, INC.","Robert Wingfield, Jr.",DALLAS,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,34,10.23,Hour,10.23,Hour
1465,H-400-13352-638329,2013-12-30,2013-12-18,Certification,H-2B,NY,2014-03-15,2014-12-20,SCOTT MILLER LANDSCAPE MAINTENANCE INC,69 WOODCOCK ROAD,,WESTBURY,NY,11590,U.S. AMERICANS INC,JOHN GISMONDI,WESTBURY,NY,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,3,10.5,Hour,10.5,Hour
1466,H-400-13352-167374,2013-12-30,2013-12-18,Certification,H-2B,CT,2014-01-29,2014-11-27,Five Star Holdings LLC,4 Hedgerow Common,,Weston,CT,06883,Kresses & Piasecki Legal PC,Kolette Kresses-Piasecki,North Tonawanda,NY,27-2022,Coaches and Scouts,Soccer Coach,10,19.0,Hour,19.0,Hour
1467,H-400-13352-005081,2013-12-30,2013-12-18,Certification,H-2B,NY,2014-04-01,2014-11-15,ATLONTIKOS LTD,6 HOLLYOAK AVENUE,126 SO. EMERSON AVENUE,EAST HAMPTON,NY,11937,U.S. AMERICANS INC,JOHN GISMONDI,WESTBURY,NY,35-9011,Dining Room and Cafeteria Attendants and Bartender,BUSPERSON,4,10.0,Hour,10.0,Hour
1468,H-400-13362-761290,2014-01-10,2013-12-28,Certification,H-2B,LA,2014-03-01,2014-12-13,THE PARISH GROUP LLC,11579 CEDAR PARK AVE,P.O. BOX 84457 BATON ROUGE LA 70884 MAILING ADDRESS,BATON ROUGE,LA,70809,CAJUN VISA COMPANY INC,CHRISTY CARTAGINESE,LIVINGSTON,LA,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPING AND GROUNDS KEEPING WORKERS,4,11.0,Hour,11.0,Hour
1469,H-400-13362-176991,2014-01-10,2013-12-29,Partial Certification,H-2B,MA,2014-04-01,2014-12-15,NORTH CHATHAM LANDSCAPE,73 CROSSWIND FARM RD,,NORTH CHATHAM,MA,02650,"CAPE LABOR SOLUTIONS, LLC",PETYA FEENEY,CHATHAM,MA,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPERS,6,15.9,Hour,15.9,Hour
1470,H-400-13363-607337,2014-01-13,2013-12-30,Certification,H-2B,OK,2014-02-10,2014-11-05,"FUN BIZ CONCESSIONS, INC",731 ENGEL RD,"[MAIL: PO BOX 310641, NEW BRAUNFELS, TX 78131]",NEW BRAUNFELS,TX,78132-0000,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,RIO HONDO,TX,35-3021,"Combined Food Preparation and Serving Workers,",Combined Food Preparation & Serving (Mobile),25,7.7,Hour,7.7,Hour
1471,H-400-13330-306943,2013-12-10,2013-11-26,Certification,H-2B,TX,2014-03-01,2014-11-30,"Executive Visionary Enterprises, Inc.",7110 Walnut St.,,Frisco,TX,75034,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,14,11.13,Hour,11.13,Hour
1472,H-400-13330-026550,2013-12-10,2013-11-26,Partial Certification,H-2B,NJ,2014-03-01,2014-12-15,"Sequoia Landscape & Maintenance, Inc.",295 Croshaw Rd.,,Wrightstown,NJ,08562,"AMIGOS LABOR SOLUTIONS, INC.",Robert Wingfield,DALLAS,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,12,9.76,Hour,9.76,Hour
1473,H-400-13343-668852,2013-12-20,2013-12-09,Certification,H-2B,TX,2014-02-21,2014-12-20,Stewart Lawncare & Landscape,400 Alanis,,Wylie,TX,75098,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,11,9.35,Hour,9.35,Hour
1474,H-400-13343-180699,2013-12-20,2013-12-09,Certification,H-2B,TX,2014-03-15,2014-11-15,"K-Double-K Enterprises, Inc.",427 Aqua Way,,Bridgeport,TX,76426,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,6,10.72,Hour,10.72,Hour
1475,H-400-13353-664274,2014-01-07,2013-12-23,Certification,H-2B,TX,2014-03-01,2014-11-30,"Texas Land Care, Inc.","6115 Owens St., Ste. 104",,Dallas,TX,75235,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,20,9.35,Hour,9.35,Hour
1476,H-400-13343-793256,2014-01-02,2013-12-09,Certification,H-2B,MS,2014-03-01,2014-12-15,"Chandler's Lawn Service, Inc.",9620 Hwy 178,,Olive Branch,MS,38654,ACTION VISA ASSISTANCE,LORI WHITTEN,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,20,9.09,Hour,9.09,Hour
1477,H-400-13343-546236,2013-12-20,2013-12-09,Certification,H-2B,TX,2014-02-09,2014-12-08,Fallas Landscape LTD,"2255 SOUTHVIEW DR,","P.O Box 865146, Plano Tx 75086",Wylie,TX,75098,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,30,9.35,Hour,9.35,Hour
1478,H-400-13347-419896,2014-01-13,2013-12-30,Certification,H-2B,ID,2014-04-01,2014-11-30,"SEASONS WEST, INC.",2780 W. 65TH SOUTH,,IDAHO FALLS,ID,83402,"LABOR SOLUTIONS, INC.",SUE BOWEN,WINDSOR,CO,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,6,8.12,Hour,8.12,Hour
1479,H-400-13345-531266,2013-12-27,2013-12-16,Certification,H-2B,PA,2014-03-15,2014-12-15,"Lankford Landscaping 1, LLC",416 Kansas Road,PO Box 306,Warrington,PA,18976,"WILLIAM VELIE, ATTORNEY AT LAW, PLLC",Craig McDougal,NORMAN,OK,37-3011,Landscaping and Groundskeeping Workers,Landscape Worker,7,10.08,Hour,10.08,Hour
1480,H-400-13350-706292,2013-12-27,2013-12-16,Partial Certification,H-2B,NJ,2014-02-17,2014-12-15,Ledden Palimeno Landscaping & Maintenance Co Inc,102 Blackwood Barnsboro Rd.,,Sewell,NJ,08080,F.E.W.A.,RITA ROMERO,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,7,13.14,Hour,13.14,Hour
1481,H-400-13350-897796,2013-12-30,2013-12-18,Partial Certification,H-2B,TX,2014-03-15,2015-01-15,"PH CONSTRUCTION, INC.",40 MIDNIGHT LANE,,GEORGETOWN,TX,78626,LAW OFFICE OF HECTOR V. VILLEGAS JR. P.C.,HECTOR VILLEGAS JR,HOUSTON,TX,47-2061,Construction Laborers,CONSTRUCTION LABORER,43,11.89,Hour,11.89,Hour
1482,H-400-13351-288216,2014-03-06,2014-02-20,Certification,H-2B,TX,2014-03-06,2014-12-01,"Maldonado Nursery & Landscaping, Inc.",16348 Nacogdoches Rd.,,San Antonio,TX,78247,"THE FOWLER LAW FIRM, PC",DANIEL KOWALSKI,AUSTIN,TX,37-3011,Landscaping and Groundskeeping Workers,Laborer,40,9.25,Hour,9.25,Hour
1483,H-400-13351-782649,2014-01-23,2014-01-09,Partial Certification,H-2B,MA,2014-04-01,2014-12-06,"WEQUASSETT INN, LLP",2173 ROUTE 28,ON PLEASANT BAY,EAST HARWICH,MA,02645,"TOCCI, GOSS & LEE, PC",MATTHEW LEE,CENTERVILLE,MA,43-4081,"Hotel, Motel, and Resort Desk Clerks",OVERNIGHT DESK CLERKS,2,11.88,Hour,11.88,Hour
1484,H-400-13351-981292,2014-01-28,2013-12-31,Partial Certification,H-2B,NC,2014-03-13,2015-01-13,Biltmore Company,One North Pack Square,,Asheville,NC,28801,"Constangy, Brooks & Smith, LLP",Jeanette Phelan,Winston-Salem,NC,35-9021,Dishwashers,Kitchen Steward,39,8.8,Hour,8.8,Hour
1485,H-400-13351-986066,2014-01-22,2014-01-08,Partial Certification,H-2B,MD,2014-02-24,2014-12-01,McFall & Berry Landscape Mgt Inc,9501 Beman Woods Way,"Mailing: PO Box 1680, Annandale, VA 22003",Potomac,MD,20854,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,94,10.15,Hour,10.15,Hour
1486,H-400-13351-339248,2014-01-23,2014-01-09,Certification,H-2B,TX,2014-02-01,2014-11-30,Chick Landscaping Inc,9710 Lark Trail,,Salado,TX,76571,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,65,8.38,Hour,8.38,Hour
1487,H-400-13351-170671,2014-01-23,2014-01-09,Partial Certification,H-2B,MA,2014-04-01,2014-11-17,"WEQUASSETT INN, LLP",2173 ROUTE 28,ON PLEASANT BAY,EAST HARWICH,MA,02645,"TOCCI, GOSS & LEE, PC",MATTHEW LEE,CENTERVILLE,MA,35-3031,Waiters and Waitresses,WAIT STAFF,36,12.95,Hour,12.95,Hour
1488,H-400-13339-795795,2014-01-14,2013-12-31,Certification,H-2B,TX,2014-02-04,2014-12-01,"The Wiltshire Brothers, Inc.",2521 Cuernavaca,,Austin,TX,78733,"THE FOWLER LAW FIRM, PC",DANIEL KOWALSKI,AUSTIN,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,24,9.25,Hour,9.25,Hour
1489,H-400-13339-750614,2014-01-07,2013-12-23,Certification,H-2B,ND,2014-04-01,2014-11-30,"Dakota Outdoorscapes, Inc.",1322 East Avenue B,,Bismarck,ND,58501,"LABOR SOLUTIONS, INC.",SUE BOWEN,WINDSOR,CO,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,10,9.72,Hour,9.72,Hour
1490,H-400-13339-204038,2014-01-10,2013-12-19,Certification Expired,H-2B,CO,2014-04-01,2014-09-30,"Environmental Designs, Inc.",12511 E. 112th Avenue,,Henderson,CO,80640,"LABOR SOLUTIONS, INC.",SUE BOWEN,WINDSOR,CO,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,100,9.53,Hour,9.53,Hour
1491,H-400-13358-414287,2014-03-24,2014-02-28,Certification,H-2B,SD,2014-04-01,2014-10-31,SCHUNEMAN EQUIPMENT CO.,15058 SD HIGHWAY 15,,MILBANK,SD,57252,"LABOR SOLUTIONS, INC.",SUE BOWEN,WINDSOR,CO,51-2092,Team Assemblers,Team Assemblers,6,12.14,Hour,12.14,Hour
1492,H-400-13358-037265,2014-03-05,2014-02-17,Certification,H-2B,ID,2014-04-01,2014-11-30,"BERMUDEZ HOME REPAIR, LLC",3324 S. RUSTIC LN,,IDAHO FALLS,ID,83404,"LABOR SOLUTIONS, INC.",SUE BOWEN,WINDSOR,CO,47-2061,Construction Laborers,Construction Laborers,5,10.03,Hour,10.03,Hour
1493,H-400-13358-275395,2014-01-08,2013-12-24,Certification,H-2B,NY,2014-03-24,2014-11-30,"D'Agostino Landscaping, Inc.",738 West Nyack Rd.,,West Nyack,NY,10994,"H2 EXPRESS, INC",John Novine,HUDSON,NY,37-3011,Landscaping and Groundskeeping Workers,landscape laborer,1,15.57,Hour,15.57,Hour
1494,H-400-13336-700867,2014-01-23,2013-12-24,Certification,H-2B,NJ,2014-03-15,2014-12-15,Joe Marra Tree Service,12 Indian Trail,P. O. Box 529,West Milford,NJ,07480,H2 Express,John Novine,Hudson,NY,37-3011,Landscaping and Groundskeeping Workers,landscape laborer,2,15.57,Hour,15.57,Hour
1495,H-400-13360-186292,2014-01-09,2013-12-26,Partial Certification,H-2B,NJ,2014-03-15,2014-12-15,"Young's Landscape Management, Inc.",323 Main Street,"PO Box 298, Moorestown NJ 08057",Lumberton,NJ,08048,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,24,9.7,Hour,9.7,Hour
1496,H-400-13360-147282,2014-01-24,2013-12-26,Certification,H-2B,NJ,2014-04-01,2014-12-30,KATTNER ENTERPRISES LLC,3050 ROUTE 23,,OAK RIDGE,NJ,07438,,,,,37-3011,Landscaping and Groundskeeping Workers,landscape laborer,8,13.61,Hour,13.61,Hour
