,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
1326,C-08305-40564,2008-11-20 08:37:39,2008-10-31 00:00:00,CERTIFIED,CO,2008-11-15 00:00:00,2009-04-15 00:00:00,"GREEN SPOT, INC.",8776 N. 107TH ST.,,LONGMONT,CO,80504,TODD IRWIN,,AURORA,CO,SNOW SHOVELER,85,8.96,HR,8.96,HR
1327,C-08305-40565,2009-02-20 13:48:39,2008-10-31 00:00:00,DENIED,WA,2009-02-10 00:00:00,2009-12-10 00:00:00,CLEARWATER SUMMIT GROUP INC.,P.O. BOX 6470,(4228 E. WELLESLEY),SPOKANE,WA,99217,,,,,"LABORER, LANDSCAPE",0,9.25,HR,9.25,HR
1328,C-08305-40566,2008-12-19 13:28:12,2008-10-29 00:00:00,CERTIFIED,PA,2009-02-01 00:00:00,2009-12-01 00:00:00,FAIRFIELD LANDSCAPING,102 CECIL HENERSON ROAD,,CANONSBURG,PA,15317,"MAS LABOR H2B , LLC",ELIZABETH  WHITLEY,LOVINGSTON,VA,"LABORER, LANDSCAPE",15,8.21,HR,8.21,HR
1329,C-08305-40567,2008-11-18 15:05:04,2008-10-31 00:00:00,CERTIFIED,CO,2009-01-01 00:00:00,2009-11-01 00:00:00,"NASC, INC.",47 WATER STREET,,MYSTIC,CT,6355,NANCY SCARCELLA,SILK & CO.,CLEVELAND,OH,"INSTRUCTOR, SPORTS",40,16.67,HR,2833.0,HR
1330,C-08305-40568,2008-11-18 14:45:44,2008-10-31 00:00:00,PARTIAL CERTIFIED,MS,2008-11-28 00:00:00,2009-04-10 00:00:00,"SUPERIOR FORESTRY SERVICE, INC.",P.O. BOX 25,36462 HWY 27,TILLY,AR,72679,"AG WORKS, INC",PO BOX 580,LAKE PARK,GA,FOREST WORKER,80,10.22,HR,10.22,HR
1331,C-08305-40569,2008-12-16 13:08:02,2008-10-31 00:00:00,PARTIAL CERTIFIED,MO,2009-02-02 00:00:00,2009-11-30 00:00:00,ACKERSON LANDSCAPE,8821 EAST 85TH STREET,,RAYTOWN,MO,64138,"MAS LABOR H2B , LLC",ELIZABETH  WHITLEY,LOVINGSTON,VA,"LABORER, LANDSCAPE",10,8.53,HR,8.53,HR
1332,C-08305-40570,2008-12-16 18:01:14,2008-10-31 00:00:00,CERTIFIED,IN,2009-02-03 00:00:00,2009-11-30 00:00:00,"THE BRICKMAN GROUP, LTD.",18227 - D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,,"LABORER, LANDSCAPE",250,7.99,HR,7.99,HR
1333,C-08305-40571,2009-01-13 09:50:35,2008-10-31 00:00:00,DENIED,MT,2008-12-15 00:00:00,2009-04-05 00:00:00,"MEADOW VILLAGE MARKET, INC D/B/A COUNTRY MARKET OF",P.O. BOX 160639,66 MARKET PLACE,BIG SKY,MT,59716,,,,,STOCK CLERK,0,7.93,HR,9.0,HR
1334,C-08305-40572,2008-11-26 09:22:52,2008-10-31 00:00:00,DENIED,GA,2009-01-05 00:00:00,2009-10-31 00:00:00,RUBY & STEVEN SWETT. LLC,4703 BERKSHIRE ROAD,,SAINT JAMES CITY,FL,33956,,,,,FOREST WORKER,0,7.86,HR,7.86,HR
1335,C-08305-40573,2008-12-11 07:15:40,2008-10-31 00:00:00,PARTIAL CERTIFIED,MO,2009-02-01 00:00:00,2009-12-01 00:00:00,GROUNDS MANAGEMENT INC,116 WELDON PARKWAY,,MARYLAND HEIGHTS,MO,63043,FEDERATION OF EMPLOYERS AND WORKERS  OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"LABORER, LANDSCAPE",20,8.65,HR,8.65,HR
1336,C-08305-40574,2009-01-06 15:22:11,2008-10-31 00:00:00,CERTIFIED,NH,2009-02-15 00:00:00,2009-11-15 00:00:00,VACATION CAMP-RESORTS INTERNATIONAL INC. D/B/A YOG,P.O. BOX 968,,CENTER HARBOR,NH,3226,,,,,AMUSEMENT PARK WORKER,15,7.61,HR,7.61,HR
1337,C-08305-40575,2008-11-14 13:43:27,2008-10-31 00:00:00,CERTIFIED,MS,2008-12-20 00:00:00,2009-09-30 00:00:00,GREEN VALLEY FORESTRY,3412 TORONTO ST.,,MCALLEN,TX,78503,LISA RAY DIAL,1812 CROSSBOW CT.,CHESAPEAKE,VA,FOREST WORKER,150,10.32,HR,10.32,HR
1338,C-08305-40576,2008-11-20 08:41:51,2008-10-31 00:00:00,PARTIAL CERTIFIED,CA,2009-01-15 00:00:00,2009-11-30 00:00:00,"HELM & SONS AMUSEMENTS, INC.",480 AGUA MANSA ROAD,,COLTON,CA,92324,JKJ WORKFORCE JAMES K. JUDKINS,1609 EAST JACKSON,HUGO,OK,AMUSEMENT PARK WORKER,115,8.69,HR,8.69,HR
1339,C-08305-40577,2008-12-02 11:02:48,2008-10-31 00:00:00,DENIED,MS,2008-12-20 00:00:00,2009-09-01 00:00:00,LIBERTY PINE FORESTRY LLC.,128 HWY 80 EAST 169,,CLINTON,MS,39056,LISA RAY DIAL,1812 CROSSBOW CT.,CHESAPEAKE,VA,FOREST WORKER,0,10.32,HR,10.32,HR
1340,C-08305-40578,2008-12-08 10:38:26,2008-10-31 00:00:00,PARTIAL CERTIFIED,MS,2009-02-01 00:00:00,2009-12-01 00:00:00,"NATIONAL FORESTRY SERVICES, LLC.",4209 LAKELAND DRIVE 292,,FLOWOOD,MS,39232,LISA RAY DIAL,1812 CROSSBOW CT.,CHESAPEAKE,VA,FOREST WORKER,200,10.32,HR,10.32,HR
1341,C-08305-40579,2008-12-04 14:44:18,2008-10-31 00:00:00,DENIED,AZ,2008-11-17 00:00:00,2009-06-30 00:00:00,"JOI FOREST, INC.",PO BOX 667,,MEDFORD,OR,97502,GLENDA CABRERA,LABOR CONSULTANTS INTERNATIONAL,POST FALLS,ID,FOREST WORKER,0,10.19,HR,12.62,HR
1342,C-08305-40580,2009-01-20 13:25:15,2008-10-31 00:00:00,CERTIFIED,PA,2009-02-02 00:00:00,2009-11-30 00:00:00,"U.K. ELITE SOCCER, INC.",210 MALAPARDIS RD,SUITE 201,CEDAR KNOLLS,NJ,7927,"KENDRA S KEMBEL, ESQ.",1300 BENT CREEK BLVD.,MECHANICSBURG,PA,HEAD COACH,100,7.15,HR,10.0,HR
1343,C-08305-40581,2008-12-15 15:37:08,2008-10-31 00:00:00,PARTIAL CERTIFIED,MS,2008-12-01 00:00:00,2009-08-31 00:00:00,ONE NATION FORESTRY LLC.,5137 HWY. 13 NORTH,,LENA,MS,39094,"LISA RAY DIAL/ ACN CONSULTING, INC.",1812 CROSSBOW CT.,CHESAPEAKE,VA,FOREST WORKER,150,10.32,HR,10.32,HR
1344,C-08305-40582,2008-12-29 15:39:56,2008-10-31 00:00:00,PARTIAL CERTIFIED,KS,2009-02-09 00:00:00,2009-11-30 00:00:00,"EPIC LANDSCAPE PRODUCTIONS, L.C.",23933 W. 175TH ST.,,GARDNER,KS,66030,"MIRA MDIVANI, ATTORNEY AT LAW",THE MDIVANI LAW FIRM,OVERLAND PARK,KS,"LABORER, LANDSCAPE",90,8.53,HR,8.53,HR
1345,C-08305-40583,2008-12-16 17:52:33,2008-10-31 00:00:00,CERTIFIED,VA,2009-02-03 00:00:00,2009-11-30 00:00:00,"THE BRICKMAN GROUP, LTD.",18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,,"LABORER, LANDSCAPE",175,8.49,HR,8.49,HR
1346,C-08305-40584,2008-12-11 10:49:00,2008-10-31 00:00:00,CERTIFIED,VA,2009-02-02 00:00:00,2009-11-30 00:00:00,"U.K. ELITE SOCCER, INC.",210 MALAPARDIS RD,SUITE 201,CEDAR KNOLLS,NJ,7927,"KENDRA S KEMBEL, ESQ.",1300 BENT CREEK BLVD.,MECHANICSBURG,PA,HEAD COACH,100,10.29,HR,10.29,HR
1347,C-08305-40585,2009-01-09 10:44:24,2008-10-31 00:00:00,DENIED,VA,2009-02-01 00:00:00,2009-12-01 00:00:00,CHAPEL VALLEY LANDSCAPE COMPANY,1617 CEDAR LANE,,STERLING,VA,20166,WORKFORCE ADVANTAGE,C/O FERNANDO SAENZ,RICHMOND,VA,"LABORER, LANDSCAPE",0,8.49,HR,8.89,HR
1348,C-08305-40586,2008-12-15 15:36:12,2008-10-31 00:00:00,CERTIFIED,MS,2008-12-01 00:00:00,2009-07-31 00:00:00,"PEREZ FORESTRY COMPANY, INC.",5133 HWY 13 NORTH,,LENA,MS,39094,LISA RAY DIAL/ ACN CONSULTING INC.,1812 CROSSBOW CT.,CHESAPEAKE,VA,FOREST WORKER,200,10.32,HR,10.32,HR
1349,C-08305-40587,2008-12-15 15:37:50,2008-10-31 00:00:00,PARTIAL CERTIFIED,MS,2008-12-01 00:00:00,2009-07-31 00:00:00,"GLOBAL FORESTRY COMPANY,  INC.",1100 MONICA LANE,,SAN JUAN,TX,78589,LISA RAY DIAL,1812 CROSSBOW CT.,CHESAPEAKE,VA,FOREST WORKER,150,10.32,HR,10.32,HR
1350,C-08305-40588,2008-12-11 08:58:20,2008-10-31 00:00:00,PARTIAL CERTIFIED,MO,2009-02-01 00:00:00,2009-12-01 00:00:00,"LOYET LANDSCAPE MAINTENANCE, INC.",261 HUGHES LANE,,ST. CHARLES,MO,63301,TIFFANY L. BALDWIN,"GREENSFELDER, HEMKER & GALE, P.C.",ST. LOUIS,MO,"LABORER, LANDSCAPE",150,8.65,HR,8.7,HR
1351,C-08305-40589,2008-12-04 16:26:30,2008-10-31 00:00:00,DENIED,MS,2008-12-01 00:00:00,2009-10-20 00:00:00,CHESAPEAKE FORESTRY CORP.,1514 SYLAND BLVD. E. 164,,TUSCALOOSA,AL,35405,LISA RAY DIAL,1812 CROSSBOW CT.,CHESAPEAKE,VA,FOREST WORKER,0,10.32,HR,10.32,HR
1352,C-08305-40590,2008-12-31 15:58:27,2008-10-31 00:00:00,CERTIFIED,PA,2009-02-01 00:00:00,2009-10-31 00:00:00,"F.C. YOUNG & CO., INC. D/B/A YOUNGCRAFT",400 HOWELL STREET,,BRISTOL,PA,19007,"GREGORY J. PALAKOW, ESQ.","ARCHER & GREINER, P.C.",FLEMINGTON,NJ,"PACKAGER, HAND",15,7.15,HR,7.5,HR
1353,C-08305-40591,2008-12-31 15:33:32,2008-10-31 00:00:00,CERTIFIED,PA,2009-02-09 00:00:00,2009-12-09 00:00:00,"DISTEFANO LANDSCAPING SERVICES, INC.",1535 POORHOUSE RD,,DOWNINGTOWN,PA,19335,"DANIEL G. ANNA,  ESQ.",ANNA & ANNA P.C.,MEDIA,PA,"LABORER, LANDSCAPE",35,9.4,HR,9.4,HR
1354,C-08305-40592,2008-12-11 08:17:08,2008-10-31 00:00:00,PARTIAL CERTIFIED,MO,2009-02-02 00:00:00,2009-11-30 00:00:00,WICKMANS GARDEN,1345 SOUTH FORT AVENUE,,SPRINGFIELD,MO,65807,INTERNATIONAL LABOR MANAGEMENT SARAH FARRELL ET. A,PO BOX 630,VASS,NC,"LABORER, LANDSCAPE",40,7.81,HR,7.81,HR
1355,C-08305-40593,2008-12-11 09:50:43,2008-10-31 00:00:00,CERTIFIED,MO,2009-02-02 00:00:00,2009-11-15 00:00:00,"ANCHOR BUILDING SERVICES, INC.",3304 NORTH LINDBERGH BOULEVARD,,SAINT ANN,MO,63074,"MICHAEL X. HARTOLFELIS, ESQ. LOMA USA, INC","40-12 31ST AVE, SUITE1",ASTORIA,NY,"LABORER, LANDSCAPE",134,8.65,HR,8.65,HR
1356,C-08305-40594,2008-12-17 13:17:23,2008-10-31 00:00:00,PARTIAL CERTIFIED,PA,2009-02-02 00:00:00,2009-12-15 00:00:00,ISAAC'S MOVING AND STORAGE INC.,2554 STATE ROAD,,BENSALEM,PA,19020,"CHARLES F. GOLDSMITH, ATTY. AT LAW","100 CUMMINGS CENTER, SUITE 323H",BEVERLY,MA,MATERIAL HANDLER,10,11.77,HR,11.77,HR
1357,C-08305-40595,2008-12-11 11:58:57,2008-10-31 00:00:00,PARTIAL CERTIFIED,MO,2009-02-01 00:00:00,2009-12-01 00:00:00,"ANCHOR BUILDING SERVICES, INC,",3304 NORTH LINDBERGH BOULEVARD,,ST. ANN,MO,63074,"MICHAEL X. HARTOLFELIS, ESQ. LOMA USA, INC","40-12 31ST AVE, SUITE1",ASTORIA,NY,"CLEANER, HOUSEKEEPING",89,7.1,HR,7.1,HR
1358,C-08305-40596,2008-12-29 16:19:19,2008-10-31 00:00:00,CERTIFIED,PA,2009-02-09 00:00:00,2009-12-15 00:00:00,HUNTINGDON LANDSCAPE GROUP,PO BOX 2482,295 STREET ROAD,WARMINSTER,PA,18975,MICHELLE SKOLE,LAW OFFICE OF MICHELLE SKOLE,BENSALEM,PA,"LABORER, LANDSCAPE",10,9.4,HR,9.69,HR
1359,C-08305-40597,2008-12-30 10:44:01,2008-10-31 00:00:00,CERTIFIED,PA,2009-02-09 00:00:00,2009-12-11 00:00:00,PAUL ANGELO'S  LANDSCAPING,62 ACORN DRIVE,,WARMINSTER,PA,18974,MICHELLE SKOLE,LAW OFFICE OF MICHELLE SKOLE,BENSALEM,PA,"LABORER, LANDSCAPE",8,9.4,HR,9.69,HR
1360,C-08305-40598,2008-12-31 14:18:04,2008-10-31 00:00:00,CERTIFIED,PA,2009-02-09 00:00:00,2009-12-09 00:00:00,"MONTOYA LANDSCAPING, INC.",127 STONYBROOK DRIVE,,LEVITTOWN,PA,19055,ELIZABETH WHITLEY,"MAS LABOR H2B, LLC",LOVINGSTON,VA,LANDSCAPE GARDENER,15,9.4,HR,9.4,HR
1361,C-08305-40599,2008-11-05 15:46:40,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,PREMIER PROPERTY SERVICES,6300 N. SAGEWOOD DR. STE. H-107,,PARK CITY,UT,84098,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"CLEANER, HOUSEKEEPING",2,6.9,HR,6.9,HR
1362,C-08305-40600,2009-01-02 10:54:52,2008-10-31 00:00:00,CERTIFIED,PA,2009-02-09 00:00:00,2009-12-09 00:00:00,"TOWN & COUNTRY LAWN CARE, INC.",177 RED OAK DRIVE,,LINCOLN UNIVERSITY,PA,19352,"DANIEL G. ANNA,  ESQ.",ANNA & ANNA P.C.,MEDIA,PA,"LABORER, LANDSCAPE",6,9.4,HR,9.4,HR
1363,C-08305-40601,2008-12-31 14:42:21,2008-10-31 00:00:00,CERTIFIED,PA,2009-02-09 00:00:00,2009-12-09 00:00:00,FRANK A. BLENCE III D/B/A BLENCE TREE & LANDSCAPIN,1205 MARSHALLTON-THORNDALE ROAD,,DOWNINGTOWN,PA,19335,"DANIEL G. ANNA,  ESQ.",ANNA & ANNA P.C.,MEDIA,PA,"LABORER, LANDSCAPE",5,9.4,HR,9.4,HR
1364,C-08305-40602,2008-11-03 15:39:49,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,WESTERN STATES LODGING,6138 SOUTH 380 WEST,,SALT LAKE CITY,UT,84107,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"CLEANER, HOUSEKEEPING",100,6.9,HR,7.5,HR
1365,C-08305-40603,2008-11-03 15:50:44,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,THE ROCKING V CAFE,97 WEST CENTER STREET,,KANAB,UT,84741,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,KITCHEN HELPER,4,6.51,HR,6.55,HR
1366,C-08305-40604,2009-01-28 12:38:27,2008-10-31 00:00:00,DENIED,UT,2009-01-15 00:00:00,2009-11-15 00:00:00,SPECTRUM LANDSCAPING SERVICES,3684 EAST CENTER CREEK ROAD,,HEBER CITY,UT,84032,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",0,7.47,HR,7.47,HR
1367,C-08305-40605,2008-11-03 14:01:54,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,SLEEPY RIDGE GOLF LINKS,700 SOUTH SLEEPY RIDGE DRIVE,,OREM,UT,84058,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",50,6.96,HR,7.0,HR
1368,C-08305-40606,2008-11-03 15:57:01,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,"SUNLINE LANDSCAPE AND ROCKWALLS, LLC",5236 WEST PLACID ROSE DR.,,HERRIMAN,UT,84065,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",20,8.09,HR,8.09,HR
1369,C-08305-40607,2008-11-03 13:56:13,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,"TERRA WORKS, INC.",567 WEST 800 SOUTH,,WOODS CROSS,UT,84087,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",15,6.73,HR,6.73,HR
1370,C-08305-40608,2008-11-03 14:09:04,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,"UTAH CLEAN, INC",1358 INDIANA AVENUE,,SALT LAKE CITY,UT,84104,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"MAINTENANCE REPAIRER HELPER, INDUSTRIAL",5,8.93,HR,8.93,HR
1371,C-08305-40609,2008-11-03 14:42:52,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,"STEVE-N-SON LANDSCAPE, INC.",11308 SOUTH 675 WEST,,SOUTH JORDAN,UT,84095,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",10,8.09,HR,8.09,HR
1372,C-08305-40610,2008-11-03 13:53:20,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,TURF SPRINKLER CO.,2808 EAST MT. JORDAN ROAD,,SANDY,UT,84092,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",40,8.09,HR,8.09,HR
1373,C-08305-40611,2008-11-03 15:39:14,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,SUNRISE MOWING & LANDSCAPING,10301 SILVER WILLOW DRIVE,,SANDY,UT,84070,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",30,8.09,HR,8.25,HR
1374,C-08305-40612,2009-01-07 15:27:16,2008-10-31 00:00:00,CERTIFIED,PA,2009-01-02 00:00:00,2009-03-15 00:00:00,"COUZINS, INC.",177 WISSAHICKON AVE,,NORTH WALES,PA,19454,"INTERNATIONAL PERSONNEL RESOURCES, INC",PO BOX 1507,WEST CHESTER,PA,FENCE ERECTOR,3,12.83,HR,12.83,HR
1375,C-08305-40613,2008-12-11 08:44:53,2008-10-31 00:00:00,CERTIFIED,NV,2009-02-01 00:00:00,2009-12-01 00:00:00,"STS ENGINEERING, INC.",8436 ILLUSIONARY MAGIC CIRCLE,,LAS VEGAS,NV,89131,"MICHAEL X. HARTOLFELIS, ESQ. LOMA USA, INC","40-12 31ST AVE, SUITE1",ASTORIA,NY,EXPERIMENTAL AIRCRAFT MECHANIC,60,17.42,HR,17.42,HR
1376,C-08305-40614,2009-03-05 15:04:01,2008-10-31 00:00:00,DENIED,PA,2009-02-13 00:00:00,2009-12-13 00:00:00,"EAGLE IRRIGATION, INC.",492 MANOR-HARRISON CITY ROAD,,HARRISON CITY,PA,15636,"MAS LABOR H2B , LLC",ELIZABETH  WHITLEY,LOVINGSTON,VA,"LABORER, LANDSCAPE",0,8.21,HR,8.21,HR
1377,C-08305-40615,2008-11-24 16:40:56,2008-10-31 00:00:00,CERTIFIED,NY,2009-01-04 00:00:00,2009-10-04 00:00:00,MARGARET PIROVANO,88 EASTWOODS ROAD,,POUND RIDGE,NY,10576,JEFFREY A. DEVORE,P.O. BOX 30189,PALM BEACH GARDENS,FL,STABLE ATTENDANT,1,14.32,HR,14.32,HR
1378,C-08305-40616,2008-12-18 13:54:01,2008-10-31 00:00:00,CERTIFIED,PA,2009-02-01 00:00:00,2009-12-01 00:00:00,SHAN-GRI-LA FARM,6176 HARING ROAD,,PLUMSTEADVILLE,PA,18949,"MAS LABOR H2B, LLC/ELIZABETH WHITLEY",650 FRONT STREET,LOVINGSTON,VA,"LABORER, LANDSCAPE",9,9.4,HR,9.4,HR
1379,C-08308-40617,2008-11-06 12:35:15,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,GOUGH CONSTRUCTION,8186 SOUTH 1300 WEST,,WEST JORDAN,UT,84088,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,CONSTRUCTION WORKER I,30,8.52,HR,8.52,HR
1380,C-08308-40618,2008-12-11 08:05:11,2008-10-31 00:00:00,PARTIAL CERTIFIED,VA,2009-02-02 00:00:00,2009-11-30 00:00:00,"CLARK LANDSCAPING & LAWN CARE, INC.",4410 SUNNY MEADE ROAD,,RUSTBURG,VA,24588,"MAS LABOR H2B, LLC  ELIZABETH WHITLEY",650 FRONT ST.,LOVINGSTON,VA,"LABORER, LANDSCAPE",21,8.13,HR,8.13,HR
1381,C-08308-40619,2008-11-03 14:36:12,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,"CTR CONCRETE & CONSTRUCTION, INC.",9067 SOUTH 5600 WEST,,PAYSON,UT,84651,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,CONSTRUCTION WORKER I,16,9.58,HR,9.58,HR
1382,C-08308-40620,2008-11-03 14:40:11,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,"DAVIS MARBLE & GRANITE, INC.",595 W. 3410 SOUTH,,SALT LAKE CITY,UT,84119,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,CONSTRUCTION WORKER I,5,8.52,HR,8.52,HR
1383,C-08308-40621,2009-03-05 14:58:10,2008-10-31 00:00:00,DENIED,PA,2009-02-13 00:00:00,2009-11-30 00:00:00,"PAUL'S LAWN & LANDSCAPING, INC",160 WILLIOW DRIVE,,LEVITTOWN,PA,19054,"MAS LABOR H2B , LLC",ELIZABETH  WHITLEY,LOVINGSTON,VA,"LABORER, LANDSCAPE",0,9.4,HR,9.4,HR
1384,C-08308-40622,2008-11-03 15:33:02,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,COMMERCE MECHANICAL,4663 S. CHERRY ST.,,MURRAY,UT,84123,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,CONSTRUCTION WORKER I,12,8.52,HR,8.52,HR
1385,C-08308-40623,2008-11-03 14:32:49,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,YARDSHAPER LANDSCAPE,14336 SOUTH 3600 WEST,,RIVERTON,UT,84065,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",20,8.09,HR,8.09,HR
1386,C-08308-40624,2009-02-12 09:31:44,2008-10-31 00:00:00,DENIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,"WHITE PINES LANDSCAPING, LLC.",2035 WESTERN CHARM DRIVE,,RIVERTON,UT,84065,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",0,8.09,HR,8.09,HR
1387,C-08308-40625,2008-11-03 15:54:06,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,"VALLEY VIEW LANDSCAPING, LLC",336 EAST 160 NORTH,,AMERICAN FORK,UT,84003,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",10,6.96,HR,6.96,HR
1388,C-08308-40626,2008-12-11 07:59:32,2008-10-31 00:00:00,CERTIFIED,NY,2008-12-15 00:00:00,2009-03-15 00:00:00,"GREEN SIDE CONTRACTING, INC",5050 HYLAN BOULEVARD,,STATEN ISLAND,NY,10312,"INTERNATIONAL PERSONNEL RESOURCES, INC",PO BOX 1507,WEST CHESTER,PA,PATTERN ASSEMBLER,10,10.75,HR,10.75,HR
1389,C-08308-40627,2008-11-03 13:48:52,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,PARKIN LANDSCAPING DBA SUNCREST LANDSCAPING CO.,2790 NORTH 675 EAST,,LEHI,UT,84043,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",16,6.96,HR,6.96,HR
1390,C-08308-40628,2008-11-03 14:38:42,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,PEREZ LANDSCAPING,5447 BALSA AVENUE,,WEST JORDAN,UT,84084,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",45,8.09,HR,8.09,HR
1391,C-08308-40629,2008-11-03 14:31:55,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,"WESTSIDE PROPERTY MANAGEMENT, LLC",1161 SOUTH NAVAJO STREET,,SALT LAKE CITY,UT,84104,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",50,8.09,HR,8.09,HR
1392,C-08308-40630,2008-12-16 15:54:34,2008-10-31 00:00:00,CERTIFIED,MA,2009-02-02 00:00:00,2009-12-01 00:00:00,"JAMS LAWN AND GARDENING, INC.",1790 SEVERN CHAPEL ROAD,,MILLERSVILLE,MD,21108,,,,,"LABORER, LANDSCAPE",60,8.89,HR,8.9,HR
1393,C-08308-40631,2008-11-03 15:48:11,2008-10-31 00:00:00,CERTIFIED,UT,2008-01-02 00:00:00,2009-10-31 00:00:00,EAGLE PRECAST COMPANY,6087 WEST 5400 SOUTH,,WEST VALLEY,UT,84118,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,CONSTRUCTION WORKER I,90,8.52,HR,8.52,HR
1394,C-08308-40632,2008-11-04 11:46:10,2008-10-31 00:00:00,CERTIFIED,UT,2009-01-02 00:00:00,2009-10-31 00:00:00,COBBLE CREEK CONSTRUCTION,63 EAST DAY CREEK DRIVE,,LEHI,UT,84043,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,CONSTRUCTION WORKER I,15,9.58,HR,9.75,HR
