,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
1961,C-07319-29658,2007-12-05 10:20:59,2007-11-14 00:00:00,CERTIFIED,CO,2008-02-15 00:00:00,2008-11-30 00:00:00,"LANDTECH CONTRACTORS, INC.",525 N. LAREDO STREET,,AURORA,CO,80011,"KATHERIN L. AHL, AGENT LABOR SOLUTIONS, INC.",P.O.BOX 6,DRAKE,CO,"LABORER, LANDSCAPE",150.0,8.51,HR,8.51,HR
1962,C-07319-29659,2007-12-05 10:22:14,2007-11-14 00:00:00,CERTIFIED,CO,2008-02-15 00:00:00,2008-11-30 00:00:00,"JDR COMPANY, INC.",895 SHERIDAN BLVD.,,LAKEWOOD,CO,80214,"KATHERIN L. AHL, AGENT","LABOR SOLUTIONS, INC.",DRAKE,CO,"LABORER, LANDSCAPE",6.0,8.51,HR,8.51,HR
1963,C-07319-29662,2007-12-05 10:23:35,2007-11-14 00:00:00,CERTIFIED,CO,2008-02-15 00:00:00,2008-12-15 00:00:00,"BLUE MOUNTAIN STONE, INC.",4168 UTE HIGHWAY,,LONGMONT,CO,80503,"KATHERIN L. AHL, AGENT","LABOR SOLUTIONS, INC.",DRAKE,CO,QUARRY PLUG AND FEATHER DRILLER,75.0,10.69,HR,10.69,HR
1964,C-07333-30692,2007-12-05 10:24:00,2007-11-28 00:00:00,CERTIFIED,TX,2008-02-10 00:00:00,2008-12-01 00:00:00,GUERRERO'S CONCRETE INC.,4514 FM 1585,,LUBBOCK,TX,79424,MEHRON  AZARMEHR,"AZARMEHR & ASSOCIATES, P.C.",AUSTIN,TX,CONSTRUCTION WORKER I,15.0,8.93,HR,8.93,HR
1965,C-07333-30696,2007-12-05 10:25:25,2007-11-28 00:00:00,CERTIFIED,TX,2008-02-15 00:00:00,2008-12-15 00:00:00,ACME BRICK COMPANY,2821 WEST 7TH STREET,,FORT WORTH,TX,76107,MEHRON  AZARMEHR,"AZARMEHR & ASSOCIATES, P.C.",AUSTIN,TX,PRODUCTION HELPER,150.0,7.57,HR,7.57,HR
1966,C-07333-30702,2007-12-05 10:30:06,2007-11-28 00:00:00,CERTIFIED,TX,2008-02-15 00:00:00,2008-12-15 00:00:00,"JUNIOR CONSTRUCTION COMPANY, INC.",1413 S. BROADWAY,,JOSHUA,TX,76058,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD STREET, SUITE 440",DALLAS,TX,CONSTRUCTION WORKER I,28.0,8.13,HR,8.2,HR
1967,C-07333-30704,2007-12-05 10:31:34,2007-11-28 00:00:00,CERTIFIED,TX,2008-02-15 00:00:00,2008-12-15 00:00:00,"MAINSCAPE, INC.",114 BURL,,CORINTH,TX,76208,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD STREET, SUITE 440",DALLAS,TX,"LABORER, LANDSCAPE",11.0,7.56,HR,7.58,HR
1968,C-07334-30803,2007-12-05 10:34:26,2007-11-29 00:00:00,PARTIAL CERTIFIED,MO,2008-02-15 00:00:00,2008-12-15 00:00:00,"CREATIVE SURROUNDINGS, INC.",1810 BUSINESS 70 WEST,,COLUMBIA,MO,65202,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD STREET, SUITE 440",DALLAS,TX,"LABORER, LANDSCAPE",18.0,8.04,HR,8.06,HR
1969,C-07319-29664,2007-12-05 10:34:38,2007-11-14 00:00:00,CERTIFIED,CO,2008-02-15 00:00:00,2008-11-30 00:00:00,"CONTINENTAL HARDSCAPE SYSTEMS, LLC","1860 DENVER WEST DRIVE, SUITE # 2023",,GOLDEN,CO,80401,"KATHERIN L. AHL, AGENT","LABOR SOLUTIONS, INC.",DRAKE,CO,"LABORER, LANDSCAPE",50.0,8.51,HR,8.51,HR
1970,C-07319-29667,2007-12-05 10:40:08,2007-11-14 00:00:00,PARTIAL CERTIFIED,CO,2008-02-15 00:00:00,2008-11-30 00:00:00,"FREDELL ENTERPRISES, INC.","2929 NORTH PROSPECT STREET, # 105",,COLORADO SPRINGS,CO,80907,"KATHERIN L. AHL, AGENT","LABOR SOLUTIONS, INC.",DRAKE,CO,"LABORER, LANDSCAPE",25.0,8.66,HR,8.66,HR
1971,C-07337-30924,2007-12-05 10:53:25,2007-11-30 00:00:00,CERTIFIED,UT,2008-02-01 00:00:00,2008-11-30 00:00:00,TERRA WORKS INC.,567 WEST 800 SOUTH,,WOODS CROSS,UT,84087,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",15.0,7.41,HR,7.8,HR
1972,C-07312-29343,2007-12-05 10:54:09,2007-11-08 00:00:00,CERTIFIED,OH,2008-02-13 00:00:00,2008-12-15 00:00:00,MORTON'S LANDSCAPE DEVELOPMENT CO.,11564 NORTH STATION ROAD,,COLUMBIA STATION,OH,44028,ELIZABETH D. WHITLEY,"MAS LABOR H2B, LLC",LOVINGSTON,VA,"LABORER, LANDSCAPE",15.0,7.54,HR,7.54,HR
1973,C-07319-29691,2007-12-05 10:59:04,2007-11-14 00:00:00,PARTIAL CERTIFIED,MO,2008-02-11 00:00:00,2008-12-01 00:00:00,"THE BRICKMAN GROUP, LTD.",18227 - D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,,"LABORER, LANDSCAPE",200.0,7.88,HR,7.88,HR
1974,A-07337-30958,2007-12-05 11:01:15,2007-11-30 00:00:00,CERTIFIED,MD,2008-02-15 00:00:00,2008-12-15 00:00:00,"CREATIVE LANDSCAPES BY GREGORY, INC.",6126 JEFFERSON PIKE,,FREDERICK,MD,21703,WORKFORCE ADVANTAGE/FERNANDO E. SAENZ,P.O. BOX 9168,RICHMOND,VA,"LABORER, LANDSCAPE",75.0,8.68,HR,8.75,HR
1975,C-07337-30960,2007-12-05 11:01:30,2007-11-30 00:00:00,CERTIFIED,UT,2008-02-01 00:00:00,2008-11-30 00:00:00,TRIPLE A LANDSCAPING,172 SOUTH STATE STREET,,OREM,UT,84057,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,"LABORER, LANDSCAPE",12.0,7.23,HR,7.23,HR
1976,C-07334-30790,2007-12-05 11:01:39,2007-11-29 00:00:00,CERTIFIED,MO,2008-02-15 00:00:00,2008-12-01 00:00:00,WORMINGTON ENTERPRISES INC,3619 N. HIGH,,JACKSON,MO,63755,,,,,"LABORER, LANDSCAPE",11.0,6.63,HR,7.0,HR
1977,A-07337-30923,2007-12-05 11:02:53,2007-11-30 00:00:00,CERTIFIED,VA,2008-02-15 00:00:00,2008-12-15 00:00:00,B. RUSHING LAWN & LANDSCAPING INC.,7805 CINDER BED ROAD,,LORTON,VA,22079,FEDERATION OF EMPLOYERS AND,WORKERS  OF AMERICA,BAY CITY,TX,"LABORER, LANDSCAPE",16.0,8.65,HR,8.65,HR
1978,C-07320-29793,2007-12-05 11:03:50,2007-11-15 00:00:00,CERTIFIED,IL,2008-02-11 00:00:00,2008-12-01 00:00:00,"THE BRICKMAN GROUP, LTD.",18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,,"LABORER, LANDSCAPE",100.0,7.9,HR,7.9,HR
1979,A-07337-30939,2007-12-05 11:03:59,2007-11-30 00:00:00,CERTIFIED,MD,2008-02-15 00:00:00,2008-12-15 00:00:00,HARTSOE PROPERTY SERVICES,150 NICHOLAS ST.,,BEL AIR,MD,21014,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD STREET, SUITE 440",DALLAS,TX,"LABORER, LANDSCAPE",13.0,8.45,HR,8.48,HR
1980,A-07327-30232,2007-12-05 11:05:35,2007-11-20 00:00:00,CERTIFIED,NJ,2008-02-15 00:00:00,2008-12-15 00:00:00,"REEVES LAWN CARE, LLC",103 N. COLOGNE AVE,,EGG HARBOR CITY,NJ,8215,"AMIGOS LABOR SOLUTINS, INC","3141 HOOD STREET, SUITE 440",DALLAS,TX,"LABORER, LANDSCAPE",12.0,8.86,HR,8.86,HR
1981,A-07337-30922,2007-12-05 11:06:45,2007-11-29 00:00:00,CERTIFIED,VA,2008-02-15 00:00:00,2008-11-30 00:00:00,A PLUS LAWN CARE,16871 LEESVILLE RD.,,EVINGTON,VA,24550,WORKFORCE ADVANTAGE,FERNANDO E. SEANZ,RICHMOND,VA,"LABORER, LANDSCAPE",6.0,7.7,HR,8.0,HR
1982,C-07306-29069,2007-12-05 11:06:49,2007-11-02 00:00:00,CERTIFIED,KS,2008-02-12 00:00:00,2008-12-12 00:00:00,"HERMES LANDSCAPING, INC.",12421 SANTA FE TRAIL DRIVE,,LENEXA,KS,6215,JAMES  S. HOLT,"1120 20TH STREET, NW SUITE 700",WASHINGTON,DC,"LABORER, LANDSCAPE",20.0,13.19,HR,13.5,HR
1983,A-07337-30943,2007-12-05 11:07:44,2007-11-30 00:00:00,CERTIFIED,MD,2008-02-15 00:00:00,2008-12-15 00:00:00,THOMAS RUN TIMBERLINE INC.,2128 THOMAS RUN ROAD,,BEL AIR,MD,21015,WORKFORCE ADVANTAGE FERNANDO E. SAENZ,P.O. BOX 9168,RICHMOND,VA,"LABORER, LANDSCAPE",10.0,8.45,HR,8.45,HR
1984,C-07323-29905,2007-12-05 11:07:58,2007-11-16 00:00:00,CERTIFIED,OH,2008-02-11 00:00:00,2008-12-01 00:00:00,"THE BRICKMAN GROUP, LTD.",18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,,"LABORER, LANDSCAPE",75.0,7.54,HR,7.54,HR
1985,C-07306-29070,2007-12-05 11:08:07,2007-11-02 00:00:00,CERTIFIED,KS,2008-02-12 00:00:00,2008-12-12 00:00:00,"HERMES LANDSCAPING, INC.",12421 SANTA FE TRAIL DRIVE,,LENEXA,KS,66215,JAMES  S. HOLT,"1120 20TH STREET, NW SUITE 700",WASHINGTON,DC,"LABORER, LANDSCAPE",70.0,,,,
1986,C-07330-30291,2007-12-05 11:08:19,2007-11-23 00:00:00,CERTIFIED,TX,2008-02-15 00:00:00,2008-12-15 00:00:00,GREEN HILLS LANDSCAPING AND CONSTRUCTION CO.,806 WOODROW ST.,,ARLINGTON,TX,76012,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"LABORER, LANDSCAPE",20.0,7.56,HR,7.56,HR
1987,C-07324-30004,2007-12-05 11:10:17,2007-11-19 00:00:00,CERTIFIED,CA,2008-02-01 00:00:00,2008-11-30 00:00:00,TAHOE CLUB COMPANY,PO BOX 2387,,TRUCKEE,CA,96161,,,,,"LABORER, LANDSCAPE",60.0,8.68,HR,9.0,HR
1988,A-07319-29755,2007-12-05 11:13:46,2007-11-15 00:00:00,PARTIAL CERTIFIED,MS,2008-02-15 00:00:00,2008-12-15 00:00:00,"NATURE'S CHOICE LAWN & LANDSCAPE MANAGEMENT, INC.",P.O. BOX  2776,,MADISON,MS,39130,THE LABOR COMPANY,A. WRIGHT,AMHERST,VA,"LABORER, LANDSCAPE",8.0,7.37,HR,7.37,HR
1989,C-07306-29071,2007-12-05 11:17:22,2007-11-02 00:00:00,CERTIFIED,KS,2008-02-12 00:00:00,2008-12-12 00:00:00,"HERMES LANDSCAPING, INC.",12421 SANTA FE TRAIL DRIVE,,LENEXA,KS,66215,JAMES  S. HOLT,"1120 20TH STREET, NW SUITE 700",WASHINGTON,DC,"LABORER, LANDSCAPE",160.0,8.33,HR,8.35,HR
1990,C-07324-30010,2007-12-05 11:17:55,2007-11-19 00:00:00,PARTIAL CERTIFIED,TX,2008-02-11 00:00:00,2008-12-01 00:00:00,"THE BRICKMAN GROUP, LTD.",18227 - D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,,"LABORER, LANDSCAPE",100.0,6.65,HR,6.65,HR
1991,C-07324-30051,2007-12-05 11:19:35,2007-11-19 00:00:00,CERTIFIED,IL,2008-02-11 00:00:00,2008-12-01 00:00:00,"THE BRICKMAN GROUP, LTD.",18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,,"LABORER, LANDSCAPE",70.0,8.31,HR,8.31,HR
1992,C-07324-30061,2007-12-05 11:21:07,2007-11-19 00:00:00,CERTIFIED,TX,2008-02-01 00:00:00,2008-11-30 00:00:00,BIG J PLUMBING CO.,1879 WINDMERE,,CANYON LAKE,TX,78133,BELINDA RODRIGUEZ,PRO SERVICES,SAN ANTONIO,TX,PIPE FITTER HELPER,10.0,8.3,HR,8.3,HR
1993,C-07337-30955,2007-12-05 11:21:26,2007-11-30 00:00:00,CERTIFIED,UT,2008-02-01 00:00:00,2008-11-30 00:00:00,OUR HOUSE PAINTING,574 WEST INVERNESS LANE,,HEBER CITY,UT,84032,JAMES ALCALA,"ALCALA LAW FIRM, PC",SALT LAKE CITY,UT,CONSTRUCTION WORKER II,5.0,7.34,HR,7.34,HR
1994,C-07333-30752,2007-12-05 11:31:58,2007-11-29 00:00:00,CERTIFIED,TX,2008-02-11 00:00:00,2008-12-01 00:00:00,"THE BRICKMAN GROUP, LTD.",18227 - D FLOWER HILL WAY,,GAITHERSBURG,TX,20879,,,,,"LABORER, LANDSCAPE",35.0,7.38,HR,7.38,HR
1995,C-07333-30773,2007-12-05 11:34:43,2007-11-28 00:00:00,CERTIFIED,TX,2008-02-08 00:00:00,2008-12-08 00:00:00,"TEXAS ROOF MANAGEMENT, INC.",728 LINGCO DR.,,RICHARDSON,TX,75081,"MARTINEZ & MARTINEZ, PLLC","8828 N. STEMMONS FRWY., STE. 200",DALLAS,TX,ROOFER,40.0,9.38,HR,9.38,HR
1996,C-07323-29916,2007-12-05 11:36:06,2007-11-16 00:00:00,CERTIFIED,TX,2008-01-14 00:00:00,2008-11-14 00:00:00,ROMAN & ROMAN,16524 RED WAGON LANE,,LEANDER,TX,78641,"SAM HADDAD, ATTORNEY AT LAW",P.O. BOX 5085,AUSTIN,TX,"BRICKLAYER HELPER, FIREBRICK AND REFRACTORY TILE",20.0,8.62,HR,8.65,HR
1997,C-07319-29756,2007-12-05 11:37:35,2007-11-15 00:00:00,CERTIFIED,TX,2007-10-01 00:00:00,2008-07-31 00:00:00,AMTEX GENERAL CONTRACTOR LLC.,2006 JACKSON RD,,PHARR,TX,78523,BELINDA RODRIGUEZ,PRO SERVICES,SAN ANTONIO,TX,WELDER FITTER,200.0,8.51,HR,9.12,HR
1998,C-07311-29298,2007-12-05 11:39:02,2007-11-07 00:00:00,CERTIFIED,OH,2008-02-13 00:00:00,2008-11-23 00:00:00,WILLOWAY WHOLESALE DISTRIBUTION CENTER,4534 CENTER ROAD (PO BOX 299),,AVON,OH,44011,"MAS LABOR H2B, LLC",ELIZABETH D. WHITLEY,LOVINGSTON,VA,HORTICULTURAL WORKER II,7.0,7.33,HR,8.0,HR
1999,C-07319-29631,2007-12-05 11:40:30,2007-11-14 00:00:00,CERTIFIED,MI,2008-02-11 00:00:00,2008-12-01 00:00:00,"THE BRICKMAN GROUP, LTD.",18227 D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,,"LABORER, LANDSCAPE",25.0,7.27,HR,7.27,HR
2000,C-07319-29670,2007-12-05 11:41:47,2007-11-14 00:00:00,CERTIFIED,CO,2008-02-11 00:00:00,2008-12-01 00:00:00,"THE BRICKMAN GROUP, LTD.",18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,,"LABORER, LANDSCAPE",30.0,8.66,HR,8.66,HR
2001,C-07333-30760,2007-12-05 11:41:53,2007-11-29 00:00:00,CERTIFIED,TX,2008-02-15 00:00:00,2008-11-30 00:00:00,"LPT, INC. DBA LANDSCAPE PROFESSIONALS OF TEXAS",9824 JAMISON DRIVE,,DALLAS,TX,75220,"AMIGOS LABOR SOLUTINS, INC.","3141 HOOD STREET, SUITE 440",DALLAS,TX,"LABORER, LANDSCAPE",45.0,7.56,HR,7.58,HR
2002,C-07330-30310,2007-12-05 11:42:19,2007-11-23 00:00:00,CERTIFIED,TX,2008-02-15 00:00:00,2008-12-15 00:00:00,AQUARIUS IRRIGATION AND LANDSCAPING,8501 BLUFF SPRINGS RD.,,AUSTIN,TX,78744,,,,,"LABORER, LANDSCAPE",20.0,7.38,HR,8.62,HR
2003,C-07319-29697,2007-12-05 11:44:19,2007-11-14 00:00:00,PARTIAL CERTIFIED,MI,2008-02-11 00:00:00,2008-12-01 00:00:00,"THE BRICKMAN GROUP, LTD.",18227 - D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,,"LABORER, LANDSCAPE",120.0,7.64,HR,7.64,HR
2004,C-07320-29850,2007-12-05 11:45:40,2007-11-14 00:00:00,CERTIFIED,CO,2008-02-11 00:00:00,2008-12-01 00:00:00,THE BRICKMAN GROUP. LTD,18227 D. FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,,"LABORER, LANDSCAPE",120.0,8.51,HR,8.51,HR
2005,C-07318-29629,2007-12-05 11:45:59,2007-11-13 00:00:00,CERTIFIED,TX,2008-02-04 00:00:00,2008-11-28 00:00:00,JAVIER MARTINEZ'S LAWN CARE CO,2020 LYLE AVENUE,,WACO,TX,76708,MATTHEW T. TOURTELLOTT,USA WORKS.... FOR YOU,LAKE PARK,GA,"LABORER, LANDSCAPE",25.0,7.64,HR,7.64,HR
2006,C-07323-29940,2007-12-05 11:47:56,2007-11-16 00:00:00,PARTIAL CERTIFIED,MI,2008-02-11 00:00:00,2008-12-01 00:00:00,THE BRICKMAN GROUP. LTD,18227 D. FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,,"LABORER, LANDSCAPE",30.0,7.15,HR,7.15,HR
2007,C-07324-30008,2007-12-05 11:49:27,2007-11-19 00:00:00,CERTIFIED,TX,2008-02-01 00:00:00,2008-12-01 00:00:00,"MALDONADO LANDSCAPE & IRRIGATION, LTD",120 E. ZIPP RD.,,NEW BRAUNFELS,TX,78130,ROBERT D. KERSHAW,"REINA & KERSHAW, P.C.",AUSTIN,TX,"LABORER, LANDSCAPE",60.0,7.0,HR,7.0,HR
2008,C-07312-29341,2007-12-05 12:14:30,2007-11-08 00:00:00,CERTIFIED,KS,2008-02-13 00:00:00,2008-12-15 00:00:00,KONRADY'S LAWN & LANDSCAPING,4512  SPEAKER ROAD,,KANSAS CITY,KS,66106,ELIZABETH D. WHITLEY,"MAS LABOR H2B, LLC",LOVINGSTON,VA,"LABORER, LANDSCAPE",25.0,8.33,HR,8.33,HR
2009,C-07309-29106,2007-12-05 12:17:36,2007-11-05 00:00:00,CERTIFIED,LA,2008-02-15 00:00:00,2008-11-30 00:00:00,HERRON WIRE PRODUCTS,P.O. BOX 1152,,SLIDELL,LA,70459,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD STREET, SUITE 440",DALLAS,TX,PRODUCTION HELPER,9.0,7.59,HR,7.6,HR
2010,C-07324-30101,2007-12-05 12:23:07,2007-11-19 00:00:00,CERTIFIED,TX,2008-02-01 00:00:00,2008-12-01 00:00:00,"KATCO CONSTRUCTION, INC.",140 CO. RD. 316,,LLANO,TX,78643,ROBERT D. KERSHAW,"REINA & KERSHAW, P.C.",AUSTIN,TX,CARPENTER,8.0,8.66,HR,8.66,HR
2011,C-07330-30283,2007-12-05 12:29:02,2007-11-23 00:00:00,CERTIFIED,TX,2008-02-01 00:00:00,2008-12-01 00:00:00,"MALDONADO NURSERY & LANDSCAPING, INC.",16348 NACOGDOCHES RD.,,SAN ANTONIO,TX,78247,ROBERT D. KERSHAW,"REINA & KERSHAW, P.C.",AUSTIN,TX,"LABORER, LANDSCAPE",200.0,7.0,HR,7.0,HR
2012,C-07324-30027,2007-12-05 12:35:49,2007-11-19 00:00:00,CERTIFIED,TX,2008-01-14 00:00:00,2008-11-14 00:00:00,COLE  CONSTRUCTION,1001 RIVER ROAD,,GATESVILLE,TX,76528,SAM HADDAD,ATTORNEY AT LAW,AUSTIN,TX,CONSTRUCTION WORKER I,14.0,7.83,HR,9.5,HR
2013,C-07323-29920,2007-12-05 12:50:57,2007-11-16 00:00:00,CERTIFIED,CO,2008-02-15 00:00:00,2008-11-30 00:00:00,GRANDVIEW LANDSCAPE IRRIGATION CORP,14795 W. 44TH AVE.,,GOLDEN,CO,80403,FEDERATION OF EMPLOYERS AND,WORKERS  OF AMERICA,BAY CITY,TX,"LABORER, LANDSCAPE",40.0,8.51,HR,8.51,HR
2014,C-07320-29820,2007-12-05 12:55:13,2007-11-15 00:00:00,CERTIFIED,LA,2008-02-10 00:00:00,2008-11-14 00:00:00,"MARCOR REMEDIATION, INC.",246 COCKEYSVILLE ROAD,,HUNT VALLEY,MD,21030,MEHRON  AZARMEHR,"AZARMEHR & ASSOCIATES, P.C.",AUSTIN,TX,"LABORER, LANDSCAPE",5.0,6.94,HR,9.0,HR
2015,A-07332-30605,2007-12-05 13:19:07,2007-11-27 00:00:00,CERTIFIED,MD,2008-02-15 00:00:00,2008-12-15 00:00:00,"CHESAPEAKE GARDEN DESIGN, INC.",4265 CHAPEL ROAD,,PERRY HALL,MD,21128,"AMIGOS LABOR SOLUTIONS, INC.",3141 HOOD STREET,DALLAS,TX,"LABORER, LANDSCAPE",8.0,8.45,HR,8.48,HR
2016,C-07317-29416,2007-12-05 14:12:23,2007-11-13 00:00:00,CERTIFIED,ID,2008-02-10 00:00:00,2008-11-10 00:00:00,"NORTHERN STONE SUPPLY, INC.",203 W. MAIN,P.O. BOX 249,OAKLAEY,ID,83346,,,,,ROCK SPLITTER,55.0,9.17,HR,9.39,HR
2017,C-07320-29824,2007-12-05 14:33:49,2007-11-15 00:00:00,PARTIAL CERTIFIED,LA,2008-02-15 00:00:00,2008-11-30 00:00:00,"BOB'S TREE PRESERVATION, INC.",740 SOUTH MAIN,,CHURCH POINT,LA,70525,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD STREET, SUITE 440",DALLAS,TX,LAWN SERVICE WORKER,12.0,9.71,HR,9.74,HR
2018,A-07319-29716,2007-12-05 14:37:55,2007-11-04 00:00:00,CERTIFIED,PA,2008-02-15 00:00:00,2008-12-15 00:00:00,"PICKLE, INC. DBA FLAMINGO LANDSCAPE & SUPPLY",324 FOREST GROVE ROAD,,CORAOPOLIS,PA,15108,THE LABOR COMPANY,A. WRIGHT,AMHERST,VA,"LABORER, LANDSCAPE",25.0,7.29,HR,7.5,HR
2019,A-07311-29288,2007-12-05 14:47:09,2007-11-06 00:00:00,PARTIAL CERTIFIED,VA,2008-02-13 00:00:00,2008-11-30 00:00:00,SHORES & SHORES,510 LORD MOTT ROAD,,URBANNA,VA,23175,"MAS LABOR H2B, LLC ELIZABETH D. WHITLEY",PO BOX 507,LOVINGSTON,VA,CONSTRUCTION WORKER II,10.0,9.1,HR,9.1,HR
2020,C-07313-29369,2007-12-05 15:44:05,2007-11-09 00:00:00,PARTIAL CERTIFIED,IL,2008-02-15 00:00:00,2008-12-15 00:00:00,"VIDAL LANDSCAPING, INC.",314 WEYMOUTH AV.,,ELGIN,IL,60123,"INTERNATIONAL LABOR MANAGEMENT CORP, SARAH  FARREL",230 CAMERON AVE,VASS,NC,"LABORER, LANDSCAPE",60.0,7.9,HR,7.9,HR
2021,C-07306-29074,2007-12-05 15:49:32,2007-11-02 00:00:00,CERTIFIED,LA,2008-02-14 00:00:00,2008-12-15 00:00:00,BNL ENTERPRISESLLC D/B/A U.S. LAWNS OF NEW ORLEANS,P.O.BOX 10223,,NEW ORLEANS,LA,70181,A. WRIGHT,THE LABOR COMPANY,AMHERST,VA,"LABORER, LANDSCAPE",20.0,6.94,HR,7.0,HR
2022,C-07310-29240,2007-12-05 15:55:17,2007-11-06 00:00:00,CERTIFIED,LA,2008-02-15 00:00:00,2008-12-15 00:00:00,"NEWTON LANDSCAPE GROUP, INC",8930 BUZBEE DRIVE,,BATON ROUGE,LA,70809,A. WRIGHT,THE LABOR COMPANY,AMHERST,VA,"LABORER, LANDSCAPE",8.0,6.75,HR,7.0,HR
2023,C-07333-30723,2007-12-06 08:08:46,2007-11-28 00:00:00,CERTIFIED,TX,2008-02-15 00:00:00,2008-12-15 00:00:00,"GARZA MASONRY STONE, INC.",8299 S.W. LOOP 410,,SAN ANTONIO,TX,78242,"AMIGOS LABOR SOLUTIONS, INC","3141 HOOD STREET, SUITE 440",DALLAS,TX,STOCK CLERK,38.0,7.28,HR,8.0,HR
2024,C-07333-30735,2007-12-06 08:12:43,2007-11-28 00:00:00,CERTIFIED,TX,2008-02-15 00:00:00,2008-12-15 00:00:00,GERARDO'S LANDSCAPING,4807 CREEK BEND DRIVE,,AUSTIN,TX,78744,"IAN BENOUIS, ATTORNEY AT LAW",14000 LA PALMA RANCH RD.,AUSTIN,TX,"LABORER, LANDSCAPE",15.0,7.38,HR,7.38,HR
2025,C-07333-30738,2007-12-06 08:17:05,2007-11-28 00:00:00,CERTIFIED,TX,2008-02-15 00:00:00,2008-12-15 00:00:00,EMERALD IRRIGATION,1592 R.R. 962 WEST,,ROUND MOUNTAIN,TX,78663,"IAN BENOUIS, ATTORNEY AT LAW",14000 LA PALMA RANCH RD.,AUSTIN,TX,"LABORER, LANDSCAPE",7.0,6.49,HR,7.91,HR
2026,C-07323-29911,2007-12-06 10:02:27,2007-11-16 00:00:00,CERTIFIED,TX,2008-02-01 00:00:00,2008-11-01 00:00:00,"LONE STAR RAILROAD CONTRACTORS, INC.",4201 SOUTH INTERSTATE 45,,ENNIS,TX,75120,LISA SOTELO,REINA & BATES IMMIGRATION LAW GROUP,DALLAS,TX,CONSTRUCTION WORKER I,40.0,7.9,HR,9.86,HR
2027,C-07319-29653,2007-12-06 10:16:34,2007-11-14 00:00:00,CERTIFIED,OK,2008-02-01 00:00:00,2008-11-01 00:00:00,"LONE STAR RAILROAD CONTRACTORS, INC.",P.O. BOX 1150,,ENNIS,TX,75120,LISA SOTELO,REINA & ASSOCIATES,DALLAS,TX,RAILWAY EQUIPMENT OPERATOR,6.0,13.5,HR,13.5,HR
2028,C-07320-29860,2007-12-06 10:21:48,2007-11-14 00:00:00,CERTIFIED,OK,2008-02-01 00:00:00,2008-11-01 00:00:00,"LONE STAR RAILROAD CONTRACTORS,INC",P.O.BOX 1150,,ENNIS,TX,75120,LISA SOTELO,REINA & BATES IMMIGRATION LAW GROUP,DALLAS,TX,TRACK LAYING SUPERVISOR,3.0,13.21,HR,13.5,HR
2029,A-07338-31071,2007-12-06 10:31:39,2007-12-03 00:00:00,PARTIAL CERTIFIED,VA,2008-02-15 00:00:00,2008-12-15 00:00:00,REAVES LAWN AND GARDEN CENTER,1 BROAD ST.,,SO BOSTON,VA,24592,INTERNATIONAL LABOR MANAGEMENT CORP. SARAH E. FARR,230 CAMERON AVE./ P.O. BOX 630,VASS,NC,"LABORER, LANDSCAPE",20.0,7.08,HR,7.69,HR
2030,A-07332-30648,2007-12-06 11:18:31,2007-11-27 00:00:00,CERTIFIED,NC,2007-12-15 00:00:00,2008-03-15 00:00:00,"SG OF RALEIGH, INC. DBA ALL MY SONS MOVING & STORA",7417 ACC BLVD,,RALEIGH,NC,27617,"TAMMY ALECIO, BILINGUAL  HR CONSULTANTS INC.",P.O.BOX 5644,CARY,NC,MATERIAL HANDLER,14.0,7.19,HR,7.31,HR
