,CASE_NUMBER,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVIALING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
738,H-400-12333-206985,2012-12-12 00:00:00,2012-11-28 00:00:00,Partial Certified,H-2B,VA,2013-02-25 00:00:00,2013-12-20 00:00:00,"Green Planters Garden Center, Inc.",2290 George Washington Memorial Hwy.,,Hayes,VA,23072,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,7,8.1,Hour,8.1,Hour
739,H-400-12333-048662,2012-12-12 00:00:00,2012-11-28 00:00:00,Certified,H-2B,LA,2013-02-01 00:00:00,2013-12-01 00:00:00,Lawns Unlimited,1613 Troy Rd,,New Iberia,LA,70563,Jackie Mitchell,Baton Rouge,LA,37-3011,Landscaping and Groundskeeping Workers,Laborer,5,9.27,Hour,9.27,Hour
740,H-400-12333-294597,2012-12-12 00:00:00,2012-11-28 00:00:00,Partial Certified,H-2B,LA,2013-03-01 00:00:00,2013-12-15 00:00:00,Lake Charles Country Club,3350 Country Club Dr.,,Lake Charles,LA,70605,Robert Wingfield,DALLAS,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,13,8.120000000000001,Hour,8.120000000000001,Hour
741,H-400-12333-239484,2012-12-12 00:00:00,2012-11-28 00:00:00,Certified,H-2B,NJ,2013-02-18 00:00:00,2013-12-13 00:00:00,Siciliano Landscape Company LLC,"247 Bridge Avenue, Suite 6",,Red Bank,NJ,07701,KEMAL BENOUIS,MANCHACA,TX,37-3011,Landscaping and Groundskeeping Workers,Laborer,20,8.56,Hour,8.56,Hour
742,H-400-12333-208664,2012-12-12 00:00:00,2012-11-28 00:00:00,Certified,H-2B,NH,2013-03-05 00:00:00,2013-12-05 00:00:00,BALD PEAK COLONY CLUB,PO BOX 201,180 BALD PEAK DRIVE,MELVIN VILLAGE,NH,03850,GISMONDI JOHN,WESTBURY,NY,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,7,9.3,Hour,9.3,Hour
743,H-400-12333-529512,2012-12-12 00:00:00,2012-11-28 00:00:00,Certified,H-2B,NY,2013-03-01 00:00:00,2013-11-30 00:00:00,SOUTHAMPTON GOLF CLUB,1005 COUNTY ROAD 39,,SOUTHAMPTON,NY,11968,JOHN GISMONDI,WESTBURY,NY,35-9011,Dining Room and Cafeteria Attendants and Bartender,BUSPERSON,12,10.0,Hour,10.0,Hour
744,H-400-12333-012990,2012-12-12 00:00:00,2012-11-28 00:00:00,Certified,H-2B,NY,2013-03-01 00:00:00,2013-12-15 00:00:00,BUTTERCUP FARM GARDEN INC,PO BOX 43,11 HAYBEACH ROAD,SHELTER ISLAND HEIGHTS,NY,11965,JOHN GISMONDI,WESTBURY,NY,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,6,10.0,Hour,10.0,Hour
745,H-400-12333-347029,2012-12-12 00:00:00,2012-11-28 00:00:00,Certified,H-2B,NY,2013-03-01 00:00:00,2013-12-15 00:00:00,A MARINUCCI CONTRACTING,18 JEAN PLACE,,SYOSSET,NY,11791,JOHN GISMONDI,WESTBURY,NY,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons,",STONE MASON HELPER,2,11.4,Hour,11.4,Hour
746,H-400-12333-706611,2012-12-12 00:00:00,2012-11-28 00:00:00,Certified,H-2B,NY,2013-03-01 00:00:00,2013-12-15 00:00:00,WAINSCOTT FARMS INC,P O BOX 696,DANIELS HOLE ROAD,WAINSCOTT,NY,11975,MELINDA RUBIN,HAMPTON BAYS,NY,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPING,4,9.450000000000001,Hour,9.450000000000001,Hour
747,H-400-12333-539067,2012-12-12 00:00:00,2012-11-28 00:00:00,Certified,H-2B,NH,2013-03-08 00:00:00,2013-11-30 00:00:00,ATTITASH MOUNTAIN SERVICE COMPANY INC,2760 WHITE MOUNTAIN HIGHWAY,,NORTH CONWAY,NH,03860,JOHN GISMONDI,WESTBURY,NY,37-2012,Maids and Housekeeping Cleaners,HOUSEKEEPING,20,9.5,Hour,9.5,Hour
748,H-400-12333-762595,2012-12-12 00:00:00,2012-11-28 00:00:00,Certified,H-2B,NY,2013-03-01 00:00:00,2013-12-15 00:00:00,ALMAS CONSTRUCTION LLC,263 ROUTE 25A,,WADING RIVER,NY,11792,JOHN GISMONDI,WESTBURY,NY,47-2061,Construction Laborers,CONSTRUCTION LABORER,1,13.15,Hour,13.15,Hour
749,H-400-12333-424384,2012-12-12 00:00:00,2012-11-28 00:00:00,Certified,H-2B,NY,2013-03-01 00:00:00,2013-12-15 00:00:00,SIVILLI LANDSCAPE CONTRACTING,57 ALBERTSON AVENUE,,ALBERTSON,NY,11507,JOHN GISMONDI,WESTBURY,NY,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons,",STONE MASON HELPER,6,11.4,Hour,11.4,Hour
750,H-400-12333-843353,2012-12-12 00:00:00,2012-11-28 00:00:00,Certified,H-2B,TX,2013-03-01 00:00:00,2013-12-01 00:00:00,"Site Landscape Development, LLC",515 N. Kealy,,Lewisville,TX,75057,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,50,8.120000000000001,Hour,8.120000000000001,Hour
751,H-400-12333-056438,2012-12-12 00:00:00,2012-11-28 00:00:00,Partial Certified,H-2B,KY,2013-03-01 00:00:00,2013-11-30 00:00:00,"Nature's Way Complete Grounds Care, Inc.",1412 Production Dr.,,Burlington,KY,41005,Robert Wingfield,DALLAS,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,9,8.44,Hour,8.44,Hour
752,H-400-12333-588096,2012-12-12 00:00:00,2012-11-28 00:00:00,Certified,H-2B,NJ,2013-03-01 00:00:00,2013-11-30 00:00:00,"Good-N-Tuff Lawn & Landscaping, Inc.",60 Howell Road,,Freehold,NJ,07728,Robert Wingfield,Dallas,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,8,8.56,Hour,8.56,Hour
753,H-400-12334-280061,2012-12-12 00:00:00,2012-11-29 00:00:00,Certified,H-2B,NC,2013-02-11 00:00:00,2013-11-30 00:00:00,"Lovin Contracting Co., Inc.",1481 Sweetwater Road,,Robbinsville,NC,28771,Nicole Newton,Coeur d'Alene,ID,47-4051,Highway Maintenance Workers,Highway Maintenance Worker,30,11.74,Hour,11.74,Hour
754,H-400-12290-851657,2012-12-13 00:00:00,2012-10-16 00:00:00,Denied,H-2B,UT,2012-12-01 00:00:00,2013-09-30 00:00:00,"ALL STATES LAWN & LANDSCAPE, INC.","P.O. BOX 1586, DRAPER, UT 84020",611 WEST 12300 SOUTH,DRAPER,UT,84020,SPENCER CALL,TOOELE,UT,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,0,9.23,Hour,9.23,Hour
755,H-400-12296-364813,2012-12-13 00:00:00,2012-11-29 00:00:00,Certified,H-2B,TN,2013-02-25 00:00:00,2013-12-15 00:00:00,Jean's Lawn & Landscapes Inc,2668 Huntsville Hwy.,"P.O. Box 246, Fayetteville, TN 37334",Fayetteville,TN,37334,RITA ROMERO,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,21,8.2,Hour,8.2,Hour
756,H-400-12299-227980,2012-12-13 00:00:00,2012-10-25 00:00:00,Denied,H-2B,GA,2012-11-15 00:00:00,2013-08-15 00:00:00,Frank's Family Restaurant,1188 Collinsworth Rd.,,Palmetto,GA,30268,,,,35-1011,Chefs and Head Cooks,Cook,0,18.75,Hour,18.75,Hour
757,H-400-12299-855256,2012-12-13 00:00:00,2012-10-25 00:00:00,Denied,H-2B,GA,2012-11-15 00:00:00,2013-08-15 00:00:00,Frank's Family Restaurant,1188 Collinsworth Rd.,,Palmetto,GA,30268,,,,35-2021,Food Preparation Workers,Food Preparation Worker,0,11.28,Hour,11.28,Hour
758,H-400-12310-648590,2012-12-13 00:00:00,2012-11-05 00:00:00,Certified,H-2B,LA,2013-02-15 00:00:00,2013-11-14 00:00:00,Green Up Lawn Care LLC,14141 Airline Hwy Building 4 - Suite A,,Baton Rouge,LA,70807,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,15,8.0,Hour,8.0,Hour
759,H-400-12311-242180,2012-12-13 00:00:00,2012-11-06 00:00:00,Denied,H-2B,TX,2012-12-17 00:00:00,2013-12-16 00:00:00,"A B Controls & Technology, Inc.",1813 Rotary Drive,,Humble,TX,77338,David Piver,Wayne,PA,41-4011,"Sales Representatives, Wholesale and","Technical, Sales",0,63.050000000000004,Hour,63.050000000000004,Hour
760,H-400-12324-112550,2012-12-13 00:00:00,2012-11-29 00:00:00,Partial Certified,H-2B,FL,2012-12-31 00:00:00,2013-06-15 00:00:00,Water Street Seafood,PO BOX 121,,Apalachicola,FL,32329,ELIZABETH RICCI,TALLAHASSEE,FL,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",Fish and Oyster Cutters/Shuckers,39,10.0,Hour,10.0,Hour
761,H-400-12333-928034,2012-12-13 00:00:00,2012-11-29 00:00:00,Partial Certified,H-2B,IL,2013-03-01 00:00:00,2013-11-25 00:00:00,"Altered Grounds Outdoor Services, LLC",4937 Redwood,,Granite City,IL,62040,SUZANNE BROWN,ST. LOUIS,MO,37-3011,Landscaping and Groundskeeping Workers,Laborer,12,8.78,Hour,8.78,Hour
762,H-400-12334-066627,2012-12-13 00:00:00,2012-11-29 00:00:00,Certified,H-2B,,2013-03-04 00:00:00,2013-11-30 00:00:00,"Brookside Construction Services, Inc.","6050 Stone Road, Suite A",,Medina,OH,44256,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,9,8.35,Hour,8.35,Hour
763,H-400-12334-984731,2012-12-13 00:00:00,2012-11-29 00:00:00,Certified,H-2B,AL,2013-03-01 00:00:00,2013-12-10 00:00:00,Classic Grounds Maintenance,210C Parker Drive,,Pelham,AL,35124,Elizabeth Whitley,LOVINGSTON,VA,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,25,8.22,Hour,8.22,Hour
764,H-400-12334-432827,2012-12-13 00:00:00,2012-11-29 00:00:00,Certified,H-2B,,2013-01-20 00:00:00,2013-11-12 00:00:00,"Miraleste Farms, LLC",26411 Crenshaw Blvd.,,Rolling Hills Estates,CA,90274,LISA GALLIATH,CARLSBAD,CA,39-2021,Nonfarm Animal Caretakers,Horse Show Groom,3,9.8,Hour,9.8,Hour
765,H-400-12334-279905,2012-12-13 00:00:00,2012-11-29 00:00:00,Certified,H-2B,TX,2013-02-04 00:00:00,2013-11-29 00:00:00,"MJT Construction, Inc.",904 Petra's Way,,Kyle,TX,78640,KEMAL BENOUIS,MANCHACA,TX,47-2061,Construction Laborers,Construction Laborer,10,8.97,Hour,8.97,Hour
766,H-400-12334-942764,2012-12-13 00:00:00,2012-11-29 00:00:00,Certified,H-2B,DE,2013-03-01 00:00:00,2013-12-31 00:00:00,"DiSabatino Landscaping and Tree Service, Inc.",471 B and O Lane,,Wilmington,DE,19804,Stephen Ward,Coeur d'Alene,ID,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,9,9.22,Hour,9.22,Hour
767,H-400-12334-938893,2012-12-13 00:00:00,2012-11-29 00:00:00,Certified,H-2B,VA,2013-02-15 00:00:00,2013-12-15 00:00:00,Norfolk Landscaping,1004 W. 26th Street,,Norfolk,VA,23517,FERNANDO SAENZ,MECHANICSVILLE,VA,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,6,9.4,Hour,9.4,Hour
768,H-400-12334-369458,2012-12-13 00:00:00,2012-11-29 00:00:00,Certified,H-2B,TX,2013-03-01 00:00:00,2013-12-15 00:00:00,Richmond & Associates Landscaping,11359 Kline Dr.,,Dallas,TX,75229,DANIELLE CLARK,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,55,8.120000000000001,Hour,8.120000000000001,Hour
769,H-400-12334-131991,2012-12-13 00:00:00,2012-11-29 00:00:00,Partial Certified,H-2B,MD,2013-02-15 00:00:00,2013-12-15 00:00:00,"Creative Landscapes by Gregory, INC.",6126 Jefferson Pike,,Frederick,MD,21703,FERNANDO SAENZ,MECHKANICSVILLE,VA,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,39,9.49,Hour,9.49,Hour
770,H-400-12334-279340,2012-12-13 00:00:00,2012-11-29 00:00:00,Partial Certified,H-2B,LA,2013-02-01 00:00:00,2013-11-30 00:00:00,"Top Tier Turf and Ornamental, LLC",5867 Burgundy Ave.,,Baton Rouge,LA,70806,Robert Wingfield,Dallas,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,9,8.0,Hour,8.0,Hour
771,H-400-12334-072553,2012-12-13 00:00:00,2012-11-29 00:00:00,Partial Certified,H-2B,OH,2013-02-15 00:00:00,2013-12-15 00:00:00,"Oberson's Nursery and Landscapes, Inc.",3951 River Rd.,,Fairfield,OH,45014,"Robert Wingfield, Jr.",Dallas,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,9,8.44,Hour,8.44,Hour
772,C-12286-59935,2012-12-13 09:06:21,2012-10-12 00:00:00,Partial Certified,H-2B,LA,2013-01-21 00:00:00,2013-10-31 00:00:00,GLOBAL INDUSTRIAL SERVICES,148 CLENDEENING RD,,HOUMA,LA,70363,E. GAITHER/USA WORKS,LAKE PARK,GA,537063,Machine Feeders and Offbearers,PRODUCTION HELPER,99,9.81,HR,9.81,HR
773,H-400-12293-296280,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,OK,2013-02-15 00:00:00,2013-12-15 00:00:00,Ralph Iasiello Lawncare LLC,14101 Lago Strada,"Mailing:PO Box 890741, Oklahoma City, OK 73189",Oklahoma City,OK,73170,Brandi Cowan,Bay City,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,16,8.040000000000001,Hour,8.040000000000001,Hour
774,H-400-12293-791967,2012-12-14 00:00:00,2012-11-30 00:00:00,Partial Certified,H-2B,TX,2013-02-15 00:00:00,2013-12-15 00:00:00,Southern Oak Services LLC,"2245 Ave G, Ste #222","Mailing: P.O. Box 389, Bay City, TX 77404-0389",Bay City,TX,77414,Brandi Cowan,Bay City,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,21,8.120000000000001,Hour,8.120000000000001,Hour
775,H-400-12293-077749,2012-12-14 00:00:00,2012-11-26 00:00:00,Partial Certified,H-2B,NJ,2013-03-01 00:00:00,2013-12-10 00:00:00,LanDesign Inc,930 Hooper Ave,,Toms River,NJ,08753,APRIL MCKINNEY,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,12,8.56,Hour,8.56,Hour
776,H-400-12293-665906,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,NJ,2013-03-01 00:00:00,2013-12-31 00:00:00,Schutz's Landscape & Design LLC,5143 Holly St,"PO Box 338, Mays Landing, NJ 08330",Mays Landing,NJ,08330,APRIL MCKINNEY,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,8,8.65,Hour,8.65,Hour
777,H-400-12293-038798,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,NJ,2013-03-01 00:00:00,2013-12-01 00:00:00,Simonfay Landscape Services Inc,150 Main St,,Chatham,NJ,07928,APRIL MCKINNEY,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,12,9.290000000000001,Hour,9.290000000000001,Hour
778,H-400-12298-011809,2012-12-14 00:00:00,2012-11-30 00:00:00,Partial Certified,H-2B,NJ,2013-03-01 00:00:00,2013-11-30 00:00:00,Atlantic Plants,420 Adamston Rd,,Brick,NJ,08723,Brandi Cowan,Bay City,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,10,8.56,Hour,8.56,Hour
779,H-400-12299-288555,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,TX,2013-02-04 00:00:00,2013-12-01 00:00:00,"Euskadia, Inc.",3660 Stone Ridge Rd. A-102,,Austin,TX,78746,DANIEL KOWALSKI,AUSTIN,TX,47-2061,Construction Laborers,Laborer,15,8.97,Hour,8.97,Hour
780,H-400-12299-390092,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,NJ,2013-03-01 00:00:00,2013-12-15 00:00:00,Irish Landscape Designs,501 High St,,Norwood,NJ,07648,Brandi Cowan,Bay City,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,12,10.36,Hour,10.36,Hour
781,H-400-12299-202846,2012-12-14 00:00:00,2012-11-30 00:00:00,Partial Certified,H-2B,NJ,2013-03-01 00:00:00,2013-12-15 00:00:00,Robert Bradley Landscaping Inc,276 Durie Ave,"PO Box 354, Closter, NJ 07624",Closter,NJ,07624,RITA ROMERO,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,10,10.36,Hour,10.36,Hour
782,H-400-12300-459683,2012-12-14 00:00:00,2012-11-29 00:00:00,Certified,H-2B,,2013-03-04 00:00:00,2013-12-01 00:00:00,Realty Landscaping Corporation,2585 Second Street Pike,,"Newton,",PA,18940,RITA ROMERO,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,75,9.22,Hour,9.22,Hour
783,H-400-12300-048382,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,NJ,2013-03-01 00:00:00,2013-11-30 00:00:00,Farmside Landscape & Design,12 Kuperus Lane,,Wantage,NJ,07461,Brandi Cowan,Bay City,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,14,9.290000000000001,Hour,9.290000000000001,Hour
784,H-400-12300-743209,2012-12-14 00:00:00,2012-10-29 00:00:00,Withdrawn,H-2B,VA,2012-12-01 00:00:00,2013-08-31 00:00:00,Sea Farms Inc,536 Mill Point Road,,Hudgins,VA,23061,Elizabeth Whitley,Lovingston,VA,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers","Meat, Poultry, and Fish Cutters and Trimmers",0,7.33,Piece Rate,7.33,Piece Rate
785,H-400-12303-815267,2012-12-14 00:00:00,2012-11-05 00:00:00,Partial Certified,H-2B,TX,2013-02-04 00:00:00,2013-12-01 00:00:00,"LUSA Austin, LLC",3737 Old Reliance Rd.,,Bryan,TX,77808,DANIEL KOWALSKI,AUSTIN,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,35,8.1,Hour,8.1,Hour
786,H-400-12304-664576,2012-12-14 00:00:00,2012-10-30 00:00:00,Certified,H-2B,VA,2013-01-01 00:00:00,2013-10-31 00:00:00,Central Virginia Tree Services and Landscaping,24264 Zachary Taylor Highway,,Culpeper,VA,22701,Rachel VAN WORMER,Arlington,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Worker,20,8.74,Hour,8.74,Hour
787,H-400-12304-053117,2012-12-14 00:00:00,2012-11-30 00:00:00,Partial Certified,H-2B,,2013-03-01 00:00:00,2013-11-27 00:00:00,Land Art Inc.,7605 Ridge Rd.,,Marriottsville,MD,21104,BRANDI COWAN,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,4,9.49,Hour,9.49,Hour
788,H-400-12305-506835,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,,2013-03-01 00:00:00,2013-11-30 00:00:00,Spike Inc.,17 Bridge Street,,Watertown,MA,02472,BRANDI COWAN,BAY CITY,TX,53-7062,"Laborers and Freight, Stock, and Material Movers,",Movers,40,9.94,Hour,9.94,Hour
789,H-400-12310-054254,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,,2013-02-01 00:00:00,2013-11-30 00:00:00,MAD HATTER CONCESSIONS LLC,1101-D THORPE LANE #622,,SAN MARCOS,TX,78666,James Judkins,Rio Hondo,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendants - Traveling Ca,15,8.08,Hour,8.08,Hour
790,H-400-12311-673704,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,TX,2013-02-07 00:00:00,2013-03-30 00:00:00,MAD HATTER CONCESSIONS LLC,1101-D THORPE LANE #622,,SAN MARCOS,TX,78666,James Judkins,Rio Hondo,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendants - Traveling Ca,15,8.08,Hour,8.08,Hour
791,H-400-12312-634324,2012-12-14 00:00:00,2012-11-07 00:00:00,Denied,H-2B,PR,2012-11-01 00:00:00,2013-10-30 00:00:00,"HOLLAND GROUP PORT INVESTMENTS (MAY), INC.","#80, PR3341, SUITE 102",,MAYAGUEZ,PR,00682,EMILY MADOFF,NEW YORK,NY,51-4121,"Welders, Cutters, Solderers, and Brazers",Welders,0,11.11,Hour,11.11,Hour
792,H-400-12312-804475,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,IL,2013-02-01 00:00:00,2013-11-26 00:00:00,"SWYEAR AMUSEMENTS, INC",2622 Kaiser Road,,NEW ATHENS,IL,62264,James Judkins,Rio Hondo,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendants - Traveling Ca,46,318.8,Week,318.8,Week
793,H-400-12313-874905,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,WA,2013-02-01 00:00:00,2013-10-31 00:00:00,"BUTLER AMUSEMENTS, INC",3003 SW 153RD DR  STE 205,,BEAVERTON,OR,97006,James Judkins,Rio Hondo,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendants - Traveling Ca,246,323.6,Week,323.6,Week
794,H-400-12317-639544,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,TX,2013-02-01 00:00:00,2013-11-30 00:00:00,"ORMIC CONCESSIONS, INC",15 CALLE ANACUA,,BROWNSVILLE,TX,78520,JAMES JUDKINS,RIO HONDO,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendant,10,319.6,Week,319.6,Week
795,H-400-12319-409085,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,TX,2013-02-01 00:00:00,2013-12-01 00:00:00,Robert Cory,P.O. Box 747,"2315 S. 25th St., Harlingen, TX 78550",Pasadena,TX,77501,JAMES JUDKINS,Rio Hondo,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendant,20,318.40000000000003,Week,318.40000000000003,Week
796,H-400-12319-584851,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,FL,2013-02-01 00:00:00,2013-11-30 00:00:00,"PARADISE AMUSEMENTS, INC",100 NW 76TH TERRACE,"[MAIL: 3101 SW 34TH AVE., OCALA, FL 34474]",OCALA,FL,34482,JAMES JUDKINS,RIO HONDO,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendant,35,318.8,Week,318.8,Week
797,H-400-12332-946599,2012-12-14 00:00:00,2012-11-27 00:00:00,Certified,H-2B,FL,2012-12-14 00:00:00,2013-04-01 00:00:00,BRB Racing Stable,147 Geranium Avenue,,Floral Park,NY,11001,RON KATIRAEI,NEW YORK,NY,39-2021,Nonfarm Animal Caretakers,Stable Attendant,15,9.8,Hour,9.8,Hour
798,H-400-12332-555903,2012-12-14 00:00:00,2012-11-27 00:00:00,Certified,H-2B,NJ,2013-01-28 00:00:00,2013-11-28 00:00:00,Soccer Centers LLC,300 Memorial Drive,,Somerset,NJ,08873,,,,39-9031,Fitness Trainers and Aerobics Instructors,Soccer Instructor,1,16.7,Hour,16.7,Hour
799,H-400-12333-124101,2012-12-14 00:00:00,2012-11-28 00:00:00,Certified,H-2B,NY,2013-03-01 00:00:00,2013-09-30 00:00:00,MIKE WALSH SONS GREENHOUSES INC,328 PATCHOGUE YAPANK ROAD,,EAST PATCHOGUE,NY,11772,JOHN GISMONDI,WESTBURY,NY,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",NURSERY WORKER,4,10.0,Hour,10.0,Hour
800,H-400-12333-617763,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,TX,2013-02-01 00:00:00,2013-10-31 00:00:00,"Rhino Gunite, LLC",4414 Hidden Trace CT,,Houston,TX,77066,DIEGO GALER,HOUSTON,TX,47-2051,Cement Masons and Concrete Finishers,Pool Finishers,9,10.69,Hour,10.69,Hour
801,H-400-12334-360172,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,AL,2013-03-01 00:00:00,2013-10-31 00:00:00,"CD HILL SERVICES, INC.",25879 ARGONNE DR.,,DAPHNE,AL,36526,SAYDE LEONEL DE CERVANTES,BUDA,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborers,10,8.2,Hour,8.2,Hour
802,H-400-12334-991056,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,,2013-03-01 00:00:00,2013-11-30 00:00:00,"U.K. ELITE SOCCER, INC.",210 MALAPARDIS ROAD,SUITE 201,CEDAR KNOLLS,NJ,07927,KENDRA ELLIOTT,ENOLA,PA,39-9032,Recreation Workers,camp counselors,14,9.41,Hour,9.41,Hour
803,H-400-12334-685543,2012-12-14 00:00:00,2012-11-30 00:00:00,Partial Certified,H-2B,,2013-02-25 00:00:00,2013-11-15 00:00:00,"Amigo Azteca Landscaping, Inc.",15095 Clazemont Road,,Montpelier,VA,23192,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,11,9.44,Hour,9.44,Hour
804,H-400-12334-511877,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,MD,2013-03-04 00:00:00,2013-12-05 00:00:00,"Ivy Hill Nursery Company, Inc.",1305 C. Enterprise Court,,Bel Air,MD,21014,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,40,9.16,Hour,9.16,Hour
805,H-400-12334-662386,2012-12-14 00:00:00,2012-11-29 00:00:00,Certified,H-2B,OH,2013-02-25 00:00:00,2013-12-25 00:00:00,"WinnScapes, Inc.",6079 Taylor Road,,Gahanna,OH,43230,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,18,8.25,Hour,8.25,Hour
806,H-400-12335-841603,2012-12-14 00:00:00,2012-11-30 00:00:00,Partial Certified,H-2B,ID,2013-03-01 00:00:00,2013-12-15 00:00:00,L&W Stone Corporation,55 Independence Circle,Suite 108,Chico,CA,95973,Robert Wingfield,DALLAS,TX,47-5051,"Rock Splitters, Quarry",Stone Splitter,20,11.06,Hour,11.06,Hour
807,H-400-12335-406260,2012-12-14 00:00:00,2012-11-30 00:00:00,Certified,H-2B,NY,2013-03-01 00:00:00,2013-12-15 00:00:00,SWIMMING POOLS BY JACK ANTHONY,1724 A COUNTY RD 39,,SOUTHAMPTON,NY,11968,MELINDA RUBIN,HAMPTON BAYS,NY,37-2011,"Janitors and Cleaners, Except Maids and",POOL CLEANERS,6,8.97,Hour,8.97,Hour
