,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,DOT_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
465,C-10354-52493,2011-01-05,2010-12-20,CERTIFIED,H-2B,CT,2011-02-01,2011-11-30,"SPORTING ESSENTIALS, INC","ONE FORT HILL ROAD, SUITE 10",,GROTEN,CT,6340,NANCY SCARELLA,CLEVELAND,OH,153.117-010,Head Coach,272022.0,Coaches and Scouts,HEAD COACH,100.0,100,,MTH,2500.0,MTH
466,C-10344-52227,2010-12-15,2010-12-10,CERTIFIED,H-2B,CT,2011-03-15,2011-12-01,"READCO MANAGEMENT, LLC","6 VISTA DRIVE, SUITE 200",,OLD LYME,CT,6371,,,,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",20.0,20,10.32,HR,10.32,HR
467,C-10340-52173,2010-12-30,2010-12-06,DENIED,H-2B,NY,2011-03-15,2012-03-15,"FISHERS ISLAND VILLAGE MARKET, INC",CRESCENT AVENUE,P.O. BOX 446,FISHERS ISLAND,NY,6390,,,,316.684-014,Deli Cutter-Slicer,352021.0,Food Preparation Workers,DELI CUTTER SLICER,1.0,0,8.0,HR,8.0,HR
468,C-11042-53979,2011-02-16,2011-02-11,CERTIFIED,H-2B,NY,2011-05-01,2011-10-31,"FISHERS ISLAND CLUB, INC.","1 MAIN ST., P. O. BOX 605",,FISHERS ISLAND,NY,6390,PETER PETRINA,GARNERVILLE,NY,350.677-030,Waiter/Waitress,353031.0,Waiters and Waitresses,WAITER/WAITRESS,9.0,9,8.05,HR,8.05,HR
469,C-11053-54165,2011-03-09,2011-02-22,CERTIFIED,H-2B,CT,2011-04-01,2011-12-31,"P & S PAVING, INC.",461 NORTH MAIN STREET,,SEYMOUR,CT,6483,CONRAD E. POLLACK,NEW YORK,NY,869.664-014,Construction Worker I,473012.0,Helpers--Carpenters,CONSTRUCTION WORKER I,5.0,5,15.17,HR,15.17,HR
470,C-11112-54772,2011-04-26,2011-04-22,PARTIAL CERTIFIED,H-2B,ME,2011-05-01,2011-11-30,"PORTLAND II HOTEL MANAGEMENT, LLC",2 CORPORATE DRIVE,,SHELTON,CT,6484,MARCUS B JAYNES,PORTLAND,ME,321.137-010,Housekeeper,371011.0,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,HOUSEKEEPER,25.0,24,8.53,HR,8.53,HR
471,C-11087-54592,2011-04-11,2011-03-28,CERTIFIED,H-2B,CT,2011-07-01,2012-06-30,SARA YSAAC-GARCIA,5211 MADISON AVENUE,,TRUMBULL,CT,6611,,,,301.677-010,Child Monitor,399011.0,Child Care Workers,CHILD MONITOR,1.0,1,11.5,HR,11.5,HR
472,C-11053-54158,2011-04-08,2011-02-22,DENIED,H-2B,CT,2011-04-01,2011-12-20,MARTIN'S LANDSCAPING INC.,150 BOYDEN STREET,,WATERBURY,CT,6704,,,,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",8.0,0,13.94,HR,13.94,HR
473,C-11174-55080,2011-06-29,2011-06-23,CERTIFIED,H-2B,CT,2011-08-01,2011-12-20,"MARTIN'S LANDSCAPING, INC",150 BOYDEN STREET,,WATERBURY,CT,6704,STEPHEN WARD,COEUR D'ALENE,ID,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",8.0,8,15.72,HR,15.72,HR
474,C-11160-55016,2011-06-23,2011-06-09,CERTIFIED,H-2B,CT,2011-08-15,2012-06-15,"SOCCER EXTREME, INC.",50 WATERBURY RD,SUITE 332,PROSPECT,CT,6712,JANE C. CHIANG,CAMBRIDGE,MA,153.117-010,Head Coach,272022.0,Coaches and Scouts,HEAD COACH,35.0,35,15.0,HR,15.0,HR
475,C-10319-51738,2010-12-06,2010-11-15,PARTIAL CERTIFIED,H-2B,CT,2011-02-01,2011-11-30,ULTIMATE SERVICES PROFESSIONAL GROUNDS MANAGEMENT,31 TOSUN RD,,WOLCOTT,CT,6716,APRIL MCKINNEY,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",100.0,82,10.39,HR,10.39,HR
476,C-11011-53278,2011-01-18,2011-01-11,PARTIAL CERTIFIED,H-2B,CT,2011-04-01,2011-11-30,"YARDAPES, INC","5 OLD TOWN PARK RD., BLG. 3 #25",P.O. BOX 982,NEW MILFORD,CT,6776,"ELIZABETH D. WHITLEY / MASLABOR H2B, LLC",LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",15.0,12,10.38,HR,10.38,HR
477,C-10307-51488,2010-11-24,2010-11-03,DENIED,H-2B,CT,2011-02-01,2011-12-24,LAWNS ETC LLC.,1 FARVIEW RD,,BROOKFIELD,CT,6804,,,,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",7.0,0,,HR,10.34,HR
478,C-10361-52779,2011-01-03,2010-12-27,CERTIFIED,H-2B,CT,2011-03-15,2011-11-30,LAWNS ETC. LLC,1 FARVIEW RD,,BROOKFIELD,CT,6804,,,,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",7.0,7,10.34,HR,10.34,HR
479,C-11081-54533,2011-04-22,2011-03-22,DENIED,H-2B,CT,2011-05-02,2012-03-03,RASING HOUSEHOLD,19 LAKEVIEW AVE.,,DANBURY,CT,6811,,,,305.281-010,Cook,352013.0,"Cooks, Private Household",COOK,1.0,0,,WK,350.0,WK
480,C-11059-54240,2011-03-04,2011-02-28,PARTIAL CERTIFIED,H-2B,CT,2011-05-01,2011-11-15,"WOODWAY COUNTRY CLUB, INC.",540 HOYT STREET,,DARIEN,CT,6820,"PETER PETRINA / PGI, INC.",GARNERVILLE,NY,311.477-026,"Waiter/Waitress, Formal",353031.0,Waiters and Waitresses,"WAITER/WAITRESS, FORMAL",20.0,19,8.09,HR,8.25,HR
481,C-11069-54384,2011-03-15,2011-03-10,PARTIAL CERTIFIED,H-2B,CT,2011-05-01,2011-11-15,"WOODWAY COUNTRY CLUB, INC.",540 HOYT STREET,,DARIEN,CT,6820,PETER PETRINA,GARNERVILLE,NY,313.361-014,Cook,352014.0,"Cooks, Restaurant",COOK,8.0,7,13.02,HR,13.02,HR
482,C-11122-54829,2011-05-04,2011-05-02,PARTIAL CERTIFIED,H-2B,CT,2011-05-20,2011-10-31,THE COUNTRY CLUB OF DARIEN INC.,300 MANSFIELD AVENUE,,DARIEN,CT,6820,,,,311.477-022,"Waiter/Waitress, Dining Car",353031.0,Waiters and Waitresses,"WAITER/WAITRESS, DINING CAR",7.0,6,8.25,HR,8.25,HR
483,C-11102-54712,2011-05-19,2011-04-12,CERTIFIED,H-2B,CT,2011-04-01,2011-10-31,"PRISM HOUSE PAINTING, LLC",169 NOROTON AVENUE,,DARIEN,CT,6820,FERNANDO ERNESTO SAENZ,MECHANICSVILLE,VA,860.281-010,"Carpenter, Maintenance",472031.0,Carpenters,"CARPENTER, MAINTENANCE",1.0,1,21.25,HR,21.25,HR
484,C-10340-52148,2010-12-14,2010-12-06,PARTIAL CERTIFIED,H-2B,CT,2011-03-15,2011-12-15,AQUA-LAWN INC,242 KINGS HWY CUTOFF,,FAIRFIELD,CT,6824,BRANDI COWAN,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",12.0,9,11.3,HR,11.3,HR
485,C-11053-54140,2011-02-25,2011-02-22,CERTIFIED,H-2B,CT,2011-05-01,2011-10-31,THE STANWICH CLUB,888 NORTH ST.,,GREENWICH,CT,6831,PETER PETRINA,GARNERVILLE,NY,311.477-026,"Waiter/Waitress, Formal",353031.0,Waiters and Waitresses,"WAITER/WAITRESS, FORMAL",7.0,7,8.25,HR,8.25,HR
486,C-11048-54093,2011-03-08,2011-02-17,CERTIFIED,H-2B,CT,2011-05-01,2011-10-31,"FAIRVIEW COUNTRY CLUB, INC.",1241 KING STREET,,GREENWICH,CT,6831,PETER PETRINA,GARNERVILLE,NY,311.477-026,"Waiter/Waitress, Formal",353031.0,Waiters and Waitresses,"WAITER/WAITRESS, FORMAL",14.0,14,,,,
487,C-11073-54420,2011-03-28,2011-03-14,CERTIFIED,H-2B,CT,2011-05-15,2011-10-31,"TAMARACK  COUNTRY CLUB, INC.",55 LOCUST ROAD,,GREENWICH,CT,6831,DANA T DAVIDSON,GLEN COVE,NY,350.677-030,Waiter/Waitress,353031.0,Waiters and Waitresses,WAITER/WAITRESS,2.0,2,13.58,HR,13.58,HR
488,C-11053-54173,2011-02-28,2011-02-22,CERTIFIED,H-2B,CT,2011-04-01,2011-12-10,"EASTERN LAND MANAGEMENT, INC",142 HAMILTON AVENUE,,STAMFORD,CT,6902,FERNANDO ERNESTO SAENZ,MECHANICSVILLE,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",25.0,25,10.38,HR,10.38,HR
489,C-10319-51756,2010-11-30,2010-11-15,CERTIFIED,H-2B,NJ,2011-02-01,2011-12-01,"FOX HOLLOW LANDSCAPING & DESIGN, INC.",121 HAWKINS PLACE SUITE 173,,BOONTON,NJ,7005,LUISA RAMIREZ,PINE BROOK,NJ,408.161-010,Landscape Gardener,373011.0,Landscaping and Groundskeeping Workers,LANDSCAPE GARDENER,12.0,12,,,,
490,C-10309-51535,2010-11-10,2010-11-05,CERTIFIED,H-2B,NJ,2011-02-01,2011-12-01,"MAESTRO SOCCER ACADEMY, LLC","21 COMMERCE DRIVE, SUITE 201",,CRANFORD,NJ,7016,"STEVEN ADAM SKLAR/ PUSIN & SKLAR, LLC",MAPLEWOOD,NJ,153.117-010,Head Coach,272022.0,Coaches and Scouts,HEAD COACH,6.0,6,391.8,WK,391.8,WK
491,C-10363-52868,2011-01-05,2010-12-29,CERTIFIED,H-2B,NJ,2011-02-01,2011-11-30,RED BULL NEW YORK,600 CAPE MAY STREET,,HARRISON,NJ,7029,,,,153.227-010,"Coach, Professional Athletes",272022.0,Coaches and Scouts,"COACH, PROFESSIONAL ATHLETES",34.0,34,12.0,HR,12.0,HR
492,C-11003-52990,2011-01-21,2011-01-03,CERTIFIED,H-2B,NJ,2011-03-01,2011-11-30,J&S ENTERPRISES LLC DBA THE SPORTS FACTORY,175 BEAVERBROOK ROAD,,LINCOLN PARK,NJ,7035,,,,153.117-010,Head Coach,272022.0,Coaches and Scouts,HEAD COACH,20.0,20,8.53,HR,8.53,HR
493,C-11138-54922,2011-06-06,2011-05-18,CERTIFIED,H-2B,NJ,2011-08-01,2011-11-30,J&S ENTERPRISES LLC DBA THE SPORTS FACTORY,175 BEAVERBROOK ROAD,,LINCOLN PARK,NJ,7035,,,,153.227-010,"Coach, Professional Athletes",272022.0,Coaches and Scouts,"COACH, PROFESSIONAL ATHLETES",10.0,10,12.95,HR,12.95,HR
494,C-10364-52924,2011-01-20,2010-12-30,PARTIAL CERTIFIED,H-2B,NJ,2010-12-01,2011-06-30,"WASHINGTON SPORTS GROUP, LLC",14 DEPOT SQUARE,,MONTCLAIR,NJ,7042,CLARENCE SMITH,NEW YORK,NY,153.117-010,Head Coach,272022.0,Coaches and Scouts,HEAD COACH,15.0,14,8.53,HR,13.0,HR
495,C-10340-52164,2010-12-20,2010-12-06,DENIED,H-2B,NJ,2010-12-01,2011-06-30,"WASHINGTON SPORTS GROUP, LLC",14 DEPOT SQUARE,,MONTCLAIR,NJ,7042,CLARENCE SMITH JR.,NEW YORK,NY,153.117-010,Head Coach,272022.0,Coaches and Scouts,HEAD COACH,15.0,0,13.0,HR,13.0,HR
496,C-11021-53527,2011-02-08,2011-01-21,CERTIFIED,H-2B,NJ,2011-03-14,2011-11-20,"ASHLEY'S SOCCER CAMP, INC. DBA SPORTS DOMAIN ACADE",14 DEPOT SQUARE,,MONTCLAIR,NJ,7042,CLARENCE SMITH,NEW YORK,NY,153.117-010,Head Coach,272022.0,Coaches and Scouts,HEAD COACH,40.0,40,13.0,HR,13.0,HR
497,C-11069-54381,2011-03-23,2011-03-10,PARTIAL CERTIFIED,H-2B,NJ,2011-05-01,2011-10-31,MONTCLAIR GOLF CLUB,25 PROSPECT AVE.,,WEST ORANGE,NJ,7052,"PETER PETRINA / PGI, INC.",GARNERVILLE,NY,311.477-026,"Waiter/Waitress, Formal",353031.0,Waiters and Waitresses,"WAITER/WAITRESS, FORMAL",7.0,5,8.05,HR,8.05,HR
498,C-10341-52178,2010-12-09,2010-12-07,CERTIFIED,H-2B,NJ,2011-03-15,2011-12-15,JFJ DELGADO'S LANDSCAPING,241 HOPE AVE 1ST FLOOR,,PASSAIC,NJ,7055,APRIL MCKINNEY / FEDERATION OF EMPLOYERS AND WORKE,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",15.0,15,10.3,HR,10.3,HR
499,C-10319-51755,2010-11-19,2010-11-15,CERTIFIED,H-2B,NJ,2011-02-01,2011-12-01,"HOFF, INC. D/B/A HOFF CUSTOM LANDSCAPE DESIGN, INC",57 STILES LANE,,PINE BROOK,NJ,7058,LUISA RAMIREZ,PINE BROOK,NJ,408.161-010,Landscape Gardener,373011.0,Landscaping and Groundskeeping Workers,LANDSCAPE GARDENER,10.0,10,,,,
500,C-11102-54713,2011-05-05,2011-04-12,CERTIFIED,H-2B,NJ,2011-07-01,2012-06-30,CARLA PROVENZANO,26 GRIEGER LANE,,WARREN,NJ,7059,RONALD H. KLASKO,PHILADELPHIA,PA,354.377-014,Home Attendant,311011.0,Home Health Aides,HOME ATTENDANT,1.0,1,13.43,HR,13.43,HR
501,C-11024-53545,2011-02-09,2011-01-24,CERTIFIED,H-2B,NJ,2011-04-01,2011-10-20,"21ST. CENTURY SHOWS, INC",86 MAPLE ST,,RUTHERFORD,NJ,7070,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091.0,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,15.0,15,329.6,WK,329.6,WK
502,C-10334-52078,2010-12-13,2010-11-30,CERTIFIED,H-2B,NJ,2011-02-15,2011-12-15,ORR'S TREE SERVICE,125 WAUGHAW RD.,,TOWACO,NJ,7082,LUISA RAMIREZ,PINE BROOK,NJ,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",7.0,7,,HR,9.89,HR
503,C-10323-51931,2010-12-03,2010-11-19,PARTIAL CERTIFIED,H-2B,NJ,2011-02-01,2011-12-01,RUTGERS PAINTING,863 VALLEY ST.,,VAUXHALL,NJ,7088,LUSIA  RAMIREZ,PINE BROOK,NJ,741.687-014,"Painter Helper, Spray",519198.0,Helpers--Production Workers,"PAINTER HELPER, SPRAY",100.0,88,13.82,HR,13.82,HR
504,C-11172-55056,2011-07-27,2011-06-21,DENIED,H-2B,NJ,2011-05-01,2011-11-01,JERRY KRETCHMAN/GRANDVIEW GIFTS,165 CHIMPMUNK HILL,,MOUNTAINSIDE,NJ,7092,GREGG C FELIXON,PHILA.,PA,261.357-046,"Salesperson, Infants' and Children's Wear",412031.0,Retail Salespersons,"SALESPERSON, INFANTS' AND CHILDREN'S WEAR",1.0,0,12.93,HR,12.93,HR
505,C-10292-51249,2010-10-22,2010-10-19,CERTIFIED,H-2B,NY,2011-02-01,2011-11-30,RED BULL NEW YORK,ONE HARMON PLAZA,8TH FLOOR,SECAUCUS,NJ,7094,,,,153.227-010,"Coach, Professional Athletes",272022.0,Coaches and Scouts,"COACH, PROFESSIONAL ATHLETES",30.0,30,12.0,HR,12.0,HR
506,C-10314-51653,2010-11-24,2010-11-10,DENIED,H-2B,NJ,2011-02-01,2011-11-30,RED BULL NEW YORK,ONE HARMON PLAZA,8TH FLOOR,SECAUCUS,NJ,7094,,,,153.117-010,Head Coach,272022.0,Coaches and Scouts,HEAD COACH,30.0,0,,,,
507,C-11080-54514,2011-04-22,2011-03-21,DENIED,H-2B,NJ,2011-07-01,2012-07-31,THOMAS ROYAL MARKET INC,31 JOSEPH ST,,NEWARK,NJ,7105,,,,260.357-014,"Sales Representative, Food Products",414012.0,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","SALES REPRESENTATIVE, FOOD PRODUCTS",1.0,0,33.9,HR,33.9,HR
508,C-10334-52061,2010-12-03,2010-11-30,PARTIAL CERTIFIED,H-2B,NJ,2011-03-01,2011-12-15,ROBERT BRADLEY LANDSCAPING INC,P.O. BOX 354,276 DURIE AVE,CLOSTER,NJ,7324,RITA ROMERO,BAY CITY,TX,408.161-010,Landscape Gardener,373011.0,Landscaping and Groundskeeping Workers,LANDSCAPE GARDENER,15.0,14,,,,
509,C-10316-51708,2010-11-17,2010-11-12,PARTIAL CERTIFIED,H-2B,NJ,2011-02-15,2011-12-15,BORST LANDSCAPE & DESIGN INC,260 W. CRESCENT AVE.,,ALLENDALE,NJ,7401,BRANDI  COWAN,BAY CITY,TX,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",45.0,41,10.3,HR,10.3,HR
510,C-11081-54527,2011-03-25,2011-03-22,PARTIAL CERTIFIED,H-2B,NJ,2011-04-01,2011-12-15,BORST LANDSCAPING & DESIGN INC,260 W. CRESCENT AVE.,,ALLENDALE,NJ,7401,BRANDI COWAN,BAY CITY,TX,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",14.0,9,10.3,HR,10.3,HR
511,C-11130-54870,2011-06-13,2011-05-10,PARTIAL CERTIFIED,H-2B,NJ,2011-04-01,2011-12-15,BORST LANDSCAPE & DESIGN INC,260 W. CRESCENT AVE.,,ALLENDALE,NJ,7401,BRANDI COWAN,BAY CITY,TX,408.161-010,Landscape Gardener,373011.0,Landscaping and Groundskeeping Workers,LANDSCAPE GARDENER,12.0,9,17.69,HR,17.69,HR
512,C-10314-51643,2010-11-16,2010-11-10,CERTIFIED,H-2B,NJ,2011-02-15,2011-12-15,CRYSTAL LAKE LANDSCAPING INC.,246 VALLEY VIEW DR,,FRANKLIN LAKES,NJ,7417,RITA ROMERO,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10.0,10,10.3,HR,10.3,HR
513,C-10322-51881,2010-11-24,2010-11-18,PARTIAL CERTIFIED,H-2B,NJ,2011-03-01,2011-12-31,JACOBSEN LANDSCAPE DESIGN & CONSTRUCTION,413 GODWIN AVE,,MIDLAND PARK,NJ,7432,APRIL MCKINNEY/ FEDERATION OF EMPLOYERS AND WORKER,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",20.0,13,10.3,HR,10.3,HR
514,C-10340-52163,2010-12-08,2010-12-06,CERTIFIED,H-2B,NJ,2011-03-15,2011-12-15,DEBOER BROTHERS LANDSCAPING INC,15  TERHUNE STREET,,OAKLAND,NJ,7436,APRIL MCKINNEY,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",12.0,12,10.3,HR,10.3,HR
515,C-11024-53579,2011-03-07,2011-01-24,CERTIFIED,H-2B,NM,2011-04-01,2011-12-28,KATTNER ENTERPRISES LLC DBA KATTNER LANDSCAPING,3050 ROUTE 23,,OAK RIDGE,NJ,7438,,,,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",9.0,9,10.3,HR,10.3,HR
516,C-11011-53268,2011-01-18,2011-01-11,CERTIFIED,H-2B,NJ,2011-02-19,2011-12-19,WEST SLOPE CONSTRUCTION INC,9 WASHINGTON ST.,,POMPTON PLAINS,NJ,7444,BRANDI COWAN /FEDERATION OF EMPLOYERS AND WORKERS,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",8.0,8,10.3,HR,10.3,HR
517,C-10327-51975,2010-11-29,2010-11-23,PARTIAL CERTIFIED,H-2B,NJ,2011-03-01,2011-11-30,FARMSIDE LANDSCAPE & DESIGN,12 KUPERUS LANE,,SUSSEX,NJ,7461,BRANDI COWAN,BAY CITY,TX,408.161-010,Landscape Gardener,373011.0,Landscaping and Groundskeeping Workers,LANDSCAPE GARDENER,14.0,12,9.79,HR,9.79,HR
518,C-10355-52539,2010-12-27,2010-12-21,CERTIFIED,H-2B,NJ,2011-03-10,2011-12-15,"CHRIS JAMES LANDSCAPING, INC.",33 ZAZZETTI STREET SUITE #1,,WALDWICK,NJ,7463,,,,406.687-010,Landscape Specialist,373011.0,Landscaping and Groundskeeping Workers,LANDSCAPE SPECIALIST,10.0,10,10.3,HR,10.3,HR
519,C-11010-53202,2011-01-31,2011-01-10,CERTIFIED,H-2B,NJ,2011-04-01,2011-12-15,MORRIS COUNTY IRRIGATION INC.,257 NEWARK POMPTON TPKE,,WAYNE,NJ,7470,"RON KATIRAEI, ESQ.",JACKSON HEIGHTS,NY,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",15.0,15,,,,
520,C-10327-51988,2010-12-03,2010-11-23,PARTIAL CERTIFIED,H-2B,NJ,2011-02-15,2011-12-15,HORIZON LANDSCAPE CO INC,411 W. MAIN ST.,,WYCKOFF,NJ,7481,BRANDI COWAN,BAY CITY,TX,408.161-010,Landscape Gardener,373011.0,Landscaping and Groundskeeping Workers,LANDSCAPE GARDENER,16.0,14,,,,
521,C-11024-53583,2011-01-27,2011-01-24,CERTIFIED,H-2B,NJ,2011-04-01,2011-12-20,GRANDSCAPES LLC,52 WYCOFF AVENUE,,WYCOFF,NJ,7481,FERNANDO ERNESTO SAENZ,MECHANICSVILLE,VA,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",7.0,7,10.3,HR,10.3,HR
522,C-10347-52241,2011-01-12,2010-12-13,DENIED,H-2B,NJ,2011-02-28,2011-12-31,AJ & SON MECHANICAL INC,279-283 MARSHALL ST,,PATERSON,NJ,7503,,,,222.387-058,Stock Clerk,435081.0,Stock Clerks and Order Fillers,STOCK CLERK,1.0,0,,,,
523,C-11045-54016,2011-02-18,2011-02-14,PARTIAL CERTIFIED,H-2B,NJ,2011-04-01,2011-12-15,DELL LANDSCAPING INC DBA DELL GARDEN CENTER,975 GOFFLE ROAD,,HAWTHORNE,NJ,7506,APRIL MCKINNEY,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",8.0,7,10.3,HR,10.3,HR
524,C-11103-54722,2011-04-22,2011-04-13,CERTIFIED,H-2B,NJ,2011-02-28,2011-06-01,BLOCK 2 ROCK DBA AGRO LANDSCAPING,180 EIGHTH AVENUE,,HAWTHORNE,NJ,7506,,,,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",10.0,10,12.76,HR,12.76,HR
525,C-11118-54810,2011-05-16,2011-04-28,DENIED,H-2B,NJ,2011-04-15,2011-12-15,TRI STATE ASPHALT,62 FIFTH AVENUE,,HAWTHORNE,NJ,7506,SUSAN W. SCHEER,MORRISTOWN,NJ,869.664-014,Construction Worker I,473012.0,Helpers--Carpenters,CONSTRUCTION WORKER I,20.0,0,14.2,HR,14.2,HR
526,C-11257-55545,2011-09-14,2011-08-04,CERTIFIED,H-2B,NJ,2011-06-15,2011-12-30,TRI-STATE ASPHALT,62 FIFTH AVENUE,,HAWTHORNE,NJ,7506,SUSAN SCHEER,MORRISTOWN,NJ,869.664-014,Construction Worker I,473012.0,Helpers--Carpenters,CONSTRUCTION WORKER I,20.0,20,14.49,HR,14.49,HR
527,C-10314-51633,2010-11-16,2010-11-10,CERTIFIED,H-2B,NJ,2011-02-01,2011-12-01,COUNTRY GREEN LANDSCAPE INC,59 BEVERLY PLACE,,BERGENFEILD,NJ,7621,BRANDI COWAN,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",16.0,16,10.3,HR,10.3,HR
528,C-11024-53540,2011-01-27,2011-01-24,CERTIFIED,H-2B,NJ,2011-04-01,2011-12-15,"KINDERGAN LANDSCAPING, LLC",11 FOSTER STREET,,BERGENFIELD,NJ,7621,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",25.0,25,10.3,HR,10.3,HR
529,C-10321-51837,2010-11-23,2010-11-17,PARTIAL CERTIFIED,H-2B,NJ,2011-02-05,2011-12-05,WOOD LANDSCAPES INC,185 CLOSTER DOCK RD.,,CLOSTER,NJ,7624,RITA ROMERO/FEDERATION OF EMPLOYERS AND WORKERS OF,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",12.0,11,10.3,HR,10.3,HR
530,C-10326-51940,2010-11-29,2010-11-22,PARTIAL CERTIFIED,H-2B,NJ,2011-03-01,2011-12-31,BRADBURY LANDSCAPE INC,292 WEST ST,P O BOX 65,CLOSTER,NJ,7624,RITA ROMERO,BAY CITY,TX,408.161-010,Landscape Gardener,373011.0,Landscaping and Groundskeeping Workers,LANDSCAPE GARDENER,10.0,9,,,,
531,C-10334-52064,2010-12-03,2010-11-30,CERTIFIED,H-2B,NJ,2011-03-01,2011-12-15,SIGGY'S PERENNIAL GARDENS INC,19 CARLSON COURT,,CLOSTER,NJ,7624,RITA ROMERO,BAY CITY,TX,408.161-010,Landscape Gardener,373011.0,Landscaping and Groundskeeping Workers,LANDSCAPE GARDENER,7.0,7,,,,
