AGENT_ATTORNEY_ADDRESS1,AGENT_ATTORNEY_ADDRESS2,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_POSTAL_CODE,AGENT_ATTORNEY_STATE,AGENT_POC_EMPLOYER_REP_BY_AGENT,ALIEN_WORK_CITY,ALIEN_WORK_STATE,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,CASE_NO,CASE_RECEIVED_DATE,CASE_STATUS,STATUS_STANDARDIZED,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,DECISION_DATE,EDUCATION_LEVEL,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_COUNTRY,EMPLOYER_NAME,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,EMPLOYER_POSTAL_CODE,EMPLOYER_PROVINCE,EMPLOYER_REP_BY_AGENT,EMPLOYER_STATE,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,FULL_TIME_POSITION,FY,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,JOB_END_DATE,JOB_IDNUMBER,JOB_START_DATE,JOB_TITLE,LAWFIRM_NAME,MAJOR,NAICS_CODE,NAME_REQD_TRAINING,NATURE_OF_TEMPORARY_NEED,NBR_WORKERS_CERTIFIED,NBR_WORKERS_REQUESTED,NUM_MONTHS_TRAINING,ORGANIZATION_FLAG,OTHER_EDU,OTHER_WORKSITE_LOCATION,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,PRIMARY/SUB,PRIMARY_CROP,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,SOC_CODE,SOC_TITLE,SUPERVISE_HOW_MANY,SUPERVISE_OTHER_EMP,SWA_NAME,TRADE_NAME,TRAINING_REQ,VISA_CLASS,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_POSTAL_CODE,WORKSITE_LOCATION_STATE
,,Waynesville,Manuel Fick,,NC,,,,48,13.13,Hour,H-300-19073-444991,3/14/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,4/28/19,12/15/19,3/28/19,None,34615 County Rd 26,,McClave,UNITED STATES OF AMERICA,SMARTT FARMS,719-688-4280,,81057,,Y,CO,Y,3,Y,2019,8:00:00,5:00:00,8/21/19,7777914,3/18/19,Machine Operator,USAFARMLABOR,,1119,,Seasonal,1,1,,Individual Employer,,N,,,PRI,Agricultural Equipment Operators,N,,45-2091,Agricultural Equipment Operators,,N,Colorado State Workforce,,N,H-2A,McClave,Bent County,81057,CO
,,Waynesville,MANUEL FICK,,NC,,,,48,10.69,Hour,H-300-18347-289776,12/13/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,2/14/19,12/14/19,1/8/19,None,30251 Co Rd U,,Stratton,UNITED STATES OF AMERICA,"TRIPLE T MACHINERY, INC",719-348-5070,,80836,,Y,CO,Y,3,Y,2019,8:00:00,5:00:00,7/15/19,7666964,12/13/18,Machine Operator,USA FARM LABOR,,1119,,Seasonal,1,1,,Individual Employer,,Y,,,PRI,Grains,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,Burlington Workforce Center,,N,H-2A,Vona,Kit Carson,80861,CO
,,Waynesville,MANUEL FICK,,NC,,,,48,13.13,Hour,H-300-19056-221190,2/25/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,4/16/19,11/30/19,4/1/19,None,15521 Almstead St,,Hudson,UNITED STATES OF AMERICA,Simons Farm Service,303-659-0475,,80642,,Y,CO,Y,3,Y,2019,8:00:00,5:00:00,8/8/19,7747377,3/1/19,Machine Operator,USA FARM LABOR,,1119,,Seasonal,3,3,,Individual Employer,,N,,,PRI,Agricultural Equipment Operators,N,,45-2091,Agricultural Equipment Operators,,N,Adam's County Workforce and Business Center,,N,H-2A,Hudson,Weld,80642,CO
,,WAYNESVILLE,MANUEL FICK,,NC,,,,48,13.13,Hour,H-300-19053-665372,2/22/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,4/8/19,11/15/19,4/8/19,None,P: 35726 County Road Hh,M: 30615 County Road 31,Stratton,UNITED STATES OF AMERICA,"LIVINGSTON FARMS, LLC",970-362-4219,,80836,,Y,CO,Y,3,Y,2019,8:00:00,5:00:00,7/27/19,7760335,3/4/19,Ag Equipment Operator,USA FARM LABOR,,1119,,Seasonal,2,2,,Individual Employer,,N,,,PRI,Agricultural Equipment Operators,N,,45-2091,Agricultural Equipment Operators,,N,CO SWA,,N,H-2A,Stratton,Kit Carson,80836,CO
,,Waynesville,Manuel Fick,,NC,,,,48,13.13,Hour,H-300-19066-578729,3/7/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,4/21/19,11/15/19,5/10/19,None,P: 72 Cascade Ave,"M: 11225 Imboden Rd. Hudson, CO 80642",Almosa,UNITED STATES OF AMERICA,Mike and Jim Kruse Partnership,303-929-3125,,81101,,Y,CO,Y,3,Y,2019,8:00:00,5:00:00,7/31/19,7741187,2/14/19,Farm worker,USAFARMLABOR,,1119,,Seasonal,3,3,,Individual Employer,,Y,,,PRI,Agricultural Equipment Operators,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Colorado Department of Labor & Employment,,N,H-2A,Alamosa,Alamosa,81101,CO
,,WAYNESVILLE,MANUEL FICK,,NC,,,,48,13.13,Hour,H-300-19022-164636,1/22/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,3/18/19,12/1/19,2/5/19,None,2492 County Road 11,,Erie,UNITED STATES OF AMERICA,"Johnston Family Farms, LLC",303-591-8830,,80516,,Y,CO,Y,3,Y,2019,8:00:00,5:00:00,7/25/19,7704935,1/17/19,Farm Worker,USA FARM LABOR,,1119,,Seasonal,2,2,,Individual Employer,,N,,,PRI,Grains,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Adam's County Workforce and Business Center,,N,H-2A,Erie,Boulder,80516,CO
,,WAYNESVILLE,MANUEL FICK,,NC,,,,48,13.13,Hour,H-300-19063-704232,3/4/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,4/18/19,10/31/19,4/1/19,None,P: 17566 CR 30,M: 13407 CR 370,Sterling,UNITED STATES OF AMERICA,"L7 Trading, LLC",970-520-9432,,80751,,Y,CO,Y,3,Y,2019,8:00:00,5:00:00,7/23/19,7757947,3/4/19,Farm Worker,USA FARM LABOR,,1119,,Seasonal,70,70,,Individual Employer,,Y,,,PRI,Agricultural Equipment Operators,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Sterling Workforce Center,,N,H-2A,Sterling,Logan County,80751,CO
,,WAYNESVILLE,MANUEL FICK,,NC,,,,48,12.23,Hour,H-300-19071-896880,3/12/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,5/3/19,12/1/19,5/9/19,None,34753 E 120th Ave,,Hudson,UNITED STATES OF AMERICA,Peak to Prairie Harvesting Inc.,303-842-4758,,80642,,Y,CO,Y,3,Y,2019,8:00:00,5:00:00,8/17/19,7763510,3/4/19,Machine Operator,USA FARM LABOR,,115113,,Seasonal,3,3,,H-2A Labor Contractor or Job Contractor,,Y,,,PRI,Custom Combine Harvesters,N,,45-2091,Agricultural Equipment Operators,,N,Employment Services of Weld County,,N,H-2A,Hudson,Weld,80642,CO
,,PALISADE,KIMBERLY NOLAND,,CO,,,,35,13.13,Hour,H-300-19060-720964,3/1/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,5/1/19,10/5/19,4/1/19,None,2444 DOMINGUEZ CANYON ROAD,"MAILING: C/O HOSKIN FARINA & KEMPF, PO BOX 40, GJT, CO 81503",DELTA,UNITED STATES OF AMERICA,"HONEY ROCK, LLC",480-227-4729,,81416,,Y,CO,Y,1,Y,2019,7:00:00,3:00:00,7/18/19,7747456,2/22/19,Farm Worker,KIMBERLY NOLAND,,111339,,Seasonal,3,3,,Individual Employer,,N,,,PRI,Peaches,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Delta County Workforce Agency,,N,H-2A,Delta,Delta,81416,CO
,,LIVINGSTON,KRISTIE WHEAT,,LA,,,,35,10.69,Hour,H-300-18361-318079,12/27/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,3/1/19,9/30/19,1/29/19,None,19995 CR 16,P O Box 303 Yellow Jacket CO 81335 (Mailing),Yellow Jacket,UNITED STATES OF AMERICA,Hancock Evergreens,970-560-3398,,81335,,Y,CO,N,,Y,2019,7:00:00,1:00:00,6/15/19,7674880,12/18/18,Nursery Worker,CAJUN VISA COMPANY INC,,111421,,Seasonal,3,3,,Individual Employer,,N,,,PRI,Trees,N,,45-2091,Agricultural Equipment Operators,,N,CO Workforce Commission,,N,H-2A,Yellow Jacket,Montezuma County,81335,CO
,,AUSTIN,KEVIN LASHUS,,TX,,,,40,13.13,Hour,H-300-19031-283997,2/6/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,4/1/19,12/15/19,3/14/19,None,2406 E CR 60,,Wellington,UNITED STATES OF AMERICA,"KORBY SOD, LLC",970-568-7633,,80549,,Y,CO,N,,Y,2019,7:00:00,4:00:00,8/8/19,CO7718948,1/31/19,Laborer,"FISHERBROYLES, LLP",,1119,7-14 days,Seasonal,20,20,0,Individual Employer,,N,13.13,,PRI,Sod,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Colorado Department of Labor,,Y,H-2A,Wellington,Larimer,80549,CO
,,PALISADE,KIMBERLY NOLAND,,CO,,,,35,13.13,Hour,H-300-19044-379287,2/13/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,4/16/19,9/4/19,3/5/19,None,3716 G 7/10 ROAD,,PALISADE,UNITED STATES OF AMERICA,"PALISADE PEACH SHACK, INC.",970-433-8279,,81526,,Y,CO,Y,1,Y,2019,6:00:00,2:00:00,6/25/19,7731307,2/8/19,Farm Worker,KIMBERLY NOLAND,,111339,,Seasonal,15,15,,Individual Employer,,N,,,PRI,Peaches,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Mesa County Workforce Agency,,N,H-2A,Palisade,Mesa,81526,CO
,,AUSTIN,KEVIN LASHUS,,TX,,,,35,10.69,Hour,H-300-18305-072827,11/3/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,1/14/19,10/14/19,12/19/18,None,3824 Highline Canal Rd.,,Palisade,UNITED STATES OF AMERICA,"Black Bear Orchards, LLC",970-464-9460,,81526,,Y,CO,Y,1,Y,2019,8:00:00,3:00:00,5/30/19,7618884,10/31/18,Farm Laborer,"FISHERBROYLES, LLP",,1113,,Seasonal,33,33,,Individual Employer,,Y,10.69,20,PRI,Peaches,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Colorado Department of Labor,,N,H-2A,Palisade,Mesa,81526,CO
,,AUSTIN,KEVIN LASHUS,,TX,,,,35,13.13,Hour,H-300-19127-813886,5/7/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,7/15/19,11/8/19,5/28/19,None,3824 Highline Canal Rd.,,Palisade,UNITED STATES OF AMERICA,"Black Bear Orchards, LLC",970-464-9460,,81526,,Y,CO,Y,1,Y,2019,8:00:00,3:00:00,9/11/19,7834483,5/1/19,Farm Laborer,"FISHERBROYLES, LLP",,1113,,Seasonal,18,18,,Individual Employer,,Y,13.13,20,PRI,Peaches,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Colorado Department of Labor,,N,H-2A,Palisade,Mesa,81526,CO
,,PALISADE,KIMBERLY NOLAND,,CO,,,,35,13.13,Hour,H-300-19086-208574,3/27/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,6/1/19,10/31/19,5/6/19,None,1168 NW CEDAR AVENUE,,CEDAREDGE,UNITED STATES OF AMERICA,"STATELINE CROP CONSULTANTS, INC.",970-986-2441,,81413,,Y,CO,Y,3,Y,2019,7:00:00,2:30:00,8/16/19,7783592,3/25/19,Orchard Worker,KIMBERLY NOLAND,,111339,,Seasonal,14,14,,Individual Employer,,Y,,,PRI,Apples,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Delta County Workforce Agency,,N,H-2A,Cedaredge,Delta,81413,CO
,,AUSTIN,KEVIN LASHUS,,TX,,,,40,10.69,Hour,H-300-18318-468161,11/19/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,1/15/19,10/31/19,12/26/18,None,1168 NW Cedar Ave.,,Cedaredge,UNITED STATES OF AMERICA,"Stateline Crop Consultants, Inc",970-986-2441,,81413,,Y,CO,Y,3,Y,2019,7:00:00,4:00:00,6/8/19,CO7629270,11/8/18,Farm Laborer,"FISHERBROYLES, LLP",,1119,,Seasonal,6,6,,Individual Employer,,Y,10.69,,PRI,Apples,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Colorado Department of Labor,,N,H-2A,Cedaredge,Delta,81413,CO
,,AUSTIN,KEVIN LASHUS,,TX,,,,40,13.13,Hour,H-300-19009-805181,1/15/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,3/4/19,11/2/19,1/29/19,None,774 39 3/8 Road,,Palisade,UNITED STATES OF AMERICA,"Colorado Vineyard Specialists, LLC.",970-208-3830,,81526,,Y,CO,Y,1,Y,2019,7:00:00,3:30:00,7/3/19,CO7688429,1/8/19,Farm Worker,"FISHERBROYLES, LLP",,111339,,Seasonal,8,8,,Individual Employer,,N,13.13,,PRI,Peaches,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Colorado Department of Labor,,N,H-2A,Palisade,Mesa,81526,CO
,,AUSTIN,KEVIN LASHUS,,TX,,,,40,10.69,Hour,H-300-18316-877899,11/14/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,1/22/19,9/22/19,1/23/19,None,3901 G 1/4 RD.,,Palisade,UNITED STATES OF AMERICA,"CLARK FAMILY ORCHARDS, INC",970-464-5065,,81526,,Y,CO,Y,1,Y,2019,7:00:00,3:30:00,5/23/19,7629404,11/9/18,Farm Workers,"FISHERBROYLES, LLP",,1113,,Seasonal,10,10,,Individual Employer,,N,10.69,,PRI,Peaches,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Colorado Department of Labor,,N,H-2A,Palisade,Mesa,81526,CO
,,AUSTIN,KEVIN LASHUS,,TX,,,,40,13.13,Hour,H-300-19056-589649,2/26/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,5/6/19,9/22/19,3/26/19,None,3901 G 1/4 RD.,,Palisade,UNITED STATES OF AMERICA,"Clark Family Orchards, Inc",970-464-5065,,81526,,Y,CO,Y,1,Y,2019,7:00:00,3:30:00,7/14/19,CO7748136,2/22/19,Farm Worker,"FISHERBROYLES, LLP",,1113,,Seasonal,12,12,,Individual Employer,,N,13.13,,PRI,Peaches,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Colorado Department of Labor,,N,H-2A,Palisade,Mesa,81526,CO
,,PALISADE,KIMBERLY NOLAND,,CO,,,,40,13.13,Hour,H-300-19044-351257,2/13/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,4/23/19,9/15/19,3/4/19,None,510 35 1/2 ROAD,"(MAILING ADDRESS:  PO BOX 555, PALISADE, CO 81526)",PALISADE,UNITED STATES OF AMERICA,"MESA VIEW ORCHARD, INC.",970-261-1162,,81526,,Y,CO,Y,1,Y,2019,6:00:00,2:00:00,7/4/19,7731295,2/8/19,Farm Worker,KIMBERLY NOLAND,,111339,,Seasonal,4,4,,Individual Employer,,N,,,PRI,Peaches,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Mesa County Workforce Agency,,N,H-2A,Palisade,Mesa,81526,CO
,,CLINTON,ANDREW JACKSON,,NC,,,,35,13.13,Hour,H-300-19007-813659,1/7/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,3/2/19,12/20/19,1/29/19,None,9889 N 51ST STREET,,LONGMONT,UNITED STATES OF AMERICA,"BLACK CAT FARM, LLC",720-878-3474,,80503,,Y,CO,Y,3,Y,2019,7:00:00,3:00:00,7/26/19,7689814,1/7/19,"Farmworker, Vegetable",ANDREW JACKSON LAW,,111219,,Seasonal,6,6,,Individual Employer,,Y,,,PRI,Corn,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,CO DEPT OF LABOR and EMPLOYMENT-FLC,,N,H-2A,Longmont,Boulder,80503,CO
,,CLINTON,ANDREW JACKSON,,NC,,,,35,13.13,Hour,H-300-19057-801648,2/26/19,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,4/22/19,10/31/19,3/27/19,None,14762 CR-3,,Longmont,UNITED STATES OF AMERICA,ROCKY MOUNTAIN FRESH LLC,720-209-8086,,80504,,Y,CO,Y,3,Y,2019,7:00:00,3:00:00,7/27/19,7752685,3/5/19,"Farmworker, Vegetable",ANDREW JACKSON LAW,,111219,,Seasonal,5,5,,Individual Employer,,N,,,PRI,Tomatoes,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,CO DEPT OF LABOR and EMPLOYMENT-FLC,,N,H-2A,Longmont,Boulder,80503,CO
,,CASPER,IDEL ENRIQUEZ CARVAJAL,,WY,,,,,1584.22,Month,H-300-18331-264467,11/27/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,1/30/19,1/27/20,12/13/18,None,"Physical: 402 Church St, San Luis CO 81152","Mailing: 319 Lipscomb St, Fort worth TX 76104",San Luis,UNITED STATES OF AMERICA,DOS HERMANOS RANCH,719-206-0576,,81152,,Y,CO,Y,6,Y,2019,12:00:00,12:00:00,7/30/19,7656692,12/4/18,Goatherder,Mountain Plains Ag Service,,112410,,Seasonal,2,2,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Goats,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,San Luis,Costilla,81152,CO
,,CASPER,IDEL ENRIQUEZ,,WY,,,,,1584.22,Month,H-300-18340-498592,12/6/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,1/22/19,10/31/19,12/27/18,None,"80050 B80 Trail, Crawford CO 81415","PO Box 42, Crawford CO 81415",Crawford,UNITED STATES OF AMERICA,"HARRIS & SONS STIRRUP BAR RANCH, LLC",970-234-4972,,81415,,Y,CO,Y,6,Y,2019,12:00:00,12:00:00,6/12/19,7666951,12/11/18,Goatherder,Mountain Plains Ag Service,,112410,,Seasonal,1,1,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Goats,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,Crawford,Montrose,81415,CO
,,CASPER,IDEL ENRIQUEZ CARVAJAL,,WY,,,,,1584.22,Month,H-300-18282-379007,10/9/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,1/1/19,10/31/19,10/24/18,None,"Physical: 21729 State Hwy 285, La Jara CO 81140",,"Mailing: 21729 State Hwy 285,",UNITED STATES OF AMERICA,Veronica R Gallegos,719-580-9633,,81140,,Y,CO,Y,6,Y,2019,12:00:00,12:00:00,6/1/19,7595812,10/11/18,Range Livestock Worker,Mountain Plains Ag Service,,112410,,Seasonal,2,2,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,La Jara,Conejos,81140,CO
,,CASPER,IDEL ENRIQUEZ CARVAJAL,,WY,,,,,1584.22,Month,H-300-18283-152311,10/10/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,1/1/19,10/31/19,11/19/18,None,"Physical: 1655 County Road 247, Newcastle CO 81647","Mailing: 1655 County Road 247, Newcastle CO 81647",Newcastle,UNITED STATES OF AMERICA,CALVIN ROBERTS RANCH,970-984-2466,,81647,,Y,CO,Y,6,Y,2019,12:00:00,12:00:00,6/1/19,7599605,10/17/18,Range Livestock Worker,Mountain Plains Ag Service,,112410,,Seasonal,2,2,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,New Castle,Garfield,81647,CO
,,CASPER,IDEL ENRIQUEZ CARVAJAL,,WY,,,,,1584.22,Month,H-300-18297-710012,10/24/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,1/1/19,10/31/19,11/20/18,None,"Physical: 3000 West County Road 70, Fort Collins CO 80524","Mailing: 3000 West County Road 70, Fort Collins CO 80524",Fort Collins,UNITED STATES OF AMERICA,"Weaver Ranch, Inc",970-568-3898,,80524,,Y,CO,Y,6,Y,2019,12:00:00,12:00:00,6/1/19,7618815,10/31/18,Range Livestock Worker,Mountain Plains Ag Service,,112410,,Seasonal,2,2,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,Fort Collins,Larimer,80524,CO
,,CASPER,IDEL ENRIQUEZ CARVAJAL,,WY,,,,,1584.22,Month,H-300-18324-307156,11/20/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,2/1/19,11/30/19,11/28/18,None,"Physical: 69116 Hwy 64, Meeker CO 81641","Mailing: P.O.Box 804, Meeker CO 81641",Meeker,UNITED STATES OF AMERICA,Etchart Custom Haying,970-878-4640,,81641,,Y,CO,Y,6,Y,2019,12:00:00,12:00:00,7/2/19,7642857,,Range Livestock Worker,Mountain Plains Ag Service,,112410,,Seasonal,2,2,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,Etchart Ranches,N,H-2A,Meeker,Rio Blanco,81641,CO
,,CASPER,IDEL ENRIQUEZ CARVAJAL,,WY,,,,,1584.22,Month,H-300-18325-350273,11/21/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,2/1/19,11/30/19,11/30/18,None,"Physical: 351 School Street # 1, Craig CO 81625",,Craig,UNITED STATES OF AMERICA,Diamond Peak Cattle Company,970-824-5750,,81625,,Y,CO,Y,6,Y,2019,12:00:00,12:00:00,7/2/19,7650085,11/28/18,Range Livestock Worker,Mountain Plains Ag Service,,112410,,Seasonal,24,24,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,Craig,Moffat,81625,CO
,,CASPER,IDEL ENRIQUEZ CARVAJAL,,WY,,,,,1584.22,Month,H-300-18330-369728,11/26/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,2/1/19,11/30/19,12/14/18,None,"Physical: 531 4th Avenue West, Craig CO 81625","Mailing: 531 4th Avenue West, Craig CO 81625",Craig,UNITED STATES OF AMERICA,LRH Inc.,970-824-5535,,81625,,Y,CO,Y,6,Y,2019,12:00:00,12:00:00,7/2/19,7650271,11/30/18,Range Livestock Worker,Mountain Plains Ag Service,,112410,,Seasonal,4,4,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,Craig,Moffat,81625,CO
,,CASPER,IDEL ENRIQUEZ,,WY,,,,,1584.22,Month,H-300-18340-392465,12/6/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,3/1/19,12/31/19,12/21/18,None,"80050 B80 Trail, Crawford CO 81415","PO Box 42, Crawford CO 81415",Crawford,UNITED STATES OF AMERICA,"Harris & Sons Stirrup Bar Ranch, LLC",970-234-4972,,81415,,Y,CO,Y,6,Y,2019,12:00:00,12:00:00,7/31/19,7666924,12/11/18,Range Livestock Worker,Mountain Plains Ag Service,,112410,,Seasonal,1,1,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,Crawford,Montrose,81415,CO
,,CASPER,IDEL ENRIQUEZ CARVAJAL,,WY,,,,,1584.22,Month,H-300-18334-013707,11/30/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,2/1/19,10/31/19,1/3/19,None,"Physical: 1167 County RD 2, Kremmling CO 80459","Mailing: 2 County RD 2, Kremmling CO 80459",Kremmling,UNITED STATES OF AMERICA,Jodi Hill,970-531-6773,,80459,,Y,CO,Y,6,Y,2019,12:00:00,12:00:00,6/17/19,7656176,12/4/18,Range Livestock Worker,Mountain Plains Ag Service,,112410,,Seasonal,1,1,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,Troublesome Creek Ranch,N,H-2A,Kremmling,Grand,80459,CO
,,CASPER,IDEL ENRIQUEZ,,WY,,,,,1584.22,Month,H-300-18345-427796,12/11/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,3/1/19,11/30/19,1/11/19,None,"20215 F. Road, Delta CO 81416","20215 F. Road, Delta CO 81416",Delta,UNITED STATES OF AMERICA,Sperry Livestock Corp.,970-250-5889,,81416,,Y,CO,Y,6,Y,2019,12:00:00,12:00:00,7/16/19,7670144,1/8/19,Range Livestock Worker,Mountain Plains Ag Service,,112410,,Seasonal,4,4,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,Delta,Delta,81416,CO
,,CASPER,IDEL ENRIQUEZ,,WY,,,,,1633.33,Month,H-300-18354-950506,12/20/18,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,3/1/19,12/31/19,1/16/19,None,"22562 Oatman Rd, Eckert CO 81418","PO Box 149, Eckert CO 81418",Eckert,UNITED STATES OF AMERICA,VOLK RANCH LLLP,970-835-3944,,81418,,Y,CO,Y,6,Y,2019,12:00:00,12:00:00,7/31/19,7681491,12/24/18,Range Livestock Worker,Mountain Plains Ag Service,,112410,,Seasonal,2,2,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,Somerset,Gunnison,81434,CO
