AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_STATE,AGENT_POC_EMPLOYER_REP_BY_AGENT,AGENT_POC_EMP_REP_BY_AGENT,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,CASE_NUMBER,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,DECISION_DATE,EDUCATION_LEVEL,EMPLOYEE_POSTAL_CODE,EMPLOYEE_WORKSITE_CITY,EMPLOYEE_WORKSITE_COUNTY,EMPLOYEE_WORK_STATE,EMPLOYER_ADDRESS_1,EMPLOYER_ADDRESS_2,EMPLOYER_CITY,EMPLOYER_COUNTRY,EMPLOYER_NAME,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,EMPLOYER_POSTAL_CODE,EMPLOYER_PROVINCE,EMPLOYER_STATE,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,FEIN,FULL_TIME_POSITION,FY,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,JOB_END_DATE,JOB_IDNUMBER,JOB_START_DATE,JOB_TITLE,LAWFIRM_NAME,MAJOR,NAICS_CODE,NAME_REQUIRED_TRAINING,NATURE_OF_TEMPORARY_NEED,NBR_WORKERS_CERTIFIED,NBR_WORKERS_REQUESTED,NPC_SUBMITTED_DATE,NUMBER_OF_HOURS,NUM_MONTHS_TRAINING,OTHER_EDUCATION,OTHER_WORKSITE_LOCATION,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,PAY_RANGE_UNIT,PREVAILING_WAGE,PW_UNIT_OF_PAY,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,SOC_CODE,SOC_TITLE,SUBMITTED_DATE,SUPERVISE_HOW_MANY,SUPERVISE_OTHER_EMP,SWA_NAME,TRADE_NAME_DBA,TRAINING_REQUIRED,VISA_TYPE,WORKSITE_ADDRESS_1,WORKSITE_ADDRESS_2,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_POSTAL_CODE,WORKSITE_STATE,
BAY CITY,RITA ROMERO,TX,Y,,,$14.51 ,,H-400-17326-625881,Certification,4/1/18,11/30/18,2/23/18,None,80110,Englewood,Araphoe,CO,3355 S. Umatilla St.,,Englewood,UNITED STATES OF AMERICA,Keesen Landscape Management Inc,303-761-0444,,80110,,CO,N,,,Y,2018,6:30 AM,4:30 PM,,,,Landscape Laborer,FEWA,,561730,,Peakload,180,180,,40,,,Y,21.77,24.75,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
DENVER,MARIE LOWE,CO,Y,,,$20.00 ,,H-400-17353-911883,Denied,4/1/18,12/31/18,2/23/18,None,80221,DENVER,DENVER,CO,7290 SAMUEL DRIVE,SUITE 322,DENVER,UNITED STATES OF AMERICA,RODRIGUEZ CONSTRUCTION ORG LLC,303-658-0672,,80221,,CO,N,,,Y,2018,7:00 AM,3:30 PM,,,,Cement Masons and Concrete Finishers,"LAW OFFICE OF MARIE H. LOWE, LLC",,238110,,Peakload,,10,,40,,,Y,30,,Hour,,,N,,47-2051,Cement Masons and Concrete Finishers,1/1/18,,N,,,N,H-2B,,,,,,,
BAY CITY,LAURA TREVINO,TX,Y,,,$14.51 ,,H-400-18001-880727,Certification,4/1/18,10/31/18,2/23/18,None,80125,Littleton,Douglas,CO,6875 S. Santa Fe Dr,,Littleton,UNITED STATES OF AMERICA,Designs By Sundown Inc,303-789-4400,,80120,,CO,N,,,Y,2018,7:00 AM,5:00 PM,,,,Landscape Laborer,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,,561730,,Seasonal,40,40,,40,,,Y,21.77,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
BAY CITY,ROBIN SVEC,TX,Y,,,$13.03 ,,H-400-17187-337524,Certification,4/1/18,11/15/18,2/26/18,None,80909,Colorado Springs,El Paso,CO,2200 Rifle St.,,Aurora,UNITED STATES OF AMERICA,"Metco Landscape, Inc.",303-421-3100,,80011,,CO,N,,,Y,2018,7:00 AM,4:00 PM,,,,Landscape Laborer,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,,561730,,Peakload,15,15,,40,,,Y,19.55,20.37,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
BAY CITY,LINDA SEALS,TX,Y,,,$14.51 ,,H-400-17188-306788,Certification,4/1/18,11/30/18,2/26/18,None,80223,Denver,Denver,CO,2235 S. Jason St.,,Denver,UNITED STATES OF AMERICA,Landwise LLC,303-934-4223,,80223,,CO,N,,,Y,2018,6:30 AM,3:30 PM,,,,Landscape Laborer,FEWA,,561730,,Peakload,20,20,,40,,,Y,21.77,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
Glen Allen,FERNANDO SAENZ,VA,Y,,,$15.03 ,,H-400-17277-074743,Certification,4/1/18,10/31/18,2/26/18,None,80229,Thornton,Adams,CO,3253 E. 94TH DRIVE,,THORNTON,UNITED STATES OF AMERICA,VERVE DEVELOPMENT LLC,720-683-2122,,80229,,CO,Y,3,,Y,2018,8:00 AM,5:00 PM,,,,"Irrigation System Installer, Groundskeeping",WORKFORCE ADVANTAGE,,221310,,Peakload,10,10,,35,,,Y,22.55,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
BAY CITY,LINDA SEALS,TX,Y,,,$14.51 ,,H-400-17310-109830,Certification,4/1/18,11/30/18,2/26/18,None,80022,Commerce City,Adams,CO,8501 Quebec St.,"Mailing: 1437 Halsey Way, Carrollton, TX 75007",Commerce City,UNITED STATES OF AMERICA,LMI Landscapes LLC,972-446-0020,,80022,,CO,N,,,Y,2018,7:00 AM,4:30 PM,,,,Landscape Laborer,FEWA,,561730,,Peakload,32,32,,40,,,Y,21.77,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
BAY CITY,LINDA SEALS,TX,Y,,,$14.51 ,,H-400-17321-087737,Certification,4/1/18,11/30/18,2/26/18,None,80207,Denver,Denver,CO,5253 E. 38th Avenue,,Denver,UNITED STATES OF AMERICA,Lawntech Enterprises Inc,303-322-6272,,80207,,CO,N,,,Y,2018,7:00 AM,3:30 PM,,,,Landscape Laborer,FEWA,,561730,,Peakload,15,15,,40,,,Y,21.77,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
BAY CITY,MONSERRAT DANNELS,TX,Y,,,$15.03 ,,H-400-17324-452902,Certification,4/1/18,11/30/18,2/26/18,None,80112,Englewood,Denver,CO,351 Airpark Dr.,"Mailing: PO Box 480, Eagle, CO 81631",Gypsum,UNITED STATES OF AMERICA,"Rocky Mountain Custom Landscape and Associates, Inc.",970-748-8461,,81637,,CO,N,,,Y,2018,7:30 AM,6:00 PM,,,,Landscape Laborer,FEDERATION OF EMPLOYERS & WORKERS OF AMERICA,,561730,,Peakload,20,20,,40,,,Y,22.55,26.25,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,Rocky Mountain Custom Landscapes,N,H-2B,,,,,,,
KINGSTON,SHEILA GRAY,OK,Y,,,$22.32 ,,H-400-17324-734986,Certification,4/1/18,11/30/18,2/26/18,None,80488,STEAMBOAT SPRINGS,ROUTT,CO,350 RIVER ROAD,PO BOX 880253,STEAMBOAT SPRINGS,UNITED STATES OF AMERICA,G.L. COOK CONCRETE INC,970-846-1393,,80488,,CO,Y,12,,Y,2018,7:00 AM,4:00 PM,,,,CONCRETE FORM SETTER/LABORER,"LABOR, MADE EASY",,212321,,Seasonal,4,4,,40,,,Y,,,Hour,,,N,,47-2051,Cement Masons and Concrete Finishers,1/1/18,,N,,,N,H-2B,,,,,,,
BAY CITY,LINDA SEALS,TX,Y,,,$14.51 ,,H-400-17324-810179,Certification,4/1/18,12/30/18,2/26/18,None,80022,Commerce City,Adams,CO,23434 Otowi Road,"Mailing: 9888 W. Belleview Ave. #128, Littleton, CO 80123",Indian Hill,UNITED STATES OF AMERICA,SaBell's Civil and Landscape LLC,303-801-4768,,80454,,CO,N,,,Y,2018,7:30 AM,4:30 PM,,,,Landscape Laborer,FEWA,,561730,,Seasonal,20,20,,40,,,Y,21.77,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
AUSTIN,ROBERT KERSHAW,TX,Y,,,$14.51 ,,H-400-17330-775753,Certification,4/1/18,10/31/18,2/26/18,None,80241,Thornton,Adams,CO,13200 Garfield Place,,Thornton,UNITED STATES OF AMERICA,Green Heaven Ground Servcies LLC,303-920-9426,,80241,,CO,N,,,Y,2018,6:00 AM,3:00 PM,,,,Landscaper,"THE KERSHAW LAW FIRM, PC",,56173,,Peakload,20,20,,40,,,Y,21.77,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
WINDSOR,BRADLEY AHL,CO,Y,,,$19.79 ,,H-400-17353-325388,Certification,4/1/18,12/31/18,2/26/18,None,80160,Lakewood,Jefferson,CO,5490 West 13th Avenue,,Lakewood,UNITED STATES OF AMERICA,"ELEVATED STRUCTURAL DECKS, INC. (F)",303-274-1877,,80160,,CO,N,,,Y,2018,7:00 AM,5:00 PM,,,,Cement Masons and Concrete Finishers,"LABOR SOLUTIONS, INC.",,238110,,Seasonal,10,10,,40,,,Y,29.69,36,Hour,,,N,,47-2051,Cement Masons and Concrete Finishers,1/1/18,,N,,"ESD, INC.",N,H-2B,,,,,,,
LOVINGSTON,Elizabeth Whitley,VA,Y,,,$15.45 ,,H-400-18001-190701,Withdrawn,4/1/18,10/1/18,2/26/18,None,80112,Centennial,Arapahoe,CO,5700 E. Evans Ave,"mailing: 5700 E. Evans Ave.  Denver, CO 80222",Denver,UNITED STATES OF AMERICA,Emerald Isle Landscaping,303-693-3072,,80222,,CO,N,,,Y,2018,7:00 AM,3:45 PM,,,,Landscape Laborer,"MAS Labor H-2B, LLC",,561730,,Seasonal,,80,,40,,,Y,23.18,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
BAY CITY,BRANDIE ALEXANDER,TX,Y,,,$14.51 ,,H-400-18001-287917,Certification,4/1/18,12/15/18,2/26/18,None,80231,Denver,Arapahoe,CO,2310 S. Syracuse Way,,Denver,UNITED STATES OF AMERICA,Phase One Landscapes Inc,303-750-6060,,80231,,CO,N,,,Y,2018,7:00 AM,4:00 PM,,,,Landscape Laborer,FEWA,,561730,,Peakload,25,25,,40,,,Y,21.77,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
CHARLOTTESVILLE,Elizabeth Whitley,VA,Y,,,$24.00 ,,H-400-17314-724578,Certification,4/1/18,11/30/18,2/27/18,None,80540,Lyons,Boulder,CO,3587 Stone Canyon Road,"Mailing: PO Box 2526, Longmont, CO 80502",Lyons,UNITED STATES OF AMERICA,Frontier Stone LLC,303-775-6111,,80540,,CO,N,,,Y,2018,7:00 AM,2:30 PM,,,,Stonemasons,"MASLABOR H2B, LLC",,238140,,Seasonal,20,20,,35,,,Y,36,,Hour,,,N,,47-2021,Brickmasons and Blockmasons,1/1/18,,N,,,N,H-2B,,,,,,,
CHARLOTTESVILLE,Elizabeth Whitley,VA,Y,,,$18.52 ,,H-400-17317-340652,Certification,4/1/18,11/30/18,2/27/18,None,80540,Lyons,Boulder,CO,3587 Stone Canyon Road,"Mailing: PO Box 2526,  Longmont, CO 80502",Lyons,UNITED STATES OF AMERICA,O & A Stone LLC,303-775-6111,,80540,,CO,N,,,Y,2018,7:00 AM,3:00 PM,,,,"Rock Splitters, Quarry","MASLABOR H2B, LLC",,212311,,Seasonal,25,25,,35,,,N,27.78,,Hour,,,N,,47-5051,"Rock Splitters, Quarry",1/1/18,,N,,,N,H-2B,,,,,,,
LOVINGSTON,Elizabeth Whitley,VA,Y,,,$14.51 ,,H-400-17320-017503,Certification,4/1/18,11/30/18,2/27/18,None,80107,Elizabeth,Elbert,CO,47705 County Road 29,mailing: P.O. Box 452  Franktown CO 80116,Elizabeth,UNITED STATES OF AMERICA,"Advanced Landscape & Design, Inc.",303-660-9378,,80107,,CO,Y,3,,Y,2018,8:00 AM,5:00 PM,,,,Landscape Laborer,"MAS Labor H-2B, LLC",,561730,,Peakload,16,16,,40,,,Y,21.77,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
AUSTIN,ROBERT KERSHAW,TX,Y,,,$10.99 ,,H-400-17325-215500,Certification,4/1/18,11/17/18,2/27/18,None,80915,Colorado Springs,El Paso,CO,7881 S. Wheeling Court,,Englewood,UNITED STATES OF AMERICA,"BMC West, LLC",303-784-4214,,80112,,CO,N,,,Y,2018,5:00 AM,1:30 PM,,,,Assembler/Material Handler,"THE KERSHAW LAW FIRM, PC",,321214,,Peakload,8,8,,40,,,N,16.49,24,Hour,,,N,,51-9198,Helpers--Production Workers,1/1/18,,N,,,N,H-2B,,,,,,,
CHARLOTTESVILLE,Elizabeth Whitley,VA,Y,,,$14.51 ,,H-400-17340-553213,Certification,4/1/18,12/1/18,2/27/18,None,80214,Lakewood,Jefferson,CO,1605 Carr St.,,Lakewood,UNITED STATES OF AMERICA,"Aspen Valley Lawn, Inc",720-379-1850,,80214,,CO,Y,3,,Y,2018,6:45 AM,3:15 PM,,,,Lawn Technician,"MASLABOR H2B, LLC",,561730,,Seasonal,4,4,,40,,,Y,21.77,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,dba The Grounds Guys of Lakewood,N,H-2B,,,,,,,
Lovingston,Elizabeth Whitley,VA,Y,,,$14.51 ,,H-400-17342-114275,Certification,4/1/18,12/14/18,2/27/18,None,80011,Aurora,Adams,CO,"16265 E. 33rd Drive, Suite 30",,Aurora,UNITED STATES OF AMERICA,"Greenways Landscape Services, LLC",303-576-6368,,80011,,CO,Y,3,,Y,2018,7:00 AM,3:30 PM,,,,Grounds/Maintenance Specialist,"MAS LABOR H2B, LLC",,561730,,Peakload,35,35,,40,,,Y,21.77,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
Lovingston,Elizabeth Whitley,VA,Y,,,$16.81 ,,H-400-17344-735058,Certification,4/1/18,11/30/18,2/27/18,None,80221,Denver,Adams,CO,801 West 62nd Avenue,P.O. Box 211368,Denver,UNITED STATES OF AMERICA,"Miller Wall Company, Inc.",303-426-0802,,80221,,CO,Y,12,,Y,2018,6:30 AM,3:00 PM,,,,Construction Laborer,"MAS LABOR H2B, LLC",,238140,,Peakload,15,15,,40,,,Y,25.22,,Hour,,,N,,47-2061,Construction Laborers,1/1/18,,N,,,N,H-2B,,,,,,,
Lovingston,Elizabeth Whitley,VA,Y,,,$16.72 ,,H-400-17352-806800,Certification,4/1/18,10/31/18,2/27/18,None,80487,Steamboat Springs,Routt,CO,258 S. Pine Street,"mailing: 961 Alta Vista Drive  Craig, CO 81625",Hayden,UNITED STATES OF AMERICA,Novus Inc.,970-846-5470,,81639,,CO,N,,,Y,2018,8:00 AM,4:30 PM,,,,Landscape Laborer,"MAS Labor H-2B, LLC",,561730,,Seasonal,8,8,,40,,,Y,25.08,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
CHARLOTTESVILLE,Elizabeth Whitley,VA,Y,,,$15.32 ,,H-400-17354-711162,Certification,4/1/18,11/16/18,2/27/18,None,80540,LYONS,Larimer,CO,2493 CR 37E,,Lyons,UNITED STATES OF AMERICA,"BB Stoneworks, Inc",303-823-5659,,80540,,CO,Y,3,,Y,2018,7:00 AM,3:00 PM,,,,Machine Operators,"MASLABOR H2B, LLC",,212311,,Peakload,35,35,,35,,,Y,22.98,,Hour,,,N,,51-9031,"Cutters and Trimmers, Hand",1/1/18,,N,,Lyons Sandstone,N,H-2B,,,,,,,
,,,N,,,$10.90 ,,H-400-17362-124058,Withdrawn,1/1/18,1/1/19,2/27/18,High School/GED,80908,Colorado Springs,Colorado,CO,2615 STONE CREEK RD,,COLORADO SPRINGS,UNITED STATES OF AMERICA,FRANK OLAH SR,719-231-7138,,80908,,CO,N,,,Y,2018,8:00 AM,3:00 PM,,,,Personal Care Aide,,,624120,,One-Time Occurrence,,1,,35,,,N,,,Hour,,,N,,39-9021,Personal Care Aides,12/28/17,,N,,,N,H-2B,,,,,,,
BAY CITY,JAQUELINE ABRIL,TX,Y,,,$14.51 ,,H-400-17262-221244,Certification,4/1/18,11/30/18,2/28/18,None,80229,Denver,Adams,CO,1101 East 64th Ave,,Denver,UNITED STATES OF AMERICA,Environmental Logistics,303-275-0661,,80229,,CO,N,,,Y,2018,6:30 AM,3:30 PM,,,,Landscape Laborer,FEWA,,561730,,Peakload,30,30,,40,,,Y,21.77,23.13,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
BAY CITY,JAQUELINE ABRIL,TX,Y,,,$14.51 ,,H-400-17262-791479,Certification,4/1/18,11/21/18,2/28/18,None,80135,Sedalia,Douglas,CO,7543 Daniels Park Road,,Sedalia,UNITED STATES OF AMERICA,"Sanctuary, Inc",303-224-2870,,80135,,CO,N,,,Y,2018,6:00 AM,2:00 PM,,,,Landscape Laborer,FEWA,,713910,,Peakload,30,30,,40,,,N,21.77,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
CENTENNIAL,DANIEL KOWALSKI,CO,Y,,,$14.32 ,,H-400-17269-278335,Certification,4/1/18,11/15/18,2/28/18,None,80022,Commerce City,Adams,CO,6270 EAST 50TH AVENUE,,COMMERCE CITY,UNITED STATES OF AMERICA,"Flynn Southwest, LP",303-287-3043,,80022,,CO,N,,,Y,2018,6:30 AM,4:30 PM,,,,Roofer Helper,Ware Immigration,,238160,,Peakload,18,18,,40,,,Y,22.19,,Hour,,,N,,47-3016,Helpers--Roofers,1/1/18,,N,,,N,H-2B,,,,,,,
CENTENNIAL,DANIEL KOWALSKI,CO,Y,,,$21.34 ,,H-400-17269-506269,Certification,4/1/18,11/15/18,2/28/18,None,80022,Commerce City,Adams,CO,6270 EAST 50TH AVENUE,,COMMERCE CITY,UNITED STATES OF AMERICA,"Flynn Southwest, LP",303-287-3043,,80022,,CO,N,,,Y,2018,6:30 AM,4:30 PM,,,,ROOFER,Ware Immigration,,238160,,Peakload,18,18,,40,,,Y,32.01,,Hour,,,N,,47-2181,Roofers,1/1/18,,N,,,N,H-2B,,,,,,,
BAY CITY,BRANDIE ALEXANDER,TX,Y,,,$14.51 ,,H-400-17290-545510,Certification,4/1/18,12/1/18,2/28/18,None,80604,Henderson,Adams,CO,4459 Chaplin Creek Court,,Loveland,UNITED STATES OF AMERICA,Mountain View Landscape & Sprinklers Inc,720-270-3348,,80538,,CO,N,,,Y,2018,7:00 AM,4:00 PM,,,,Laborers,FEWA,,561730,,Peakload,10,10,,40,,,Y,0,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
CHARLOTTESVILLE,Elizabeth Whitley,VA,Y,,,$14.51 ,,H-400-17300-720512,Certification,4/1/18,11/30/18,2/28/18,None,80216,Denver,Adams,CO,4454 S Van Gordon Way,,Morrison,UNITED STATES OF AMERICA,Double Eagle Inc,303-257-2226,,80465,,CO,N,,,Y,2018,8:00 AM,4:30 PM,,,,Landscape Laborer,"MASLABOR H2B, LLC",,561730,,Seasonal,13,13,,40,,,Y,21.77,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
AUSTIN,ROBERT KERSHAW,TX,Y,,,$14.51 ,,H-400-17306-121120,Certification,4/1/18,11/30/18,2/28/18,None,80123,Littleton,Jefferson,CO,8125 W. Grand Ave.,Ste. 100,Littleton,UNITED STATES OF AMERICA,Mitch's Green Thumb Landscaping Colorado Corporation,303-781-2331,,80123,,CO,Y,2,,Y,2018,7:00 AM,3:30 PM,,,,Laborer,"THE KERSHAW LAW FIRM, PC",,561730,,Peakload,20,20,,40,,,Y,21.77,25.5,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,"MGT Landscaping, Inc.",N,H-2B,,,,,,,
CENTENNIAL,Daniel KOWALSKI,CO,Y,,,$14.51 ,,H-400-17318-041078,Certification Expired,4/1/18,9/30/18,2/28/18,None,80002,Arvada,JEFFERSON,CO,4852 S. Hoyt Street,,Littleton,UNITED STATES OF AMERICA,"LandCare Management, Inc.",303-282-3995,,80123,,CO,N,,,Y,2018,6:30 AM,5:30 PM,,,,Landscape Laborers,Ware Immigration,,541320,,Peakload,38,38,,40,,,Y,21.77,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
AUSTIN,ROBERT KERSHAW,TX,Y,,,$13.55 ,,H-400-17319-012131,Certification,4/1/18,12/1/18,2/28/18,None,80550,Windsor,Weld,CO,36841 County Road 15,,Windsor,UNITED STATES OF AMERICA,"Walker Landscaping, Inc.",970-484-1414,,80550,,CO,Y,3,,Y,2018,8:00 AM,5:00 PM,,,,Landscape Laborer,"THE KERSHAW LAW FIRM, PC",,561730,,Peakload,13,13,,40,,,Y,20.33,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
AUSTIN,ROBERT KERSHAW,TX,Y,,,$12.27 ,,H-400-17325-502383,Certification,4/1/18,11/17/18,2/28/18,None,84104,Salt Lake City,Salt Lake,UT,7881 S. Wheeling Court,,Englewood,UNITED STATES OF AMERICA,"BMC West, LLC",303-784-4214,,80112,,CO,N,,,Y,2018,6:00 AM,4:30 PM,,,,Assembler/Material Handler,"THE KERSHAW LAW FIRM, PC",,321214,,Peakload,30,30,,40,,,Y,18.41,22.5,Hour,,,N,,51-9198,Helpers--Production Workers,1/1/18,,N,,,N,H-2B,,,,,,,
CORAL GABLES,JENNIFER ESTRELLA,FL,Y,,,$10.20 ,,H-400-17329-810167,Certification,4/1/18,12/31/18,2/28/18,None,80906,Colorado Springs,El Paso,CO,1 Lake Avenue,,Colorado Springs,UNITED STATES OF AMERICA,"The Broadmoor Hotel, Inc.",719-634-7711,,80906,,CO,N,,,Y,2018,5:00 AM,1:00 PM,,,,Bellhop,"FRAGOMEN DEL REY BERNSEN & LOEWY, LLP",,721110,,Peakload,7,7,,35,,,Y,15.3,,Hour,,,N,,39-6011,Baggage Porters and Bellhops,1/1/18,,N,,The Broadmoor,N,H-2B,,,,,,,
AUSTIN,ROBERT KERSHAW,TX,Y,,,$15.45 ,,H-400-17331-452350,Certification,4/1/18,12/15/18,2/28/18,None,80549,Wellington,Larimer,CO,2406 E CR 60,,Wellington,UNITED STATES OF AMERICA,"Korby Landscape, LLC",970-232-1127,,80549,,CO,N,,,Y,2018,7:30 AM,4:30 PM,,,,Landscape Laborer,"THE KERSHAW LAW FIRM, PC",,561730,,Peakload,23,23,,40,,,Y,23.18,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
CORAL GABLES,JENNIFER ESTRELLA,FL,Y,,,$10.20 ,,H-400-17354-250845,Certification,4/1/18,12/31/18,2/28/18,None,80906,Colorado Springs,El Paso,CO,1 Lake Avenue,,Colorado Springs,UNITED STATES OF AMERICA,"The Broadmoor Hotel, Inc.",719-634-7711,,80906,,CO,N,,,Y,2018,5:00 AM,1:00 PM,,,,Dining Room Attendant,"FRAGOMEN DEL REY BERNSEN & LOEWY, LLP",,721110,,Peakload,22,22,,35,,,Y,15.3,,Hour,,,N,,35-9011,Dining Room and Cafeteria Attendants and Bartender,1/1/18,,N,,The Broadmoor Hotel,N,H-2B,,,,,,,
CORAL GABLES,JENNIFER ESTRELLA,FL,Y,,,$11.00 ,,H-400-17354-821537,Certification,4/1/18,12/31/18,2/28/18,None,80906,Colorado Springs,El Paso,CO,1 Lake Avenue,,Colorado Springs,UNITED STATES OF AMERICA,"The Broadmoor Hotel, Inc.",719-634-7711,,80906,,CO,N,,,Y,2018,7:00 AM,3:30 PM,,,,Housekeeping Cleaner,"FRAGOMEN DEL REY BERNSEN & LOEWY, LLP",,721110,,Peakload,75,75,,35,,,Y,16.5,,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,1/1/18,,N,,The Broadmoor Hotel,N,H-2B,,,,,,,
CORAL GABLES,JENNIFER ESTRELLA,FL,Y,,,$10.20 ,,H-400-17354-923398,Certification,4/1/18,12/31/18,2/28/18,None,80906,Colorado Springs,El Paso,CO,1 Lake Avenue,,Colorado Springs,UNITED STATES OF AMERICA,"The Broadmoor Hotel, Inc.",719-634-7711,,80906,,CO,N,,,Y,2018,5:00 AM,1:00 PM,,,,Convention Room Busser,"FRAGOMEN DEL REY BERNSEN & LOEWY, LLP",,721110,,Peakload,14,14,,35,,,Y,15.3,,Hour,,,N,,35-9011,Dining Room and Cafeteria Attendants and Bartender,1/1/18,,N,,The Broadmoor Hotel,N,H-2B,,,,,,,
CORAL GABLES,JENNIFER ESTRELLA,FL,Y,,,$10.20 ,,H-400-17355-018604,Certification,4/1/18,12/31/18,2/28/18,None,80906,Colorado Springs,El Paso,CO,1 Lake Avenue,,Colorado Springs,UNITED STATES OF AMERICA,"The Broadmoor Hotel, Inc.",719-634-7711,,80906,,CO,N,,,Y,2018,5:00 AM,1:00 PM,,,,Kitchen Helper,"FRAGOMEN DEL REY BERNSEN & LOEWY, LLP",,721110,,Peakload,45,45,,35,,,Y,15.3,,Hour,,,N,,35-9021,Dishwashers,1/1/18,,N,,The Broadmoor Hotel,N,H-2B,,,,,,,
CORAL GABLES,JENNIFER ESTRELLA,FL,Y,,,$19.26 ,,H-400-17355-983939,Certification,4/1/18,12/31/18,2/28/18,None,80906,Colorado Springs,El Paso,CO,1 Lake Avenue,,Colorado Springs,UNITED STATES OF AMERICA,"The Broadmoor Hotel, Inc.",719-634-7711,,80906,,CO,N,,,Y,2018,8:00 AM,5:00 PM,,,,Massage Therapist,"FRAGOMEN DEL REY BERNSEN & LOEWY, LLP",,721110,,Peakload,3,3,,40,,,Y,28.89,,Hour,,,N,,31-9011,Massage Therapists,1/1/18,,N,,The Broadmoor Hotel,N,H-2B,,,,,,,
CENTENNIAL,DANIEL KOWALSKI,CO,Y,,,$14.51 ,,H-400-17269-075247,Certification,4/1/18,11/30/18,3/1/18,None,80110,Sheridan,Arapahoe,CO,3333 S Wadsworth Blvd,#216,Lakewood,UNITED STATES OF AMERICA,Creativexteriors,303-422-9747,,80227,,CO,N,,,Y,2018,7:00 AM,3:30 PM,,,,Landscape Laborer,Ware Immigration,,561730,,Peakload,50,50,,40,,,Y,21.77,33,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
