AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_STATE,ALIEN_WORK_STATE,APPLICATION_TYPE,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,CASE_NUMBER,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,DECISION_DATE,DOT_NAME,DOT_OCCUPATIONAL_CODE,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_NAME,EMPLOYER_POSTAL_CODE,EMPLOYER_STATE,FY,JOB_TITLE,LAWFIRM_NAME,NBR_WORKERS_CERTIFIED,NBR_WORKERS_REQUESTED,NPC_SUBMITTED_DATE,PREVAILING_WAGE,PW_UNIT_OF_PAY,RECENT_DECISION_DATE,SOC_CODE,SOC_NAME,VISA_CLASS
,,,,CO,,12.02,HR,C-11334-55959,CERTIFIED,3/15/12,10/15/12,1/10/12,"Guide, Travel",353.167-010,1432 CHAMBERS AVE.,,EAGLE,ERTT INC. DBA TIMBERLINE TOURS,81631,CO,2012,"GUIDE, TRAVEL",,10,10,11/30/11,12.02,HR,,396022,Travel Guides,H-2B
,LOVINGSTON,"ELIZABETH D. WHITLEY/ MAS LABOR H2B, LLC",VA,CO,,9.15,HR,C-12004-56907,PARTIAL CERTIFIED,4/2/12,12/5/12,1/10/12,"Laborer, Landscape",408.687-014,16797 E 2ND AVE. SUITE C-102,,AURORA,"SINGING HILLS LANDSCAPE, INC.",80011,CO,2012,"LABORER, LANDSCAPE",,60,60,1/4/12,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,WINDSOR,"SUE ANN BOWEN/LABOR SOLUTIONS, INC.",CO,CO,,9.5,HR,C-11355-56433,CERTIFIED,4/1/12,11/30/12,1/11/12,"Groundskeeper, Industrial-Commercial",406.684-014,1528 MAJESTIC DRIVE,,BERTHOUD,"ROCKY MOUNTAIN LANDSCAPE AND DESIGN, INC.",80513,CO,2012,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",,7,7,12/21/11,9.5,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,WINDSOR,"SUE ANN BOWEN/ LABOR SOLUTIONS, INC.",CO,CO,,11.39,HR,C-11355-56436,CERTIFIED,4/1/12,11/30/12,1/11/12,"Laborer, Landscape",408.687-014,351 AIRPARK DRIVE,,GYPSUM,"ROCKY MOUNTAIN CUSTOM LANDSCAPES, INC",81637,CO,2012,"LABORER, LANDSCAPE",,20,20,12/21/11,11.39,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,WINDSOR,SUE ANN BOWEN,CO,CO,,11.39,HR,C-11355-56437,CERTIFIED,4/1/12,11/30/12,1/11/12,"Laborer, Landscape",408.687-014,3756 IMPERIAL STREET,,FREDERICK,"WESTERN STATES RECLAMATION, INC.",80516,CO,2012,"LABORER, LANDSCAPE",,18,18,12/21/11,11.39,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,WINDSOR,SUE ANN BOWEN,CO,CO,,12.28,HR,C-11355-56440,CERTIFIED,4/1/12,11/30/12,1/11/12,Cement Mason,844.364-010,520 E. COSTILLA ST.,,COLARADO SPRINGS,"EVEN-PREISSER, INC.",80903,CO,2012,CEMENT MASON,,10,10,12/21/11,12.28,HR,,472051,Cement Masons and Concrete Finishers,H-2B
,WINDSOR,SUE ANN BOWEN,CO,CO,,9.61,HR,C-11355-56441,PARTIAL CERTIFIED,4/1/12,11/30/12,1/11/12,"Laborer, Landscape",408.687-014,5025 E. BALNEY ROAD,,PEYTON,"MOUNTAIN SPLENDOR SERVICES, INC.",80831,CO,2012,"LABORER, LANDSCAPE",,14,15,12/21/11,9.61,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,WINDSOR,SUE ANN BOWEN,CO,CO,,9.61,HR,C-11355-56443,CERTIFIED,4/1/12,11/30/12,1/11/12,Landscape Gardener,408.161-010,777 CONRAD STREET,,COLORADO SPRINGS,"ASPEN LEAF LANDSCAPE MAINTENANCE, INC.",80915,CO,2012,LANDSCAPE GARDENER,,6,6,12/21/11,9.61,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,WINDSOR,SUE ANN BOWEN,CO,CO,,9.5,HR,C-11355-56444,CERTIFIED,4/1/12,11/30/12,1/11/12,"Laborer, Landscape",408.687-014,1640 S. VALLEJO ST.,,DENVER,VIC'S LANDSCAPING,80223,CO,2012,"LABORER, LANDSCAPE",,10,10,12/21/11,9.5,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,WINDSOR,SUE ANN BOWEN,CO,CO,,9.5,HR,C-11355-56445,CERTIFIED,4/1/12,11/30/12,1/11/12,"Laborer, Landscape",408.687-014,10875 MAPLE ROAD,,LAFAYETTE,"GREEN HILL LANDSCAPE, INC.",80026,CO,2012,"LABORER, LANDSCAPE",,6,6,12/21/11,9.5,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,WINDSOR,SUE ANN BOWEN,CO,CO,,9.5,HR,C-11355-56446,CERTIFIED,4/1/12,11/30/12,1/11/12,"Laborer, Landscape",408.687-014,5660 VALMONT ROAD,,BOULDER,TORII LAWN AND SPRINKLER SPECIALISTS,80301,CO,2012,"LABORER, LANDSCAPE",,10,10,12/21/11,9.5,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,WINDSOR,SUE ANN BOWEN,CO,CO,,9.15,HR,C-11355-56451,CERTIFIED,4/1/12,11/9/12,1/11/12,"Groundskeeper, Industrial-Commercial",406.684-014,8000 PRESERVATION TRAIL,,PARKER,COLORADO GOLF CLUB,80134,CO,2012,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",,25,25,12/21/11,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,WINDSOR,"SUE ANN BOWEN / LABOR SOLUTIONS, INC.",CO,CO,,12.39,HR,C-11355-56452,CERTIFIED,4/1/12,12/25/12,1/11/12,Rock Splitter,771.684-010,4168 UTE HIGHWAY,,LONGMONT,"BLUE MOUNTAIN STONE, INC.",80503,CO,2012,ROCK SPLITTER,,50,50,12/21/11,12.39,HR,,519031,"Cutters and Trimmers, Hand",H-2B
,BAY CITY,APRIL MCKINNEY/FEDERTION OF EMPLOYERS AND WORKERS,TX,CO,,9.15,HR,C-12005-56934,CERTIFIED,4/2/12,11/30/12,1/11/12,"Laborer, Landscape",408.687-014,"16265 E 33RD DRIVE,",STE. 10,AURORA,GREENWAYS LANDSCAPE SERVICES LLC,80011,CO,2012,"LABORER, LANDSCAPE",,35,35,1/5/12,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,CENTENNIAL,ANN ALLOTT / ALLOTT IMMIGRATION LAW FIRM,CO,CO,,9.61,HR,C-12006-56985,PARTIAL CERTIFIED,4/1/12,9/30/12,1/11/12,"Laborer, Landscape",408.687-014,9742 TITAN PARK CIRCLE,,LITTLETON,TERRACARE ASSOCIATES LLC,80125,CO,2012,"LABORER, LANDSCAPE",,94,100,1/6/12,9.61,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,LOVINGSTON,"ELIZABETH D. WHITLEY / MASLABOR H2B, LLC",VA,CO,,11.08,HR,C-12006-56997,CERTIFIED,4/2/12,12/16/12,1/12/12,"Inspector-Repairer, Sandstone",779.684-030,2493 CR 37E,,LYONS,"BB STONEWORKS, INC DBA LYONS SANDSTONE",80540,CO,2012,"INSPECTOR REPAIRER, SANDSTONE",,22,22,1/6/12,11.08,HR,,519022,"Grinding and Polishing Workers, Hand",H-2B
,VAIL,AMY JILL NOVAK/NOVAK LAW OFFICE,CO,CO,,11.39,HR,C-12009-57104,CERTIFIED,4/1/12,11/1/12,1/13/12,"Laborer, Landscape",408.687-014,1040 CHAMBERS AVENUE,SUITE 2,EAGLE,CERES DESIGN AND ABORSCAPE DBA LAND DESIGNS BY ELL,81631,CO,2012,"LABORER, LANDSCAPE",,30,30,1/9/12,11.39,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,LOVINGSTON,"ELIZABETH D. WHITLEY/MASLABOR H2B, LLC",VA,CO,,10.85,HR,C-12010-57141,CERTIFIED,4/2/12,12/20/12,1/17/12,"Bricklayer Helper, Firebrick and Refractory Tile",861.687-010,0100 YACHT CLUB DRIVE,PO BOX 821,VAIL,THE GALLEGOS CORPORATION - COLORADO,81658,CO,2012,"BRICKLAYER HELPER, FIREBRICK AND REFRACTORY TILE",,35,35,1/10/12,10.85,HR,,473011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",H-2B
,LOVINGSTON,"ELIZABETH D. WHITLEY/MASLABOR H2B, LLC",VA,CO,,9.61,HR,C-12010-57142,PARTIAL CERTIFIED,4/2/12,11/30/12,1/17/12,"Laborer, Landscape",408.687-014,605 ULYSSES STREET,"PO BOX 17150, GOLDEN, CO 80402",GOLDEN,"ARROWHEAD LANDSCAPE SERVICES, INC.",80401,CO,2012,"LABORER, LANDSCAPE",,44,45,1/10/12,9.61,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,WINDSOR,SUE ANN BOWEN,CO,CO,,12.39,HR,C-11357-56569,PARTIAL CERTIFIED,4/1/12,12/20/12,1/18/12,Rock Splitter,771.684-010,2337 EMERY STREET,,LONGMONT,"T-BONE STONE, INC.",80501,CO,2012,ROCK SPLITTER,,13,25,12/23/11,12.39,HR,,519031,"Cutters and Trimmers, Hand",H-2B
,BAY CITY,BRANDI COWAN/FEDERATION OF EMPLOYERS AND WORKERS O,TX,CO,,11.39,HR,C-12011-57179,PARTIAL CERTIFIED,4/1/12,10/31/12,1/18/12,"Laborer, Landscape",408.687-014,105 EATON LANE,P.O. BOX 3785,EAGLE,WHITTAKER LANDSCAPE SERVICES,81631,CO,2012,"LABORER, LANDSCAPE",,14,15,1/11/12,11.39,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,,,,CO,,9.61,HR,C-11361-56602,CERTIFIED,4/1/12,12/1/12,1/19/12,"Groundskeeper, Industrial-Commercial",406.684-014,42600 SUMMIT VIEW CT.,,PARKER,"HUGHES LANDSCAPING, INC.",80138,CO,2012,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",,16,16,12/27/11,9.61,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,KANSAS CITY,ROGER L. HIATT/STINSON MORRISON HECKER LLP,MO,CO,,9.33,HR,C-11364-56780,CERTIFIED,4/1/12,11/15/12,1/20/12,Recreation Leader,195.227-014,8263 FLINT,,LENEXA,CHALLENGER SPORTS CORP. DBA SOCCER PLAYER TRAINING,66214,KS,2012,RECREATION LEADER,,15,15,12/30/11,9.33,HR,,399032,Recreation Workers,H-2B
,BAY CITY,BRANDI COWAN/FEDERATION OF EMPLOYERS AND WORKERS O,TX,CO,,11.39,HR,C-12017-57315,CERTIFIED,4/1/12,10/31/12,1/23/12,"Laborer, Landscape",408.687-014,36707 HWY 6 & 24,P.O. BOX 481,EDWARDS,COUNTRY CLUB OF THE ROCKIES,81632,CO,2012,"LABORER, LANDSCAPE",,20,20,1/17/12,11.39,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,BAY CITY,RITA ROMERO/FEDERATION OF EMPLOYERS AND WORKERS OF,TX,CO,,9.5,HR,C-12017-57340,PARTIAL CERTIFIED,3/1/12,11/1/12,1/23/12,Landscape Gardener,408.161-010,270 INTERLOCKEN BLVD.,,BROOMFIELD,"VARGAS PROPERTY SERVICE, INC.",80021,CO,2012,LANDSCAPE GARDENER,,49,50,1/17/12,9.5,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,AURORA,"JOEL VICTOR ANDERSON/ ANDERSON & ASSOCIATES, P.C.",CO,CO,,9.15,HR,C-11364-56782,CERTIFIED,3/15/12,11/30/12,1/24/12,"Laborer, Landscape",408.687-014,5160 WEST MAPLEWOOD AVENUE,,LITTLETON,"PARKSIDE LANDSCAPING, INC.",80123,CO,2012,"LABORER, LANDSCAPE",,27,27,12/30/11,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,IRVING,"GRACE S. KAN/KAN LAW, PC",TX,CO,,12.77,HR,C-11364-56784,PARTIAL CERTIFIED,4/1/12,11/30/12,1/24/12,"Laborer, Landscape",408.687-014,1201 ARIES DRIVE,,LINCOLN,"LANDSCAPES MANAGEMENT COMPANY, LLC",68512,NE,2012,"LABORER, LANDSCAPE",,12,15,12/30/11,12.77,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,PITTSFIELD,MICHAEL DAVID HEFNER/RESOURCE STAFFING INTERNATION,VT,CO,,9.61,HR,C-11364-56790,PARTIAL CERTIFIED,4/1/12,11/30/12,1/24/12,"Laborer, Landscape",408.687-014,2929 N. PROSPECT STREET,SUITE 105,COLORADO SPRINGS,"FREDELL ENTERPRISES, INC.",80907,CO,2012,"LABORER, LANDSCAPE",,22,30,12/30/11,9.61,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,BAY CITY,APRIL MCKINNEY / FEDERATION OF EMPLOYERS AND WORKE,TX,CO,,9.61,HR,C-12018-57432,PARTIAL CERTIFIED,4/1/12,10/31/12,1/24/12,"Laborer, Landscape",408.687-014,2200 RIFLE ST.,,AURORA,METCO LANDSCAPE,80011,CO,2012,"LABORER, LANDSCAPE",,49,50,1/18/12,9.61,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,BAY CITY,BRANDI COWAN / FEDERATION OF EMPLOYERS AND WORKERS,TX,CO,,9.15,HR,C-12018-57419,PARTIAL CERTIFIED,4/1/12,11/17/12,1/25/12,"Laborer, Landscape",408.687-014,3431 E. 86TH AVENUE,,THORNTON,URBAN FARMER,80229,CO,2012,"LABORER, LANDSCAPE",,142,150,1/18/12,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,CENTENNIAL,ANN ALLOTT / ALLOTT IMMIGRATION LAW FIRM,CO,CO,,9.5,HR,C-12004-56881,PARTIAL CERTIFIED,4/1/12,11/30/12,1/27/12,"Laborer, Landscape",408.687-014,1250 S. CHAMBERS ROAD,,AURORA,"JBK LANDSCAPE, LLC",80017,CO,2012,"LABORER, LANDSCAPE",,42,45,1/4/12,9.5,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,SAN DIEGO,"SHAWN F. FRIESTAD/ FRIESTAD LAW FIRM, APC",CA,CO,,,,C-12005-56920,PARTIAL CERTIFIED,4/1/12,12/31/12,1/27/12,Animal Caretaker,410.674-010,3030 WALNUT STREET,,DENVER,"SPRUNG CONSTRUCTION, INC.",80205,CO,2012,ANIMAL CARETAKER,,2,3,1/5/12,,,,392021,Nonfarm Animal Caretakers,H-2B
,VAIL,AMY JILL NOVAK,CO,CO,,11.39,HR,C-12009-57107,CERTIFIED,4/1/12,11/30/12,1/30/12,"Laborer, Landscape",408.687-014,P.O. BOX 2049,,EAGLE,MOUNTAIN TOP VENTURES DBA SHC NURSERY & LANDSCAPE,81631,CO,2012,"LABORER, LANDSCAPE",,30,30,1/9/12,11.39,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,BAY CITY,BRANDI COWAN / FEDERATION OF EMPLOYERS AND WORKERS,TX,CO,,9.15,HR,C-12024-57613,CERTIFIED,3/1/12,11/30/12,1/30/12,"Laborer, Landscape",408.687-014,PO BOX 5146,,DENVER,CUT RATE LAWN SERVICE LLC,80216,CO,2012,"LABORER, LANDSCAPE",,20,20,1/24/12,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,ENGLEWOOD,"TODD R. IRWIN / THE IRWIN LAW FIRM, LLC",CO,CO,,9.15,HR,C-12024-57630,PARTIAL CERTIFIED,4/1/12,11/30/12,1/30/12,"Laborer, Landscape",408.687-014,15440 E. FREMONT DR.,,CENTENNIAL,"COLORADO DESIGNSCAPES, INC. DBA LANDSCAPE MAINTENA",80112,CO,2012,"LABORER, LANDSCAPE",,79,82,1/24/12,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,WINDSOR,SUE ANN BOWEN,CO,CO,,9.5,HR,C-11355-56455,CERTIFIED,4/1/12,10/15/12,2/2/12,"Laborer, Landscape",408.687-014,"3160 S. ZUNI STREET, SUITE 201",,ENGLEWOOD,"WESTERN PROSCAPES, INC.",80110,CO,2012,"LABORER, LANDSCAPE",,35,35,12/21/11,9.5,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,BAY CITY,APRIL MCKINNEY/ FEDERATION OF EMPLOYERS AND WORKER,TX,CO,,9.61,HR,C-12030-57796,CERTIFIED,4/2/12,10/31/12,2/3/12,"Laborer, Landscape",408.687-014,1925 AEROPLAZA DRIVE,,COLORADO SPRINGS,ALL AMERICAN MAINTENANCE INC,80916,CO,2012,"LABORER, LANDSCAPE",,15,15,1/30/12,9.61,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,RIO HONDO,"JAMES KENDRICK JUDKINS/ JKJ WORKFORCE AGENCY, INC.",TX,CO,,305.2,WK,C-12030-57795,CERTIFIED,3/1/12,12/15/12,2/6/12,Amusement Park Worker,349.664-010,P.O. BOX 1000,,ELBERT,RING & RING DBA WRIGHT'S AMUSEMENTS CO.,80106,CO,2012,AMUSEMENT PARK WORKER,,50,50,1/30/12,305.2,WK,,393091,Amusement and Recreation Attendants,H-2B
,,,,CO,,12.67,HR,C-12009-57100,DENIED,3/1/12,12/31/12,2/7/12,Construction Worker I,869.664-014,3 WIDEFIELD BLVD,,COLORADO SPRINGS,NEW GENERATION HOMES INC,80911,CO,2012,CONSTRUCTION WORKER I,,0,1,1/9/12,12.67,HR,,473012,Helpers--Carpenters,H-2B
,,,,CO,,9.15,HR,C-12017-57314,CERTIFIED,4/1/12,10/31/12,2/7/12,"Laborer, Landscape",408.687-014,12570 E. 39TH AVE,,DENVER,"COCAL LANDSCAPE SERVICES, INC.",80239,CO,2012,"LABORER, LANDSCAPE",,100,100,1/17/12,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,,,,CO,,8.75,HR,C-12018-57440,PARTIAL CERTIFIED,3/12/12,11/9/12,2/7/12,Housekeeper,321.137-010,1450 BIG THOMPSON AVE,,ESTES PARK,CARIBOU CHALET INC,80517,CO,2012,HOUSEKEEPER,,13,14,1/18/12,8.75,HR,,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,H-2B
,VAIL,AMY JILL NOVAK/ THE NOVAK LAW OFFICE,CO,CO,,11.39,HR,C-12032-57890,CERTIFIED,4/1/12,11/30/12,2/7/12,"Laborer, Landscape",408.687-014,P.O. BOX 2160,756 EBY CREEK ROAD,EAGLE,"PETALE, INC",81631,CO,2012,"LABORER, LANDSCAPE",,10,10,2/1/12,11.39,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,AVON,"CHRISTOPHER JONATHAN POOLEY, ESQ./LAW OFFICE OF CH",CO,CO,,14.53,HR,C-12019-57488,CERTIFIED,4/1/12,11/30/12,2/8/12,"Laborer, Landscape",408.687-014,3288A COOLEY MESA ROAD,,GYPSUM,"LANDSCAPE TECHNOLOGY GROUP, INC",81637,CO,2012,"LABORER, LANDSCAPE",,15,15,1/19/12,14.53,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,BAY CITY,RITA ROMERO/ FEDERATION OF EMPLOYERS AND WORKERS O,TX,CO,,9.15,HR,C-12033-57900,PARTIAL CERTIFIED,3/15/12,10/15/12,2/8/12,"Laborer, Landscape",408.687-014,13195 N HIGHLAND CIRCLE,,LITTLETON,"JIM'S PRIDE LANDSCAPING & MAINTENANCE INC DBA JPL,",80125,CO,2012,"LABORER, LANDSCAPE",,18,20,2/2/12,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,,,,CO,,9.15,HR,C-12020-57523,PARTIAL CERTIFIED,4/1/12,10/31/12,2/9/12,"Laborer, Landscape",408.687-014,648 W. SYLVESTOR TRAIL,,HIGHLANDS RANCH,GLOBAL LANDSCAPE INC.,80129,CO,2012,"LABORER, LANDSCAPE",,9,10,1/20/12,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,BAY CITY,BRANDI COWAN / FEDERATION OF EMPLOYERS AND WORKERS,TX,CO,,9.15,HR,C-12025-57655,CERTIFIED,4/1/12,10/31/12,2/14/12,"Laborer, Landscape",408.687-014,4900 HIMALAYA RD,,DENVER,GREEN VALLEY RANCH GOLF CLUB,80249,CO,2012,"LABORER, LANDSCAPE",,15,15,1/25/12,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,,,,CO,,9.87,HR,C-12025-57648,PARTIAL CERTIFIED,4/1/12,12/15/12,2/15/12,Construction Worker I,869.664-014,2458 INDUSTRIAL BLVD,SUITE 1,GRAND JUNCTION,"ADCOCK CONCRETE, INC.",81505,CO,2012,CONSTRUCTION WORKER I,,15,22,1/25/12,9.87,HR,,473012,Helpers--Carpenters,H-2B
,AURORA,"JEFF JOSEPH/JOSEPH LAW FIRM, P.C",CO,CO,,17.75,HR,C-12027-57770,CERTIFIED,4/1/12,9/30/12,2/16/12,"Guide, Travel",353.167-010,3299 LOWELL BLVD #303,,DENVER,"AMBER WAVES ADVENTURES, LLC DBA AMERICAN ADVENTURE",80211,CO,2012,"GUIDE, TRAVEL",,3,3,1/27/12,17.75,HR,,396022,Travel Guides,H-2B
,LOVINGSTON,"ELIZABETH D. WHITLEY/MASLABOR H2B, LLC",VA,CO,,9.15,HR,C-12044-58150,PARTIAL CERTIFIED,4/2/12,11/30/12,2/16/12,"Laborer, Landscape",408.687-014,4510 S. FEDERAL,PO BOX 732,ENGLEWOOD,"SUMMIT SERVICES, INC.",80110,CO,2012,"LABORER, LANDSCAPE",,23,25,2/13/12,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,LOUISVILLE,CATHERINE O BROWN / LAW OFFICE OF CATHERINCE BROWN,CO,CO,,11.49,HR,C-12030-57839,CERTIFIED,4/1/12,12/1/12,2/17/12,Roofer,866.381-010,7195 TEMPLETON GAP RD,,COLORADO SPRINGS,AVALANCHE CONSTRUCTION LLC DBA AVALANCHE ROOFING A,80923,CO,2012,ROOFER,,4,4,1/30/12,11.49,HR,,472181,Roofers,H-2B
,AVON,"CHRISTOPHER JONATHAN POOLEY, ESQ./LAW OFFICE OF CH",CO,CO,,14.53,HR,C-12046-58244,CERTIFIED,11/15/11,4/30/12,2/17/12,"Laborer, Landscape",408.687-014,140 G.H. DANIELS BOULEVARD,,GYPSUM,HANDY ANDY SNOW REMOVAL,81637,CO,2012,"LABORER, LANDSCAPE",,9,9,2/14/12,14.53,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,DENVER,JON BOWER ALBY/ LEPRINO FOODS COMPANY,CO,CO,,14.67,HR,C-12024-57620,CERTIFIED,4/1/12,12/15/12,2/21/12,"Laborer, Landscape",408.687-014,1830 WEST 38TH AVENUE,,DENVER,JAMES G. LEPRINO,80211,CO,2012,"LABORER, LANDSCAPE",,4,4,1/24/12,14.67,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,ENGLEWOOD,"TODD IRWIN/ THE IRWIN LAW FIRM, LLC",CO,CO,,9.5,HR,C-12033-57918,PARTIAL CERTIFIED,4/1/12,11/11/12,2/21/12,"Laborer, Landscape",408.687-014,8776 N. 107TH ST.,,LONGMONT,"GREEN SPOT, INC.",80504,CO,2012,"LABORER, LANDSCAPE",,22,25,2/2/12,9.5,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,WINDSOR,"SUE ANN BOWEN / LABOR SOLUTIONS, INC.",CO,CO,,9.15,HR,C-12046-58246,CERTIFIED,5/1/12,11/30/12,2/21/12,"Laborer, Landscape",408.687-014,16080 SMITH ROAD,,AURORA,"ALL PHASE LANDSCAPE CONSTRUCTION_, INC.",80011,CO,2012,"LABORER, LANDSCAPE",,15,15,2/15/12,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,BALD KNOB,DAVID NORMAN DONALDSON / USAMEX LTD CO.,AR,CO,,11.07,HR,C-12026-57716,DENIED,3/10/12,11/30/12,2/22/12,"Laborer, Construction or Leak Gang",862.684-014,135 COUNTRY CENTER DR. #B-5,,PAGOSA SPRINGS,MASTERCRAFT CONCRETE CONTRACTING LLC,81147,CO,2012,"LABORER, CONSTRUCTION OR LEAK GANG",,0,5,1/26/12,11.07,HR,,519198,Helpers--Production Workers,H-2B
,VAIL,AMY JILL NOVAK/ NOVAK LAW OFFICE,CO,CO,,10.31,HR,C-12046-58257,CERTIFIED,5/1/12,11/30/12,2/22/12,Cook,313.361-014,1300 WESTHAVEN DRIVE,,VAIL,"L-O VAIL HOTEL, INC. DBA VAIL CASCADE RESORT & SPA",81657,CO,2012,COOK,,15,15,2/15/12,10.31,HR,,352014,"Cooks, Restaurant",H-2B
,LOVINGSTON,ELIZABETH D. WHITLEY/MAS LABOR H2A. LLC,VA,CO,,9.15,HR,C-12047-58262,CERTIFIED,4/2/12,11/15/12,2/23/12,"Laborer, Landscape",408.687-014,PO BOX 452,,FRANKTOWN,"ADVANCED LANDSCAPE & DESIGN, INC.",80116,CO,2012,"LABORER, LANDSCAPE",,15,15,2/16/12,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,CENTENNIAL,ALLOTT IMMIGRATION LAW FIRM C/O ANN ALLOTT,CO,CO,,,,C-12017-57343,PARTIAL CERTIFIED,4/1/12,12/31/12,2/24/12,Roofer,866.381-010,6270 EAST 50TH AVENUE,,COMMERCE CITY,"D & D ROOFING, INC.",80022,CO,2012,ROOFER,,9,50,1/17/12,,,,472181,Roofers,H-2B
,COEUR D'ALENE,NICOLE NEWTON / LABOR CONSULTANTS INTERNATIONAL,ID,CO,,11.01,HR,C-12052-58333,PARTIAL CERTIFIED,5/1/12,10/22/12,2/27/12,"Laborer, Landscape",408.687-014,"315 ADAMS RANCH ROAD, SUITE 2-2A",,TELLURIDE,TELLURIDE LAND WORKS,81435,CO,2012,"LABORER, LANDSCAPE",,31,36,2/21/12,11.01,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,COEUR D'ALENE,NICOLE NEWTON/ LABOR CONSLULTANTS INTERNATIONAL,ID,CO,,9.83,HR,C-12054-58392,PARTIAL CERTIFIED,5/28/12,3/25/13,2/29/12,Baker,313.381-010,127 S. FIR,,TELLURIDE,BAKED IN TELLURIDE,81435,CO,2012,BAKER,,12,14,2/23/12,9.83,HR,,513011,Bakers,H-2B
,BAY CITY,RITA ROMERO/FEDERATION OF EMPLOYERS AND WORKERS OF,TX,CO,,9.15,HR,C-12054-58393,PARTIAL CERTIFIED,3/1/12,11/30/12,2/29/12,"Laborer, Landscape",408.687-014,5650 WARD RD,,ARVADA,SABELL'S ENTERPRISES LLP,80002,CO,2012,"LABORER, LANDSCAPE",,12,15,2/23/12,9.15,HR,,373011,Landscaping and Groundskeeping Workers,H-2B
,,,,CO,,12.67,HR,C-12058-58472,CERTIFIED,3/1/12,12/31/12,2/29/12,Construction Worker I,869.664-014,3 WIDEFIELD BLVD,,COLORADO SPRINGS,NEW GENERATION HOMES INC,80911,CO,2012,CONSTRUCTION WORKER I,,1,1,2/23/12,12.67,HR,,473012,Helpers--Carpenters,H-2B
,DENVER,JOCELYN C CAMPANARO/ OLGEREE DEAKINS,CO,CO,,9.46,HR,C-12058-58450,CERTIFIED,3/15/12,11/30/12,3/5/12,Cook,313.361-014,29555 GOOSE CREEK RD,,SEDALIA,LOST VALLEY RANCH,80135,CO,2012,COOK,,2,2,2/27/12,9.46,HR,,352014,"Cooks, Restaurant",H-2B
