,CASE_NO,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,REQUESTED_START_DATE_OF_NEED,REQUESTED_END_DATE_OF_NEED,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE_ID,SOC_TITLE,NBR_WORKERS_CERTIFIED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,WORKSITE_LOCATION_CITY,WORKSITE_LOCATION_STATE,ORGANIZATION_FLAG
2415,H-300-14010-961690,2014-03-11 12:45:17,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-11-01 00:00:00,2014-03-01 00:00:00,2014-11-01 00:00:00,Hansen Seed Potatoes,8300 Hwy 41,,Dillon,MT,59725,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,General Farm/Irrigation Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",5.0,48.0,10.69,Hour,Dillon,MT,Individual Employer
2416,H-300-14010-967345,2014-01-23 11:12:37,H-2A,2014-01-14 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-10 00:00:00,2014-11-15 00:00:00,2014-03-10 00:00:00,2014-11-15 00:00:00,"April Morning Planting Company, Inc.",596 Hwy 138 E,,Tillar,AR,71670,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",8.0,40.0,9.87,Hour,Tillar,AR,Individual Employer
2417,H-300-14010-972445,2014-02-12 11:54:02,H-2A,2014-01-10 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-12-31 00:00:00,2014-03-01 00:00:00,2014-12-31 00:00:00,Blue Hill Ranch GP,8585 62nd Ave. SW,,Carson,ND,58529,"WFDS, LLC",JULIE SCOTT,FERGUS FALLS,MN,Farm Worker,45-2091,Agricultural Equipment Operators,2.0,48.0,18.0,Hour,Carson,ND,Individual Employer
2418,H-300-14010-996660,2014-02-11 12:12:39,H-2A,2014-01-10 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-15 00:00:00,2014-12-12 00:00:00,2014-03-15 00:00:00,2014-12-12 00:00:00,DAVID BRUMFIELD FARMS,400 COILTOWN RD,,NEBO,KY,42441,"KY. FARMERS AID, INC",MELISSA GREEN,MURRAY,KY,FARM WORKER/LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4.0,40.0,10.1,Hour,NEBO,KY,Individual Employer
2419,H-300-14011-034949,2014-02-24 08:41:14,H-2A,2014-01-11 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-15 00:00:00,2015-01-14 00:00:00,2014-01-15 00:00:00,2015-01-14 00:00:00,Matt Weber Ranch,PO Box 321,"55 Mesa Drive, Weber Mesa 1st Subivision Lot",Baggs,WY,82321,HIGH COUNTRY AGRICULTURAL SERVICES,KANDANCE KROPINAK,CRAIG,CO,sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2.0,45.0,750.0,Month,Baggs,WY,Individual Employer
2420,H-300-14011-199207,2014-03-04 14:17:27,H-2A,2014-01-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-15 00:00:00,2015-01-01 00:00:00,2014-03-15 00:00:00,2015-01-01 00:00:00,Jerome Raabe Jr.,182 CR 1680C,,Moulton,TX,77975,"HEAD HONCHOS, LLC",TODD MILLER,SAN ANTONIO,TX,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,3.0,40.0,10.86,Hour,Moulton,TX,Individual Employer
2421,H-300-14011-298388,2014-02-13 10:44:58,H-2A,2014-01-12 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-15 00:00:00,2015-03-14 00:00:00,2014-03-15 00:00:00,2015-03-14 00:00:00,MORIAH RANCH,6002 Jackson County Road 24,,Walden,CO,80480,HIGH COUNTRY AGRICULTURAL SERVICES,KANDANCE KROPINAK,CRAIG,CO,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2.0,45.0,750.0,Month,Walden,CO,Individual Employer
2422,H-300-14011-746928,2014-02-07 12:42:18,H-2A,2014-01-14 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-04 00:00:00,2014-12-15 00:00:00,2014-03-04 00:00:00,2014-12-15 00:00:00,Salzman Farms,11581 Hwy 191,"mailing: P.O. Box 1269 , Elfrida AZ  85610",Elfrida,AZ,85610,"MAS Labor H-2A, LLC",Elizabeth Whitley,Lovingston,VA,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,3.0,35.0,9.97,Hour,Elfrida,AZ,Individual Employer
2423,H-300-14012-228451,2014-01-31 14:09:46,H-2A,2014-01-14 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-11-25 00:00:00,2014-03-01 00:00:00,2014-11-25 00:00:00,"Meadowspring Turf Farm, LLC",17820 The Glebe Ln.,"mailing: 17820 The Glebe Ln., Charles City, VA  23030",Charles City,VA,23030,"MAS Labor H-2A, LLC",Elizabeth Whitley,Lovingston,VA,Sod Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4.0,40.0,9.87,Hour,Charles City,VA,Individual Employer
2424,H-300-14012-231755,2014-01-31 14:02:04,H-2A,2014-01-14 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-11-20 00:00:00,2014-03-01 00:00:00,2014-11-20 00:00:00,"Diversified Seed Genetics, LLC",19681   376th Ave.,"mailing: 19681   376th Ave., Wessington, SD  57381",Wessington,SD,57381,"MAS Labor H-2A, LLC",Elizabeth Whitley,Lovingston,VA,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,3.0,40.0,13.41,Hour,Wessington,SD,Individual Employer
2425,H-300-14012-262261,2014-03-04 09:45:35,H-2A,2014-01-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-03-10 00:00:00,2014-05-15 00:00:00,2014-03-10 00:00:00,2014-05-15 00:00:00,Rodrigo Gutierrez-Tapia,4512 Mason Dixon Ave.,,Bowling Green,FL,33834,ANDREW JACKSON LAW,ANDREW JACKSON,CLINTON,NC,Blueberry Hand-Harvesters,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",360.0,35.0,10.26,Hour,Haines City,FL,H-2A Labor Contractor or Job Contractor
2426,H-300-14012-330085,2014-02-03 16:14:18,H-2A,2014-01-14 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-12-15 00:00:00,2014-03-01 00:00:00,2014-12-15 00:00:00,"Stadler Garden Center, Inc.",5504 Mount Zion Rd.,"mailing: 5504 Mount Zion Rd., Frederick, MD 21703",Frederick,MD,21703,"MAS Labor H-2A, LLC",Elizabeth Whitley,Lovingston,VA,Nursery Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",12.0,40.0,11.06,Hour,Frederick,MD,Individual Employer
2427,H-300-14012-389131,2014-01-30 11:51:56,H-2A,2014-01-14 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-11-30 00:00:00,2014-03-01 00:00:00,2014-11-30 00:00:00,Lake Forest Gardens,737 Chapel Dr.,"mailing: 737 Chapel Dr., Fombell, PA 16123",Fombell,PA,16123,"MAS Labor H-2A, LLC",Elizabeth Whitley,Lovingston,VA,Nursery Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",9.0,40.0,11.06,Hour,Fombell,PA,Individual Employer
2428,H-300-14012-406259,2014-02-18 14:07:48,H-2A,2014-01-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-03-10 00:00:00,2014-05-15 00:00:00,2014-03-10 00:00:00,2014-05-15 00:00:00,Rodrigo Gutierrez-Tapia,4512 Mason Dixon Ave.,,Bowling Green,FL,33834,ANDREW JACKSON LAW,ANDREW JACKSON,CLINTON,NC,Blueberry Hand-Harvesters,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",99.0,35.0,10.26,Hour,Wauchula,FL,H-2A Labor Contractor or Job Contractor
2429,H-300-14012-474033,2014-03-05 14:31:50,H-2A,2014-01-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-03-10 00:00:00,2014-05-15 00:00:00,2014-03-10 00:00:00,2014-05-15 00:00:00,Rodrigo Gutierrez-Tapia,4512 Mason Dixon Ave.,,Bowling Green,FL,33834,ANDREW JACKSON LAW,ANDREW JACKSON,CLINTON,NC,Blueberry Hand-Harvesters,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",351.0,35.0,10.26,Hour,Groveland,FL,H-2A Labor Contractor or Job Contractor
2430,H-300-14012-659295,2014-02-21 13:56:00,H-2A,2014-01-12 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-25 00:00:00,2014-12-01 00:00:00,2014-03-25 00:00:00,2014-12-01 00:00:00,E & E HARVESTING,215 E. Kansas Ave.,,Lenora,KS,67645,COC PLACEMENT SERVICE LLC,GAROLD DUNGY,GOWER,MO,Farmworker Grain,45-2091,Agricultural Equipment Operators,5.0,48.0,10.86,Hour,Lenora,KS,H-2A Labor Contractor or Job Contractor
2431,H-300-14012-662250,2014-01-28 11:59:45,H-2A,2014-01-14 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-10-31 00:00:00,2014-03-01 00:00:00,2014-10-31 00:00:00,"Cox Farms, Inc.",7484 W. C.R. 750 N.,"mailing: 7484 W. C.R. 750 N., Gaston, IN 47342",Gaston,IN,47342,"MAS Labor H-2A, LLC",Elizabeth Whitley,Lovingston,VA,Nursery Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",12.0,40.0,11.63,Hour,Gaston,IN,Individual Employer
2432,H-300-14013-008023,2014-02-10 13:20:13,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-03-12 00:00:00,2014-07-20 00:00:00,2014-03-12 00:00:00,2014-07-20 00:00:00,JOHNDALES FARM,22061 ROBERTSON LANE,,PONCHATOULA,LA,70454,,,,,"Farmworker, Fruit",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",6.0,35.0,9.87,Hour,Ponchatoula,LA,Individual Employer
2433,H-300-14013-014125,2014-02-11 09:08:09,H-2A,2014-01-14 00:00:00,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2014-03-01 00:00:00,2014-12-31 00:00:00,2014-03-01 00:00:00,2014-12-31 00:00:00,"Hamilton Growers, Inc.",2775 Ellenton-Norman Park Rd,,Norman Park,GA,31771,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",29.0,40.0,10.0,Hour,Norman Park,GA,Individual Employer
2434,H-300-14013-040643,2014-01-30 15:34:02,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-02-27 00:00:00,2014-06-30 00:00:00,2014-02-27 00:00:00,2014-06-30 00:00:00,"Gulf Harvesting, Inc","P.O. Box 3175 - Immokalee, FL 34143 Mailing Address",7050 CPI Rd    Physical Address,Felda,FL,33930,"H2A Complete II, Inc",Terri Forrester,Southaven,MS,Citrus Hand Harvester,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",65.0,35.0,10.26,Hour,Felda,FL,H-2A Labor Contractor or Job Contractor
2435,H-300-14013-045697,2014-02-07 13:21:26,H-2A,2014-01-15 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-15 00:00:00,2014-12-15 00:00:00,2014-03-15 00:00:00,2014-12-15 00:00:00,"Thomas Bros. Grass, LLC",3999 Old Hickory Blvd.,,Nashville,TN,37218,"HEAD HONCHOS, LLC",TODD MILLER,SAN ANTONIO,TX,"Farmworker, Laborer, Crop",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",15.0,40.0,10.1,Hour,Nashville,TN,Individual Employer
2436,H-300-14013-050019,2014-02-03 09:22:15,H-2A,2014-01-14 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-12-31 00:00:00,2014-03-01 00:00:00,2014-12-31 00:00:00,HANDY FARMS,222 R Y TRAIL,,FLAXVILLE,MT,59222,"WFDS, LLC",JULIE SCOTT,FERGUS FALLS,MN,Farm Worker,45-2091,Agricultural Equipment Operators,2.0,48.0,14.0,Hour,Flaxville,MT,Individual Employer
2437,H-300-14013-051160,2014-02-03 09:43:16,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-12-20 00:00:00,2014-03-01 00:00:00,2014-12-20 00:00:00,STILLMAN'S AT THE TURKEY FARM,561 Thresher rd,P.O. Box 373,hardwick,MA,01037,New England Apple Council,JOSEPH YOUNG,GOFFSTOWN,NH,"Farm Workers and Laborers, Crop",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",1.0,40.0,11.22,Hour,hardwick,MA,Association - Filing as Agent (H-2A Only)
2438,H-300-14013-054130,2014-02-03 09:32:53,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-11-28 00:00:00,2014-03-01 00:00:00,2014-11-28 00:00:00,Honey Pot Orchards,138 Sudbury rd,,stow,MA,01775,New England Apple Council Inc,JOSEPH YOUNG,GOFFSTOWN,NH,farmworker and laborer crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4.0,40.0,11.22,Hour,stow,MA,Association - Filing as Agent (H-2A Only)
2439,H-300-14013-060490,2014-02-21 13:25:01,H-2A,2014-01-16 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-07 00:00:00,2014-12-04 00:00:00,2014-03-07 00:00:00,2014-12-04 00:00:00,"JOHN HUDSON FARMS, INC.",553 ROSIN HILL RD.,,NEWTON GROVE,NC,28366,ANDREW JACKSON LAW,ANDREW JACKSON,CLINTON,NC,"Farmworker, Diversified Crop",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",52.0,35.0,9.87,Hour,Newton Grove,NC,Individual Employer
2440,H-300-14013-086935,2014-01-30 11:55:54,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-03-03 00:00:00,2014-07-13 00:00:00,2014-03-03 00:00:00,2014-07-13 00:00:00,"ANGELICA NURSERIES, INC.",11129 LOCUST GROVE ROAD,,KENNEDYVILLE,MD,21645,,,,,Horticultural Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",85.0,40.0,11.16,Hour,Kennedyville,MD,Individual Employer
2441,H-300-14013-117500,2014-02-14 08:41:00,H-2A,2014-01-14 00:00:00,DETERMINATION ISSUED - DENIED,2014-03-02 00:00:00,2014-12-15 00:00:00,2014-03-02 00:00:00,2014-12-15 00:00:00,Clark Organic Farm,185 Concord Street,,Carlisle,MA,01741,"WFDS, LLC",JULIE SCOTT,FERGUS FALLS,MN,Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",0.0,48.0,11.22,Hour,Carlisle,MA,Individual Employer
2442,H-300-14013-139122,2014-02-19 15:14:58,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-10 00:00:00,2014-11-30 00:00:00,2014-03-10 00:00:00,2014-11-30 00:00:00,Melin Grain Farms,10115 59th Ae NW,,Kenmare,ND,58746,"Placement Services Global, LLC",Kellie Sutton,Gower,MO,Farm Worker General,45-2091,Agricultural Equipment Operators,2.0,48.0,18.0,Hour,Kenmare,ND,Individual Employer
2443,H-300-14013-168589,2014-03-06 09:38:52,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-12-31 00:00:00,2014-03-01 00:00:00,2014-12-31 00:00:00,Bollweg Farms,20210 322nd Ave,,Harrold,SD,57536,USA FARM LABOR,MANUEL FICK,WAYNESVILLE,NC,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,3.0,48.0,13.41,Hour,Harrold,SD,Individual Employer
2444,H-300-14013-170154,2014-02-12 13:32:14,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-12-31 00:00:00,2014-03-01 00:00:00,2014-12-31 00:00:00,4-C AG,125  Morgan Rd,,Batesville,AR,72501,USA FARM LABOR,MANUEL FICK,WAYNESVILLE,NC,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,5.0,48.0,9.87,Hour,Cord,AR,Individual Employer
2445,H-300-14013-171780,2014-01-31 15:11:59,H-2A,2014-01-14 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-12-31 00:00:00,2014-03-01 00:00:00,2014-12-31 00:00:00,FISHER FARMS,85 HWY 13 SOUTH,,SCOBEY,MT,59263,"WFDS, LLC",JULIE SCOTT,FERGUS FALLS,MN,Farm Worker,45-2091,Agricultural Equipment Operators,2.0,48.0,14.0,Hour,Scobey,MT,Individual Employer
2446,H-300-14013-179539,2014-02-04 11:52:48,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2014-03-03 00:00:00,2014-12-31 00:00:00,2014-03-03 00:00:00,2014-12-31 00:00:00,DONALD K. ZIMBLEMAN,8538 97TH AVENUE SE,,FULLERTON,ND,58441,"EMPLOYMENT USA, LLC",KEVIN OPP,ABERDEEN,SD,Farmworker,45-2091,Agricultural Equipment Operators,2.0,40.0,18.0,Hour,FULLERTON,ND,Individual Employer
2447,H-300-14013-232323,2014-02-27 17:45:00,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-03-01 00:00:00,2014-10-01 00:00:00,2014-03-01 00:00:00,2014-10-01 00:00:00,"Jocko Valley Cattle, LLC.",5571 Alloy South,"32526 McLeod Rd, Arlee, MT 59821",Missoula,MT,59808,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,Farm/Livestock/Irrigation Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2.0,48.0,10.69,Hour,Arlee,MT,Individual Employer
2448,H-300-14013-235594,2014-02-10 13:15:04,H-2A,2014-01-16 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-08 00:00:00,2014-12-12 00:00:00,2014-03-08 00:00:00,2014-12-12 00:00:00,"TRI-STATE TURF, INC.",2700 Timothy Rd,,DUNN,NC,28334,ANDREW JACKSON LAW,ANDREW JACKSON,CLINTON,NC,Horticultural Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",12.0,35.0,9.87,Hour,Dunn,NC,Individual Employer
2449,H-300-14013-282057,2014-02-26 10:34:08,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-10 00:00:00,2014-12-01 00:00:00,2014-03-10 00:00:00,2014-12-01 00:00:00,Fred Murnion,5284 Hwy 59 N,,Cohagen,MT,59322,COC PLACEMENT SERVICE LLC,GAROLD DUNGY,GOWER,MO,Farmworker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2.0,48.0,12.5,Hour,Cohagen,MT,Individual Employer
2450,H-300-14013-282406,2014-02-26 16:16:12,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-03-15 00:00:00,2014-07-30 00:00:00,2014-03-15 00:00:00,2014-07-30 00:00:00,SERAFICO JAIMES,349 HARVEY TAFT ROAD,,PEARSON,GA,31642,MONICA SAAVEDRA,MONICA SAAVEDRA,DOUGLAS,GA,Vegetable and Hand Harvester Workers,45-2092.02,General Farmworkers,74.0,40.0,10.0,Hour,HOMERVILLE,GA,H-2A Labor Contractor or Job Contractor
2451,H-300-14013-284577,2014-02-26 10:30:12,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-12-31 00:00:00,2014-03-01 00:00:00,2014-12-31 00:00:00,Jake Schauer,305 East 4th St,Box 425,Faith,SD,57626,USA FARM LABOR,MANUEL FICK,WAYNESVILLE,NC,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,2.0,48.0,13.41,Hour,Faith,SD,Individual Employer
2452,H-300-14013-287821,2014-02-04 16:24:32,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-08 00:00:00,2014-12-15 00:00:00,2014-03-08 00:00:00,2014-12-15 00:00:00,DEREK TOSSETT,2641 81ST STREET NW,,LANSFORD,ND,58750,"EMPLOYMENT USA, LLC",KEVIN OPP,ABERDEEN,SD,EQUIPMENT OPERATOR,45-2091,Agricultural Equipment Operators,3.0,40.0,18.0,Hour,LANSFORD,ND,Individual Employer
2453,H-300-14013-306238,2014-02-28 08:48:25,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-12-15 00:00:00,2014-03-01 00:00:00,2014-12-15 00:00:00,LANNI ORCHARDS INC,294 Chase Rd,,Lunenburg,MA,01462,New England Apple Council Inc,JOSEPH YOUNG,GOFFSTOWN,NH,farmworker and laborer crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4.0,48.0,11.22,Hour,Lunenburg,MA,Association - Filing as Agent (H-2A Only)
2454,H-300-14013-323993,2014-01-30 09:51:15,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-11-01 00:00:00,2014-03-01 00:00:00,2014-11-01 00:00:00,"MachineryLink, Inc.",1600 Gennessee St. Suite 700,,Kansas City,MO,64102,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Custom Combiner Grain,45-2091,Agricultural Equipment Operators,12.0,48.0,9.87,Hour,Pratt,KS,H-2A Labor Contractor or Job Contractor
2455,H-300-14013-339825,2014-02-05 13:15:15,H-2A,2014-01-16 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-08 00:00:00,2014-12-12 00:00:00,2014-03-08 00:00:00,2014-12-12 00:00:00,"MANNING SOD, LLC",2700 Timothy Rd,,Dunn,NC,28366,ANDREW JACKSON LAW,ANDREW JACKSON,CLINTON,NC,Horticultural Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",5.0,35.0,10.0,Hour,Manning,SC,Individual Employer
2456,H-300-14013-344761,2014-02-24 16:11:01,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-10 00:00:00,2015-01-10 00:00:00,2014-03-10 00:00:00,2015-01-10 00:00:00,Denton E. & Mona B. Hadley PTRN,246 Hwy. 411,,Maringouin,LA,70757,,,,,FARM WORKERS,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",6.0,48.0,9.87,Hour,Maringouin,LA,Individual Employer
2457,H-300-14013-345994,2014-02-13 09:37:13,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-03-17 00:00:00,2014-07-04 00:00:00,2014-03-17 00:00:00,2014-07-04 00:00:00,"Chappell Farms, Inc.",166 Boiling Springs Rd,,Barnwell,SC,29812,,,,,"Farm Workers, Laborers",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",85.0,40.0,10.0,Hour,Barnwell,SC,Individual Employer
2458,H-300-14013-349621,2014-02-05 15:44:42,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-10 00:00:00,2014-12-31 00:00:00,2014-03-10 00:00:00,2014-12-31 00:00:00,GLINZ FARMS,3964 4TH AVE. NW,,JAMESTOWN,ND,58401,"WFDS, LLC",JULIE SCOTT,FERGUS FALLS,MN,Farm Worker,45-2091,Agricultural Equipment Operators,3.0,48.0,18.0,Hour,Pingree,ND,Individual Employer
2459,H-300-14013-353069,2014-01-31 14:58:11,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-12-31 00:00:00,2014-03-01 00:00:00,2014-12-31 00:00:00,Ahlemeier Farms Inc.,16001 311th Ave,,Gettysburg,SD,57442,USA FARM LABOR,MANUEL FICK,WAYNESVILLE,NC,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,3.0,48.0,13.41,Hour,Gettysburg,SD,Individual Employer
2460,H-300-14013-378946,2014-02-07 13:06:52,H-2A,2014-01-14 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-15 00:00:00,2014-11-15 00:00:00,2014-03-15 00:00:00,2014-11-15 00:00:00,"MOUNTAINSIDE FARM, LLC",15038 KELBAUGH ROAD,,THURMONT,MD,21788,,,,,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2.0,39.0,11.06,Hour,Thurmont,MD,Individual Employer
2461,H-300-14013-448478,2014-02-18 09:58:31,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-10-31 00:00:00,2014-03-01 00:00:00,2014-10-31 00:00:00,Cowan & Son,PO Box 1280,48 Second Ave.,Havre,MT,59501,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,Livestock/Ranch Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3.0,48.0,10.69,Hour,Chinook,MT,Individual Employer
2462,H-300-14013-454554,2014-02-13 09:35:40,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-15 00:00:00,2014-12-28 00:00:00,2014-03-15 00:00:00,2014-12-28 00:00:00,Tony Edwards Harvesting,17755 Pauling Run Rd,,Westmoreland,KS,66549,Placement Services Global,Kellie Sutton,Gower,MO,Harvester,45-2091,Agricultural Equipment Operators,1.0,48.0,13.41,Hour,Westmoreland,KS,Individual Employer
2463,H-300-14013-461542,2014-01-23 12:10:13,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-03 00:00:00,2014-12-15 00:00:00,2014-03-03 00:00:00,2014-12-15 00:00:00,W&S Turley Ltd. Partnership,P.O. Box 23,"8401 1760 Rd. Durham, OK. 73642",Reydon,OK,73660,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Farm Labor,45-2099,"Agricultural Workers, All Other",2.0,48.0,10.86,Hour,Durham,OK,Individual Employer
2464,H-300-14013-462948,2014-01-31 15:22:25,H-2A,2014-01-13 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-12-31 00:00:00,2014-03-01 00:00:00,2014-12-31 00:00:00,Nelson Farms,532 Big Lake Rd,,Homestead,MT,59242,USA FARM LABOR,MANUEL FICK,WAYNESVILLE,NC,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,2.0,48.0,14.0,Hour,Homestead,MT,Individual Employer
2465,H-300-14013-471994,2014-01-29 10:43:34,H-2A,2014-01-14 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-12-15 00:00:00,2014-03-01 00:00:00,2014-12-15 00:00:00,LB PORK INC.,2106 175TH ST.,,FAIRMONT,MN,56031,"WFDS, LLC",JULIE SCOTT,FERGUS FALLS,MN,Farm Worker,45-2091,Agricultural Equipment Operators,5.0,48.0,11.49,Hour,Fairmont,MN,Individual Employer
