,FY,CASE_NUMBER,DECISION_DATE,VISA_CLASS,SUBMITTED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,TRADE_NAME_DBA,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_POC_EMPLOYER_REP_BY_AGENT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,BASIC_RATE_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,PAY_RANGE_UNIT,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDUCATION,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQUIRED,NUM_MONTHS_TRAINING,NAME_REQUIRED_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
2197,2017,H-400-16321-764862,2017-01-13,H-2B,2016-11-17,Partial Certification,2017-02-15,2017-12-15,"RL Landscape & Design, Inc.",,7673 Chestnut Street,,Zionsville,PA,18092,UNITED STATES OF AMERICA,,610-965-2054,,Y,"MAS Labor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,Landscape Laborers,37-3011,Landscaping and Groundskeeping Workers,561730.0,12.0,11.0,Y,Seasonal,40,08:00 AM,04:30 PM,$14.39,21.59,,Hour,N,,None,,,N,,N,,,N,,Zionsville,Lehigh,PA,18092,Y,,,,
2198,2017,H-400-16321-777870,2017-03-01,H-2B,2017-01-03,Certification,2017-04-01,2017-11-30,"JD Landscaping and Grass Cutting, LLC",,456 N. Lewis Run Road,,Pittsburgh,PA,15122,UNITED STATES OF AMERICA,,412-537-1229,,Y,CDC LABORQUEST,THOMAS ROBINSON,WELLINGTON,FL,LANDSCAPE LABORER,37-3011,Landscaping and Groundskeeping Workers,56173.0,10.0,10.0,Y,Seasonal,40,07:00 AM,04:00 PM,$13.02,19.53,19.53,Hour,N,,None,,,N,,N,,,Y,1.0,Elrama,Washington,PA,15038,Y,,,,
2199,2017,H-400-16321-785252,2017-03-06,H-2B,2017-01-03,Certification,2017-04-01,2017-12-31,"L'Auberge Newco, LLC",L'Auberge De Sedona,301 L'Auberge Lane,,Sedona,AZ,86336,UNITED STATES OF AMERICA,,928-204-4311,,Y,LABORQUEST USA,THOMAS ROBINSON,WELLINGTON,FL,Room Attendant,37-2012,Maids and Housekeeping Cleaners,721110.0,8.0,8.0,Y,Peakload,40,08:00 AM,05:00 PM,$11.,16.5,16.5,Hour,N,,None,,,N,,N,,,Y,1.0,Sedona,Coconino,AZ,86336,N,,,,
2200,2017,H-400-16321-822443,2017-02-09,H-2B,2017-01-01,Certification,2017-04-01,2017-12-10,STONEGATE LANDSCAPE CONSTRUCTION INC,,PO BOX 377,"30 DAWN ROAD, ROCKY POINT NY 11778",EAST SETAUKET,NY,11733,UNITED STATES OF AMERICA,,631-751-0252,,Y,IMMIGRATION USA,LISSETTE HILDESHEIM,PALM CITY,FL,LABORERS,37-3011,Landscaping and Groundskeeping Workers,561730.0,3.0,3.0,Y,Seasonal,35,07:30 AM,04:00 PM,$15.79,23.69,,Hour,N,,None,,,N,,N,,,N,,EAST SETAUKET,SUFFOLK,NY,11733,Y,,,,
2201,2017,H-400-16321-826864,2016-12-21,H-2B,2016-11-17,Partial Certification,2017-02-15,2017-12-14,Landscape Art Inc,,2303 Dickinson Ave,,League City,TX,77573,UNITED STATES OF AMERICA,,281-309-0500,,Y,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,RITA ROMERO,BAY CITY,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,40.0,39.0,Y,Peakload,40,07:00 AM,04:00 PM,$11.76,17.64,22.5,Hour,N,,None,,,N,,N,,,N,,League City,Galveston,TX,77573,Y,,,,
2202,2017,H-400-16321-840477,2016-12-29,H-2B,2016-11-22,Certification,2017-02-20,2017-11-30,"SOUTHERN BOTANICAL, INC.",,1525 HINTON STREET,,DALLAS,TX,75235,UNITED STATES OF AMERICA,,214-366-2103,,Y,PRACTICAL EMPLOYEE SOLUTIONS,Veronica Birkenstock,Frisco,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,50.0,50.0,Y,Peakload,35,06:30 AM,03:00 PM,$12.61,18.92,18.92,Hour,N,,None,,,N,,N,,,N,,Dallas,Dallas,TX,75235,Y,,,,
2203,2017,H-400-16321-857260,2016-12-29,H-2B,2016-11-17,Certification,2017-02-15,2017-12-15,"Nature's Artisans, LLC",,13530 Manor Road,,Baldwin,MD,21013,UNITED STATES OF AMERICA,,443-622-7076,,Y,"MAS LABOR H2B, LLC",Elizabeth Whitley,LOVINGSTON,VA,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,3.0,3.0,Y,Seasonal,40,06:30 AM,03:00 PM,$14.21,21.32,,Hour,N,,None,,,N,,N,,,Y,3.0,Parkton,Baltimore,MD,21120,Y,,,,
2204,2017,H-400-16321-869232,2017-04-11,H-2B,2017-02-01,Certification,2017-05-01,2017-10-15,"GLEN HEAD COUNTRY CLUB, INC.",,240 GLEN COVE ROAD,,GLEN HEAD,NY,11545-2295,UNITED STATES OF AMERICA,,516-676-4050,,Y,"BRODZKI JACOBS & ASSOCIATES, PL",ANDREA JACOBS,CORAL SPRINGS,FL,Food Servers,35-3031,Waiters and Waitresses,713910.0,12.0,12.0,Y,Seasonal,40,10:00 AM,06:00 PM,$12.28,18.42,,Hour,N,,None,,,N,,N,,,N,,GLEN HEAD,NASSAU,NY,11545-2295,N,,,,
2205,2017,H-400-16321-870147,2017-01-25,H-2B,2016-12-12,Certification,2017-03-07,2017-12-31,"BRAMO HOSPITALITY, LLC",Angel Inn; Branson Towers Hotel,236 SHEPHERD OF THE HILLS EXPRESSWAY,,BRANSON,MO,65616,UNITED STATES OF AMERICA,,417-230-7948,,Y,BUTZEL LONG,SCOTT PATTERSON,BLOOMFIELD HILLS,MI,Housekeeper,37-2012,Maids and Housekeeping Cleaners,721110.0,35.0,35.0,Y,Peakload,40,09:00 AM,04:00 PM,$9.29,13.94,13.94,Hour,N,,None,,,N,,N,,,N,,Branson,Taney,MO,65616,Y,,,,
2206,2017,H-400-16321-871576,2017-03-07,H-2B,2017-01-03,Certification,2017-04-01,2017-11-30,"FRESH MEADOW COUNTRY CLUB, INC.",,255 LAKEVILLE ROAD,,LAKE SUCCESS,NY,11020,UNITED STATES OF AMERICA,,516-482-7300,,Y,"BRODZKI JACOBS & ASSOCIATES, PL",ANDREA JACOBS,CORAL SPRINGS,FL,Food Servers,35-3031,Waiters and Waitresses,713910.0,30.0,30.0,Y,Seasonal,40,11:00 AM,07:00 PM,$12.28,18.42,,Hour,N,,None,,,N,,N,,,N,,LAKE SUCCESS,NASSAU,NY,11020,N,,,,
2207,2017,H-400-16321-879011,2017-01-03,H-2B,2016-11-22,Certification,2017-02-05,2017-11-05,"Agave Environmental Contracting, Inc.",,1634 N. 19th Avenue,,Phoenix,AZ,85009,UNITED STATES OF AMERICA,,602-254-1464,,Y,Corporate & Employee Services,Charles Thurgood,Phoenix,AZ,Landscape laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,36.0,36.0,Y,Peakload,40,06:00 AM,02:30 PM,$11.74,17.61,17.61,Hour,N,,None,,None,N,,N,,,Y,3.0,Phoenix,Maricopa,AZ,85009,Y,,,,
2208,2017,H-400-16321-880557,2017-02-16,H-2B,2017-01-02,Certification,2017-04-01,2017-12-15,Mike Spaeder Landscaping Inc.,,718 Old Marple Road,,Springfield,PA,19064,UNITED STATES OF AMERICA,,610-544-1075,0.0,Y,MJC Labor Solutions LLC,Carl Hemphill,Upper Darby,PA,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,6.0,6.0,Y,Seasonal,40,07:00 AM,04:00 PM,$11.97,17.96,,Hour,N,,None,,,N,,N,,,Y,3.0,Springfield,Delaware,PA,19064,Y,,,,
2209,2017,H-400-16321-889749,2017-02-07,H-2B,2017-01-01,Certification,2017-04-01,2017-11-15,HDZ Landscape,,1623 Langston Dr,,Johns Island,SC,29455,UNITED STATES OF AMERICA,,843-696-0906,,Y,LABOR CONSULTANTS INTERNATIONAL,MONICA THODE,COEUR D' ALENE,ID,"Laborer, Landscape",37-3011,Landscaping and Groundskeeping Workers,561730.0,6.0,6.0,Y,Seasonal,35,08:00 AM,04:00 PM,$11.89,17.84,25.91,Hour,N,,None,,,N,,N,,,N,,Johns Island,Charleston,SC,29455,Y,,,,
2210,2017,H-400-16321-919887,2017-01-30,H-2B,2016-12-15,Withdrawn,2017-03-14,2017-12-14,"C and T Lawns, LLC",,2440 Michael Drive,,Southlake,TX,76092,UNITED STATES OF AMERICA,,817-337-7400,,Y,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Landscape Laborers,37-3011,Landscaping and Groundskeeping Workers,561730.0,20.0,,Y,Peakload,40,07:30 AM,04:30 PM,$12.61,18.92,,Hour,N,,None,,,N,,N,,,N,,Southlake,Tarrant,TX,76092,Y,,,,
2211,2017,H-400-16321-926646,2016-12-16,H-2B,2016-11-19,Certification,2017-02-17,2017-11-14,GUADAGNO & SONS AMUSEMENTS,G&S SHOWS,12842 VALLEY VIEW ST. #103,,GARDEN GROVE,CA,92845-0000,UNITED STATES OF AMERICA,,714-893-1336,,Y,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,HARLINGEN,TX,Amusement and Recreation Attendants - Traveling Ca,39-3091,Amusement and Recreation Attendants,711190.0,40.0,40.0,Y,Seasonal,40,01:00 PM,10:00 PM,$10.5,0.0,0.0,Hour,N,,None,,,N,,N,,,N,,Temple City,Los Angeles,CA,91780,Y,,,,
2212,2017,H-400-16321-931775,2017-03-08,H-2B,2017-01-01,Certification,2017-04-01,2017-11-30,Alan Goldberg Racing Stable,,140 Swimming River Road,,Colts Neck,NJ,07722,UNITED STATES OF AMERICA,,908-875-4287,,Y,LAW OFFICES OF RON KATIRAEI,RON KATIRAEI,NEW YORK,NY,Stable Attendant,39-2021,Nonfarm Animal Caretakers,711219.0,10.0,10.0,Y,Peakload,40,05:00 AM,01:00 PM,$12.61,,,Hour,N,,None,,,N,,N,,,Y,1.0,Oceanport,Monmouth,NJ,07757,N,,,,
2213,2017,H-400-16321-934562,2016-12-13,H-2B,2016-11-17,Certification,2017-02-15,2017-11-15,"FUN BIZ CONCESSIONS, INC",,731 ENGEL RD,"(MAIL: 1659 State Hwy 46W, Ste 115 #601, New Braunfels, TX 78132)",NEW BRAUNFELS,TX,78132-0000,UNITED STATES OF AMERICA,,830-708-1359,,Y,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,HARLINGEN,TX,"Counter Attendants, Cafeteria, Food Concessions, a",35-3022,"Counter Attendants, Cafeteria, Food Concession,",713990.0,20.0,20.0,Y,Seasonal,40,01:00 PM,10:00 PM,$8.87,,,Hour,N,,None,,,N,,N,,,N,,New Braunfels,Comal,TX,78132,Y,,,,
2214,2017,H-400-16321-939753,2016-12-27,H-2B,2016-11-16,Certification,2017-02-01,2017-10-31,Galvotec Alloys Inc,,6712 S 36th St,,McAllen,TX,78503,UNITED STATES OF AMERICA,,956-630-3500,,Y,LEFELCO,ARMANDO GARCIA,LAS VEGAS,NV,Production helpers,51-9198,Helpers--Production Workers,331312.0,30.0,30.0,Y,Peakload,40,07:00 AM,03:00 PM,$9.53,,,Hour,N,,None,,,N,,N,,,Y,3.0,McAllen,Hidalgo,TX,78503,N,,,,
2215,2017,H-400-16321-961865,2017-03-08,H-2B,2017-01-04,Certification,2017-04-01,2017-11-30,"Hohman Landscaping, LLC",,2632 Big Sewickley Creek Road,,Sewickley,PA,15143,UNITED STATES OF AMERICA,Allegheny,412-855-6246,,Y,CDC LABORQUEST,THOMAS ROBINSON,WELLINGTON,FL,LANDSCAPE LABORER,37-3011,Landscaping and Groundskeeping Workers,56173.0,10.0,10.0,Y,Seasonal,40,07:00 AM,04:00 PM,$13.02,19.53,19.53,Hour,N,,None,,,N,,N,,,Y,1.0,SEWICKLEY,ALLEGHENY,PA,15143,Y,,,,
2216,2017,H-400-16321-984851,2017-02-28,H-2B,2017-01-03,Certification,2017-04-01,2017-10-31,Trees Inc.,,4363 Sage Meadow Rd. (physical),"PO Box 396, Teton Village, WY 83025 (mailing)",Jackson,WY,83001,UNITED STATES OF AMERICA,,307-733-6563,,Y,NOVAK LAW OFFICE,AMY NOVAK,Vail,CO,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,15.0,15.0,Y,Seasonal,35,08:30 AM,05:00 PM,$15.5,,,Hour,N,,None,,,N,,N,,,N,,Jackson,Teton,WY,83001,Y,,,,
2217,2017,H-400-16321-988774,2016-12-20,H-2B,2016-12-01,Withdrawn,2017-03-01,2017-12-15,"Lakeside Cultural Care Div., Inc.",,751 Cockerham Lane,,Exton,PA,19341,UNITED STATES OF AMERICA,,610-594-9656,,Y,LABOR CONSULTANTS INTERNATIONAL,ZACHARY COOPER,COEUR D' ALENE,ID,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,10.0,,Y,Peakload,35,07:00 AM,07:30 PM,$14.39,21.59,28.5,Hour,N,,None,,,N,,N,,,Y,1.0,Exton,Chester,PA,19341,Y,,,,
2218,2017,H-400-16322-010044,2017-01-10,H-2B,2016-11-18,Certification,2017-02-01,2017-10-31,Cooper Roofing & Solar,,1200 S. Commerce Street,,Las Vegas,NV,89102,UNITED STATES OF AMERICA,,702-688-7940,,Y,"FISHERBROYLES, LLP",KEVIN LASHUS,AUSTIN,TX,Roofer - Helper,47-3016,Helpers--Roofers,2361.0,50.0,50.0,Y,Peakload,40,07:00 AM,03:00 PM,$11.15,16.73,,Hour,N,,None,,,N,,N,,,N,,Las Vegas,Clark,NV,89102,Y,,,,
2219,2017,H-400-16322-011541,2017-01-05,H-2B,2016-11-17,Partial Certification,2017-02-15,2017-12-20,Chris' Lawn Care,"dba CLC, Inc.",5169 Waterlick Road,Mailing: P.O. Box 229  Forest VA 24551,Forest,VA,24551,UNITED STATES OF AMERICA,,434-546-3863,,Y,"MAS Labor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,Grounds/Maintenance Specialist,37-3011,Landscaping and Groundskeeping Workers,561730.0,10.0,7.0,Y,Peakload,40,07:00 AM,03:30 PM,$12.6,18.9,,Hour,N,,None,,,N,,N,,,Y,3.0,Forest,Bedford,VA,24551,Y,,,,
2220,2017,H-400-16322-039111,2016-12-27,H-2B,2016-11-17,Certification,2017-02-15,2017-10-31,"SANDESTIN INVESTMENTS, LLC.",SANDESTIN GOLF AND BEACH RESORT,9300 EMERALD COAST PARKWAY WEST,,MIRAMAR BEACH,FL,32550,UNITED STATES OF AMERICA,,850-267-8292,,Y,"Global Employment Services, Inc",Robert Laltoo,North Bay Village,FL,Cook,35-2014,"Cooks, Restaurant",721110.0,20.0,20.0,Y,Peakload,35,06:00 AM,02:00 PM,$12.6,18.9,,Hour,N,,None,,,N,,N,,,Y,1.0,Miramar Beach,Walton,FL,32550,N,,,,
2221,2017,H-400-16322-040481,2017-04-04,H-2B,2017-01-25,Certification,2017-04-24,2017-10-27,Seasonal Landscapes,,2189 Chamonix Lane (physical),"PO Box 6094, Vail, CO 81658 (mailing)",Vail,CO,81657,UNITED STATES OF AMERICA,,970-390-6479,,Y,NOVAK LAW OFFICE,AMY NOVAK,Vail,CO,Landscape Maintenance Crew Member,37-3011,Landscaping and Groundskeeping Workers,541320.0,5.0,5.0,Y,Seasonal,35,08:00 AM,04:30 PM,$16.04,24.06,24.06,Hour,N,,None,,,N,,N,,,N,,Vail,Eagle,CO,81657,Y,,,,
2222,2017,H-400-16322-042923,2016-12-27,H-2B,2016-11-17,Certification,2017-02-15,2017-12-15,"MEAD TRE & TURF CARE, INC.",,3316 HIPSLEY MILL ROAD,,WOODBINE,MD,21797,UNITED STATES OF AMERICA,,301-854-5990,,Y,WORKFORCE ADVANTAGE,FERNANDO SAENZ,Glen Allen,VA,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,17.0,17.0,Y,Peakload,35,07:00 AM,03:30 PM,$14.21,21.32,21.32,Hour,N,,None,,,N,,N,,,Y,3.0,WOODBINE,HOWARD,MD,21797,Y,,,,
2223,2017,H-400-16322-043228,2017-01-05,H-2B,2016-11-17,Certification,2017-02-15,2017-12-01,SOUTHERN ACRE,,4501 Charlotte Avenue,,Nashville,TN,37209,UNITED STATES OF AMERICA,,615-840-2277,,Y,WORKFORCE ADVANTAGE,FERNANDO SAENZ,Glen Allen,VA,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,5.0,5.0,Y,Peakload,35,06:00 AM,06:00 PM,$12.56,18.84,18.84,Hour,N,,None,,,N,,N,,,Y,3.0,Nashville,Davidson,TN,37209,Y,,,,
2224,2017,H-400-16322-062810,2017-01-19,H-2B,2017-01-01,Withdrawn,2017-04-01,2017-12-31,"Specialty Cheese Company, Inc.",,430 North Main St.,,Reeseville,WI,53579,UNITED STATES OF AMERICA,,920-927-3888,3203.0,Y,PRACTICAL EMPLOYEE SOLUTIONS,Veronica Birkenstock,FRISCO,TX,Cheese Maker Helper,51-3092,Food Batchmakers,311513.0,5.0,,Y,Peakload,35,06:00 AM,02:30 PM,$16.16,24.24,24.24,Hour,N,,None,,,N,,N,,,N,,Reeseville,Dodge,WI,53579,N,,,,
2225,2017,H-400-16322-081843,2016-12-15,H-2B,2016-11-17,Certification,2017-02-13,2017-11-13,Challenger Sports Corp.,Soccer Player Training and Coaching; Soccer Coach Training,8263 Flint Street,,Lenexa,KS,66214,UNITED STATES OF AMERICA,,913-599-4884,232.0,Y,"HIATT,LLC",ROGER HIATT,KANSAS CITY,MO,Soccer Instructor,39-9032,Recreation Workers,61162.0,7.0,7.0,Y,Seasonal,35,02:00 PM,09:00 PM,$15.63,0.0,,Hour,N,,Associate's,,"Phys.Ed., Sports & Leisure, or related area of study",N,,N,,,N,,Federal Way,King,WA,98003,Y,,,,
2226,2017,H-400-16322-091423,2017-02-28,H-2B,2017-01-03,Certification,2017-04-01,2017-10-31,Carnegie Abbey Club Acquisition,Carnegie Abbey Club,125 Cory's Lane,,Portsmouth,RI,02871,UNITED STATES OF AMERICA,Newport,401-682-6000,,Y,CDC LABORQUEST,THOMAS ROBINSON,WELLINGTON,FL,Groundskeeper,37-3011,Landscaping and Groundskeeping Workers,71391.0,10.0,10.0,Y,Seasonal,40,05:00 AM,02:00 PM,$14.43,21.65,21.65,Hour,N,,None,,,N,,N,,,Y,1.0,Portsmouth,Newport,RI,02871-1386,N,,,,
2227,2017,H-400-16322-091526,2016-12-21,H-2B,2016-11-17,Certification,2017-02-01,2017-11-30,"AARK Enterprises, Inc.",,3429 Acy Rd.,,Vernon,FL,32462,UNITED STATES OF AMERICA,,850-535-2227,,Y,"LAW OFFICE OF MICHELE CONTRERAS, LLC",MICHELE CONTRERAS,Cherry Hill,NJ,Landscape Laborer,47-4051,Highway Maintenance Workers,561499.0,5.0,5.0,Y,Peakload,40,07:30 AM,04:30 PM,$15.6,23.4,,Hour,N,,None,,,N,,N,,,Y,4.0,Vernon,Washington,FL,32462,Y,,,,
2228,2017,H-400-16322-100113,2016-12-22,H-2B,2016-11-17,Denied,2017-02-15,2017-11-15,Roadrunner Drywall Corp,,1832 E Deer Valley Rd,,Phoenix,AZ,85024,UNITED STATES OF AMERICA,,480-346-8207,,Y,LEFELCO,ARMANDO GARCIA,LAS VEGAS,NV,Drywall Taper,47-2082,Tapers,238310.0,75.0,,Y,Peakload,40,07:00 AM,03:00 PM,$16.97,25.46,25.46,Hour,N,,None,,,N,,N,,,Y,3.0,Phoenix,Maricopa,AZ,85024,Y,,,,
2229,2017,H-400-16322-101790,2016-12-30,H-2B,2016-11-18,Certification,2017-02-15,2017-12-14,Greenleaf Acquisition Corp.,Greenleaf Landscape Systems and Service,276 Pinebrook Road,,Eatontown,NJ,07724,UNITED STATES OF AMERICA,,732-935-1010,,Y,THE FOWLER LAW FIRM,ENRIQUE MACIEL-MATOS,AUSTIN,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,35.0,35.0,Y,Peakload,40,07:00 AM,04:00 PM,$15.52,23.28,,Hour,N,,None,,,N,,N,,,N,,Eatontown,Monmouth,NJ,07724,Y,,,,
2230,2017,H-400-16322-122808,2017-02-21,H-2B,2017-01-03,Certification,2017-04-01,2017-11-13,Challenger Sports Corp.,,8263 Flint Street,,Lenexa,KS,66214,UNITED STATES OF AMERICA,,913-599-4884,232.0,Y,"PABIAN LAW, LLC",KEITH PABIAN,FRAMINGHAM,MA,Soccer Instructor,39-9032,Recreation Workers,61162.0,5.0,5.0,Y,Seasonal,35,02:00 PM,09:00 PM,$13.68,,,Hour,N,,Associate's,,"Physical Education, Sport & Leisure, or a related field.",N,,N,,,N,,Holbrook,Suffolk,NY,11741,Y,,,,
2231,2017,H-400-16322-125366,2017-01-10,H-2B,2016-11-22,Certification,2017-02-20,2017-11-20,Challenger Sports Corp.,Soccer Player Training and Coaching; Soccer Coach Training,8263 Flint Street,,Lenexa,KS,66214,UNITED STATES OF AMERICA,,913-599-4884,232.0,Y,"HIATT,LLC",ROGER HIATT,KANSAS CITY,MO,Soccer Instructor,39-9032,Recreation Workers,61162.0,15.0,15.0,Y,Seasonal,35,02:00 PM,09:00 PM,$12.91,0.0,,Hour,N,,Associate's,,"Phys.Ed., Sports & Leisure, or related area of study",N,,N,,,N,,Vista,San Diego,CA,92084,Y,,,,
2232,2017,H-400-16322-145043,2017-01-03,H-2B,2016-11-17,Certification,2017-02-15,2017-12-15,Lawns Unlimited Ltd.,,15089 Coastal Highway,,Milton,DE,19968,UNITED STATES OF AMERICA,,302-645-5296,,Y,"WILLIAM VELIE, ATTORNEY AT LAW, PLLC",Craig McDougal,NORMAN,OK,Landscape Worker,37-3011,Landscaping and Groundskeeping Workers,561730.0,8.0,8.0,Y,Seasonal,40,07:00 AM,04:00 PM,$13.16,19.74,19.74,Hour,N,,None,,,N,,N,,,Y,1.0,Milton,Sussex,DE,19968,N,,,,
2233,2017,H-400-16322-157360,2017-03-17,H-2B,2017-01-03,Certification,2017-04-01,2017-12-15,"Southland Landscaping, Inc",,4300 Airline Road,,Eads,TN,38028,UNITED STATES OF AMERICA,,901-461-1000,,Y,LABORQUEST,THOMAS ROBINSON,WELLINGTON,FL,LANDSCAPE LABORER,37-3011,Landscaping and Groundskeeping Workers,56173.0,25.0,25.0,Y,Peakload,40,07:30 AM,04:30 PM,$12.16,18.24,18.24,Hour,N,,None,,,N,,N,,,Y,1.0,Eads,Shelby,TN,38028,Y,,,,
2234,2017,H-400-16322-159311,2016-12-30,H-2B,2016-11-17,Certification,2017-02-15,2017-11-15,"EXEC-U-LAWN LANDSCAPE MGMT, INC.",,17410 CENTRAL AVENUE,,BOWIE,MD,20716,UNITED STATES OF AMERICA,,301-262-4638,,Y,WORKFORCE ADVANTAGE,FERNANDO SAENZ,Glen Allen,VA,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,37.0,37.0,Y,Peakload,35,07:00 AM,03:00 PM,$13.95,20.93,20.93,Hour,N,,None,,,N,,N,,,Y,3.0,BOWIE,PRINCE GEORGE'S,MD,20716,Y,,,,
2235,2017,H-400-16322-190676,2017-01-05,H-2B,2016-11-17,Certification,2017-02-15,2017-11-15,Erickson Framing AZ LLC,,250 N BECK AVE,,CHANDLER,AZ,85226,UNITED STATES OF AMERICA,,480-627-1141,,Y,LEFELCO,ARMANDO GARCIA,LAS VEGAS,NV,Helper of Carpenter,47-3012,Helpers--Carpenters,321214.0,60.0,60.0,Y,Peakload,40,07:00 AM,03:00 PM,$15.81,23.72,23.72,Hour,N,,None,,,N,,N,,,Y,3.0,CHANDLER,MARICOPA,AZ,85226,Y,,,,
2236,2017,H-400-16322-199894,2017-03-16,H-2B,2017-01-03,Partial Certification,2017-04-01,2017-10-20,"The Weisburg Group, Inc.",Weisburg Landscape Maintenance,4450 Mark Dabling Blvd,,Colorado Springs,CO,80907,UNITED STATES OF AMERICA,,719-596-7777,,Y,LABORQUEST,THOMAS ROBINSON,WELLINGTON,FL,LANDSCAPE LABORER,37-3011,Landscaping and Groundskeeping Workers,56173.0,16.0,15.0,Y,Seasonal,40,06:50 AM,04:00 PM,$12.34,18.51,18.51,Hour,N,,None,,,N,,N,,,Y,1.0,Colorado Springs,El Paso,CO,80907,Y,,,,
2237,2017,H-400-16322-224676,2017-03-30,H-2B,2017-01-15,Withdrawn,2017-04-15,2017-11-15,L&A Tent Rentals Inc,,"200 Whitehead Rd, Suite 100",,Hamilton,NJ,08619,UNITED STATES OF AMERICA,,609-584-0054,,Y,FEWA,JAMIE HARGRAVES,BAY CITY,TX,Tent Installers,53-7062,"Laborers and Freight, Stock, and Material Movers,",532299.0,12.0,,Y,Peakload,40,08:00 AM,05:00 PM,$14.9,22.35,,Hour,N,,None,,,N,,N,,,N,,Hamilton,Mercer,NJ,08619,Y,,,,
2238,2017,H-400-16322-242077,2017-02-07,H-2B,2017-01-01,Certification,2017-04-01,2017-11-30,"Program One Professional Building Services, Inc",,960 Rand Road Suite 113C,,Des Plaines,IL,60016,UNITED STATES OF AMERICA,,847-298-5953,,Y,LABOR CONSULTANTS INTERNATIONAL,MONICA THODE,COEUR D' ALENE,ID,Janitors and Cleaners,37-2011,"Janitors and Cleaners, Except Maids and",561720.0,2.0,2.0,Y,Peakload,35,07:00 AM,03:30 PM,$11.16,16.74,27.0,Hour,N,,None,,,N,,N,,,N,,Hutto,Williamson,TX,78634,Y,,,,
2239,2017,H-400-16322-251394,2017-03-01,H-2B,2017-01-03,Partial Certification,2017-04-01,2017-10-31,"Quechee Lakes Landowners' Association, Inc.",,3268 Quechee Main Street,,Quechee,VT,05059,UNITED STATES OF AMERICA,,802-299-2123,,Y,LABORQUEST,THOMAS ROBINSON,WELLINGTON,FL,Golf Course Maintenance Worker,37-3011,Landscaping and Groundskeeping Workers,71391.0,8.0,7.0,Y,Seasonal,40,06:00 AM,02:30 PM,$14.74,22.11,22.11,Hour,N,,None,,,N,,N,,,Y,1.0,Quechee,Windsor,VT,05059,N,,,,
2240,2017,H-400-16322-305889,2016-12-21,H-2B,2016-11-17,Partial Certification,2017-02-15,2017-11-16,"Shane's Lawn Maintenance, Inc",,12124 Mitchell Drive,,Alvarado,TX,76009,UNITED STATES OF AMERICA,,817-473-4764,,Y,THE FOWLER LAW FIRM,ENRIQUE MACIEL-MATOS,AUSTIN,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,17.0,16.0,Y,Peakload,40,08:00 AM,05:00 PM,$12.61,18.92,,Hour,N,,None,,,N,,N,,,N,,Alvarado,Johnson,TX,76009,Y,,,,
