,FY,CASE_NUMBER,DECISION_DATE,VISA_CLASS,SUBMITTED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,NAIC_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDUCATION,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQUIRED,NUM_MONTHS_TRAINING,NAME_REQUIRED_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
1224,2016,H-400-15310-415645,2016-01-07,H-2B,2015-11-06,Certification,2016-02-01 00:00:00,2016-11-01,"Terry's Landscaping & Irrigation, Inc.",338 Rip Rap Road,,Hampton,VA,23669,UNITED STATES OF AMERICA,,757-728-9088,,LABOR CONSULTANTS,ASHLEY WRIGHT,COEUR D'ALENE,ID,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,20.0,20.0,Y,Peakload,$11.8,Hour,17.7,,N,,None,,,N,,N,,,Y,3.0,Hampton,VA,23669,Y,,,,
1225,2016,H-400-15310-460358,2016-01-05,H-2B,2015-11-06,Certification,2016-01-20 00:00:00,2016-10-20,Will Coleman Equestrian,220 Douglas Ave,,Charlottesville,VA,22902,UNITED STATES OF AMERICA,,434-981-1629,,"WILLIAM VELIE, ATTORNEY AT LAW, PLLC",Craig McDougal,NORMAN,OK,Show Horse Groom,39-2021,Nonfarm Animal Caretakers,711212.0,1.0,1.0,Y,Seasonal,$9.39,Hour,14.09,14.09,N,,None,,,N,,N,,,Y,1.0,Gordonsville,VA,22942,N,,,,
1226,2016,H-400-15310-471280,2016-02-05,H-2B,2015-12-17,Certification,2016-03-15 00:00:00,2016-12-15,"Frisella Nursery, Inc.",550 Highway F,,Defiance,MO,63341,UNITED STATES OF AMERICA,,636-798-2555,,"MOLINA IMMIGRATION LAW, LLC",SARAH MOLINA,ST. LOUIS,MO,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,56173.0,16.0,16.0,Y,Peakload,$13.03,Hour,19.55,66.89,N,,None,,,N,,N,,,N,,Defiance,MO,63341,Y,,,,
1227,2016,H-400-15310-482619,2016-02-09,H-2B,2015-12-03,Partial Certification,2016-03-02 00:00:00,2016-11-30,"Jay-Crew Landscape, Inc.",2901 S Gharkey Street,,Muncie,IN,47302,UNITED STATES OF AMERICA,,765-289-5296,,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Landscape Laborers,37-3011,Landscaping and Groundskeeping Workers,561730.0,37.0,26.0,Y,Peakload,$11.98,Hour,17.97,,N,,None,,,N,,N,,,N,,Indianapolis,IN,46231,Y,,,,
1228,2016,H-400-15310-483543,2016-02-16,H-2B,2016-01-02,Partial Certification,2016-04-01 00:00:00,2016-12-19,Gangemi Landscaping Corp,204 Bridgeton Pike,,Mullica Hill,NJ,08062,UNITED STATES OF AMERICA,,856-478-4533,,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,MONSERRAT DANNELS,BAY CITY,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,6.0,5.0,Y,Peakload,$15.11,Hour,22.67,,N,,None,,,N,,N,,,N,,Mullica Hill,NJ,08062,Y,,,,
1229,2016,H-400-15310-528130,2016-01-15,H-2B,2015-11-10,Certification Expired,2016-02-08 00:00:00,2016-09-30,"Diversified Labor, LLC - Loxahatchee Group",2600 Overlook Drive,"mailing: P.O. Box 747,  Winter Haven, FL 33882",Winter Haven,FL,33884,UNITED STATES OF AMERICA,,863-324-2100,,"MAS Labor H2B, LLC",Elizabeth Whitley,LOVINGSTON,VA,Hand Crew Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,36.0,36.0,Y,Seasonal,$12.69,Hour,19.04,,N,,None,,,N,,N,,,N,,Parkland,FL,33076,Y,,,,
1230,2016,H-400-15310-528343,2016-01-27,H-2B,2015-11-06,Partial Certification,2016-02-01 00:00:00,2016-10-31,Silver Lake Construction Company,4495 W Hacienda Ave Suite 9,,Las Vegas,NV,89118,UNITED STATES OF AMERICA,,702-888-3900,,FOREMEN LLC,IRIS JUAREZ,PHOENIX,AZ,Production helpers,51-9198,Helpers--Production Workers,238140.0,30.0,28.0,Y,Peakload,$12.06,Hour,,,N,,None,,,N,,N,,,Y,3.0,Las Vegas,NV,89118,Y,,,,
1231,2016,H-400-15310-604381,2016-02-26,H-2B,2016-01-02,Partial Certification,2016-04-01 00:00:00,2016-12-01,"Earthworks, Inc.",12105 E FM 917,,Alvarado,TX,76009,UNITED STATES OF AMERICA,,817-477-3910,,"THE KERSHAW LAW FIRM, PC",ROBERT KERSHAW,AUSTIN,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,120.0,118.0,Y,Peakload,$11.63,Hour,17.45,22.5,N,,None,,,N,,N,,,N,,Alvarado,TX,76009,Y,,,,
1232,2016,H-400-15310-642764,2016-03-29,H-2B,2016-01-04,Certification,2016-04-01 00:00:00,2016-11-30,"BLOOMINGS LAND AND TURF MANAGEMENT, INC",5824 Bee Ridge Suite 165,,SARASOTA,FL,34233,UNITED STATES OF AMERICA,,941-927-9765,,"LAW OFFICES OF GABRIELA RIZA, P.A.",GABRIELA RIZA,SARASOTA,FL,LANDSCAPING AND GROUNDSKEEPING WORKERS,37-3011,Landscaping and Groundskeeping Workers,561730.0,36.0,36.0,Y,Seasonal,$11.25,Hour,,,N,,High School/GED,,,N,,N,,,N,,SARASOTA,FL,34233,N,,,,
1233,2016,H-400-15310-662275,2016-03-03,H-2B,2016-01-03,Withdrawn,2016-04-01 00:00:00,2016-11-15,"PT Landscape, LLC",180 Charter Place,,LaVergne,TN,37086,UNITED STATES OF AMERICA,,724-766-7396,,"THE KERSHAW LAW FIRM, PC",ROBERT KERSHAW,AUSTIN,TX,Landscape laborer,37-3011,Landscaping and Groundskeeping Workers,551112.0,20.0,,Y,Peakload,$12.02,Hour,18.03,22.5,N,,None,,,N,,N,,,Y,2.0,LaVergne,TN,37086,Y,,,,
1234,2016,H-400-15310-722218,2016-01-11,H-2B,2015-11-06,Certification,2016-02-04 00:00:00,2016-11-03,"Total Environment, Inc.",16301 N. Rockwell Ave.,,Edmond,OK,73013,UNITED STATES OF AMERICA,,405-285-7275,,"THE FOWLER LAW FIRM, PC",DANIEL KOWALSKI,AUSTIN,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,60.0,60.0,Y,Peakload,$12.31,Hour,18.47,,N,,None,,,N,,N,,,N,,Edmond,OK,73013,Y,,,,
1235,2016,H-400-15310-738345,2016-01-05,H-2B,2015-11-06,Certification,2016-02-01 00:00:00,2016-10-31,"Papescapes, LLC",75 Memory Lane,,BURTON,TX,77835,UNITED STATES OF AMERICA,,979-289-0436,,ACTION VISA ASSISTANCE,LORI WHITTEN,WYLIE,TX,LANDSCAPE LABORER,37-3011,Landscaping and Groundskeeping Workers,561730.0,6.0,6.0,Y,Peakload,$11.31,Hour,16.97,,N,,None,,,N,,N,,,N,,BURTON,TX,77835,Y,,,,
1236,2016,H-400-15310-815088,2016-02-10,H-2B,2015-11-06,Denied,2015-12-15 00:00:00,2016-09-14,"RIO CHICO, INC.",660 LONG POINT ROAD,,MOUNT PLEASANT,SC,29464,UNITED STATES OF AMERICA,,321-253-5673,,DAVID H FROST ATTORNEY AT LAW,DAVID FROST,DANIEL ISLAND,SC,SPECIALTY CHEF INSTRUCTOR,35-1011,Chefs and Head Cooks,722511.0,3.0,,Y,One-Time Occurrence,,,,,N,,None,,,N,,Y,12.0,MEXICAN FOOD PREP &COOK,Y,12.0,MOUNT PLEASANT,SC,29464,N,,,,
1237,2016,H-400-15310-830244,2016-01-13,H-2B,2015-11-06,Certification,2016-02-01 00:00:00,2016-10-31,Sombrero Construction LLC,14575 W La Estrella Suite C,,Goodyear,AZ,85338,UNITED STATES OF AMERICA,,623-932-1774,,FOREMEN LLC,IRIS JUAREZ,PHOENIX,AZ,Production Helper,51-9198,Helpers--Production Workers,321214.0,30.0,30.0,Y,Peakload,$12.01,Hour,,,N,,None,,,N,,N,,,Y,3.0,Goodyear,AZ,85338,Y,,,,
1238,2016,H-400-15310-888037,2016-01-06,H-2B,2015-11-16,Certification,2016-02-01 00:00:00,2016-10-31,Boreal Property Managment,8000 S. US Hwy 89,,Jackson,WY,83001,UNITED STATES OF AMERICA,,307-730-2508,,LABOR CONSULTANTS INTERNATIONAL,KELLEY HAMMEREN,COEUR D ALENE,ID,Landscape & Groundskeeper,37-3011,Landscaping and Groundskeeping Workers,561730.0,6.0,6.0,Y,Seasonal,$15.14,Hour,22.71,22.71,N,,None,,,N,,N,,,N,,Jackson,WY,83001,Y,,,,
1239,2016,H-400-15310-913336,2016-02-22,H-2B,2016-01-02,Certification,2016-04-01 00:00:00,2016-12-31,"KraftSouth, Inc.",36 Woodstock Street,,Roswell,GA,30075,UNITED STATES OF AMERICA,,770-642-7713,,FEDERATION OF EMPLOYERS & WORKERS OF AMERICA,MONSERRAT DANNELS,BAY CITY,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,15.0,15.0,Y,Peakload,$12.39,Hour,18.59,18.75,N,,None,,,N,,N,,,N,,Roswell,GA,30075,Y,,,,
1240,2016,H-400-15310-923655,2016-03-31,H-2B,2016-01-19,Certification,2016-04-15 00:00:00,2017-01-15,Tribal Casino Gaming Enterprise,777 Casino Drive,,Cherokee,NC,28719,UNITED STATES OF AMERICA,,828-497-7777,,"FRAGOMEN DEL REY BERNSEN AND LOEWY, LLP",JENNIFER ESTRELLA,CORAL GABLES,FL,Room Attendant,37-2012,Maids and Housekeeping Cleaners,721120.0,56.0,56.0,Y,Peakload,$10.,Hour,15.0,,N,,None,,,N,,N,,,N,,Cherokee,NC,28719,N,,,,
1241,2016,H-400-15310-927422,2015-12-29,H-2B,2015-11-06,Withdrawn,2016-02-01 00:00:00,2016-10-31,B/H Drywall and Stucco Co Inc.,627 W Commerce Ave.,,Gilbert,AZ,85233,UNITED STATES OF AMERICA,,480-892-5566,,FOREMEN LLC,IRIS JUAREZ,PHOENIX,AZ,Production Helpers,51-9198,Helpers--Production Workers,238310.0,30.0,,Y,Peakload,$12.01,Hour,,,N,,None,,,N,,N,,,Y,3.0,Gilbert,AZ,85233,Y,,,,
1242,2016,H-400-15310-943453,2016-01-06,H-2B,2015-12-18,Withdrawn,2016-04-01 00:00:00,2016-10-31,"LARA BROTHERS, LTD",146 TIMBERLINE DRIVE,,CASTLE ROCK,WA,98611,UNITED STATES OF AMERICA,,360-274-3161,,"PARKER, BUTTE & LANE PC",GRETEL NESS,PORTLAND,OR,Reforestation Laborer,45-4011,Forest and Conservation Workers,115310.0,30.0,,Y,Seasonal,$14.47,Hour,,,N,,None,,,N,,N,,,Y,6.0,Orofino,ID,83544,Y,,,,
1243,2016,H-400-15310-991499,2016-02-08,H-2B,2016-01-02,Withdrawn,2016-04-01 00:00:00,2016-12-01,"Builders and Landscaping Services, Inc.",2620 FM 1460,,Georgetown,TX,78626,UNITED STATES OF AMERICA,,512-930-9975,,"THE KERSHAW LAW FIRM, PC",ROBERT KERSHAW,AUSTIN,TX,Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,6.0,,Y,Peakload,$11.84,Hour,17.76,22.5,N,,None,,,N,,N,,,N,,Georgetown,TX,78626,Y,,,,
1244,2016,H-400-15311-699113,2016-02-01,H-2B,2015-11-17,Partial Certification,2016-02-15 00:00:00,2016-11-15,Richmond & Associates Landscaping,11359 Kline Drive,,Dallas,TX,75229,UNITED STATES OF AMERICA,,972-488-4769,,PRACTICAL EMPLOYEE SOLUTIONS,VERONICA STRICKLAND-BIRKENSTOCK,FRISCO,TX,Tree Trimmers & Pruners,37-3013,Tree Trimmers and Pruners,561730.0,80.0,79.0,Y,Peakload,$10.68,Hour,16.02,16.02,N,,None,,,N,,N,,,N,,Dallas,TX,75229,Y,,,,
1245,2016,H-400-15311-811017,2016-01-21,H-2B,2015-11-07,Certification,2016-02-03 00:00:00,2016-10-02,JUST FOR FUN RIDES INC.,4083 CARLSBAD DRIVE,,LAKE HAVASU CITY,AZ,86406,UNITED STATES OF AMERICA,,360-903-6522,,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,HARLINGEN,TX,Amusement and Recreation Attendants - Traveling Ca,39-3091,Amusement and Recreation Attendants,713990.0,8.0,8.0,Y,Seasonal,$346.,Week,,,N,,None,,,N,,N,,,N,,Lake Havasu City,AZ,86406,Y,,,,
1246,2016,H-400-15312-035216,2016-02-24,H-2B,2016-01-02,Certification,2016-04-01 00:00:00,2016-10-31,Country Club of the Rockies,36707 Hwy 6 & 24,"Mailing: PO Box 481, Edwards, CO 81632",Edwards,CO,81632,UNITED STATES OF AMERICA,,970-926-3485,,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,713910.0,21.0,21.0,Y,Seasonal,$15.11,Hour,22.67,,N,,None,,,N,,N,,,N,,Edwards,CO,81632,N,,,,
1247,2016,H-400-15312-079893,2016-02-24,H-2B,2015-12-16,Partial Certification,2016-03-15 00:00:00,2016-12-14,Aqua-Lawn Inc,242 Kings Hwy Cutoff,,Fairfield,CT,06824,UNITED STATES OF AMERICA,,203-367-7444,,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,10.0,9.0,Y,Peakload,$16.47,Hour,24.71,,N,,None,,,N,,N,,,Y,3.0,Fairfield,CT,06824,Y,,,,
1248,2016,H-400-15312-138457,2016-01-06,H-2B,2015-11-08,Partial Certification,2016-02-06 00:00:00,2016-11-06,"THOMAS CARNIVAL, INC",4508 CLIFFSTONE COVE,"[MAIL: PO BOX 92469, AUSTIN, TX 78709]",AUSTIN,TX,78735,UNITED STATES OF AMERICA,,512-282-4442,,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,HARLINGEN,TX,Amusement and Recreation Attendants - Traveling Ca,39-3091,Amusement and Recreation Attendants,713990.0,50.0,49.0,Y,Seasonal,$327.2,Week,,,N,,None,,,N,,N,,,N,,Cedar Creek,TX,78612,Y,,,,
1249,2016,H-400-15312-142167,2016-02-02,H-2B,2015-12-16,Certification,2016-03-15 00:00:00,2016-12-14,Borst Landscape & Design Inc,"260 W. Crescent Ave., Ste 1",,Allendale,NJ,07401,UNITED STATES OF AMERICA,,201-785-9400,,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,14.0,14.0,Y,Peakload,$15.96,Hour,23.94,,N,,None,,,N,,N,,,N,,Allendale,NJ,07401,Y,,,,
1250,2016,H-400-15312-187494,2016-02-02,H-2B,2015-11-18,Partial Certification,2016-02-15 00:00:00,2016-11-15,"WINDRIDGE LANDSCAPING COMPANY, INC",7150 ROCKFISH VALLEY HIGHWAY,,AFTON,VA,22920,UNITED STATES OF AMERICA,,434-361-1588,,WORKFORCE ADVANTAGE,FERNANDO SAENZ,MECHANICSVILLE,VA,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,10.0,9.0,Y,Peakload,$13.75,Hour,20.63,22.13,N,,None,,,N,,N,,,Y,3.0,AFTON,VA,22920,Y,,,,
1251,2016,H-400-15312-193456,2016-03-23,H-2B,2015-11-23,Certification,2016-03-23 00:00:00,2016-11-15,"TOADFLAX NURSERY, LLC",1621 ROUTE 9,,FORT EDWARD,NY,12828,UNITED STATES OF AMERICA,,518-793-2886,,WORKFORCE ADVANTAGE,FERNANDO SAENZ,MECHANICSVILLE,VA,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,10.0,10.0,Y,Peakload,$13.08,Hour,19.62,21.0,N,,None,,,N,,N,,,Y,3.0,FORT EDWARD,NY,12828,Y,,,,
1252,2016,H-400-15312-316632,2016-04-15,H-2B,2015-11-08,Certification,2016-04-15 00:00:00,2016-10-31,Erickson Framing AZ LLC,250 N Beck Ave,,Chandler,AZ,85226,UNITED STATES OF AMERICA,,480-627-1141,,FOREMEN LLC,IRIS JUAREZ,PHOENIX,AZ,Helper of carpenter,47-3012,Helpers--Carpenters,321214.0,60.0,60.0,Y,Peakload,$14.39,Hour,,,N,,None,,,N,,N,,,Y,3.0,Chandler,AZ,85226,Y,,,,
1253,2016,H-400-15312-375748,2016-02-18,H-2B,2015-12-08,Certification,2016-03-07 00:00:00,2016-12-06,Landscape Management Company,2434 Hilton Way,"Mailing: PO Box 45, Gainesville, GA 30503",Gainesville,GA,30501,UNITED STATES OF AMERICA,,770-536-5044,,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,36.0,36.0,Y,Peakload,$12.39,Hour,18.59,,N,,None,,,N,,N,,,N,,Gainesville,GA,30501,Y,,,,
1254,2016,H-400-15312-486706,2016-01-13,H-2B,2015-11-18,Certification,2016-02-15 00:00:00,2016-11-15,"WENTWORTH NURSERY, INC.",41170 OAKVILLE ROAD,,MECHANICSVILLE,MD,20659,UNITED STATES OF AMERICA,,301-373-9245,,WORKFORCE ADVANTAGE,FERNANDO SAENZ,MECHANICSVILLE,VA,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,25.0,25.0,Y,Peakload,$13.1,Hour,19.65,21.75,N,,None,,,N,,N,,,Y,3.0,MECHANICSVILLE,MD,20659,Y,,,,
1255,2016,H-400-15312-618909,2016-02-12,H-2B,2015-12-10,Certification,2016-03-09 00:00:00,2016-12-08,West Slope Construction Inc,73 West Parkway,,Pompton Plains,NJ,07444,UNITED STATES OF AMERICA,,973-831-9118,,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,Landscape Laborers,37-3011,Landscaping and Groundskeeping Workers,561730.0,5.0,5.0,Y,Peakload,$15.96,Hour,0.0,,N,,None,,,N,,N,,,N,,Northvale,NJ,07647,Y,,,,
1256,2016,H-400-15312-686264,2016-01-14,H-2B,2015-11-20,Certification,2016-02-15 00:00:00,2016-11-15,"EXEC-U-LAWN LANDSCAPE MAGMT, INC.",17410 CENTRAL AVENUE,,BOWIE,MD,20716,UNITED STATES OF AMERICA,,301-262-4638,,WORKFORCE ADVANTAGE,FERNANDO SAENZ,MECHANICSVILLE,VA,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,35.0,35.0,Y,Peakload,$13.1,Hour,19.65,23.25,N,,None,,,N,,N,,,Y,3.0,BOWIE,MD,20716,Y,,,,
1257,2016,H-400-15312-702690,2016-01-12,H-2B,2015-11-08,Certification,2016-02-06 00:00:00,2016-11-06,LOUIS & CLAIRE CONCESSIONS LLC,3010 GOVALLE AVE,"(MAIL: P.O. BOX 90816. AUSTIN, TX. 78709)",AUSTIN,TX,78702,UNITED STATES OF AMERICA,,512-619-2510,,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,HARLINGEN,TX,Amusement and Recreation Attendants - Traveling Ca,39-3091,Amusement and Recreation Attendants,713990.0,16.0,16.0,Y,Seasonal,$327.2,Week,,,N,,None,,,N,,N,,,N,,Cedar Creek,TX,78612,Y,,,,
1258,2016,H-400-15312-801133,2016-01-07,H-2B,2015-11-09,Certification,2016-02-02 00:00:00,2016-11-01,"Countryside Nursery & Landscape, Inc.",13292 Pond Springs Rd,,Austin,TX,78729,UNITED STATES OF AMERICA,,512-249-0100,,"THE FOWLER LAW FIRM, PC",DANIEL KOWALSKI,AUSTIN,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,30.0,30.0,Y,Peakload,$11.84,Hour,17.76,,N,,None,,,N,,N,,,N,,Austin,TX,78729,Y,,,,
1259,2016,H-400-15312-858157,2016-02-10,H-2B,2015-11-18,Certification,2016-02-15 00:00:00,2016-11-15,ACTIVE LAWN MAINTENANCE,241 MARLENE STREET,,VIRGINIA BEACH,VA,23452,UNITED STATES OF AMERICA,,757-239-3332,,WORKFORCE ADVANTAGE,FERNANDO SAENZ,MECHANICSVILLE,VA,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,10.0,10.0,Y,Peakload,$11.8,Hour,17.7,20.25,N,,None,,,N,,N,,,Y,3.0,VIRGINIA BEACH,VA,23452,Y,,,,
1260,2016,H-400-15312-888046,2016-01-07,H-2B,2015-11-18,Certification,2016-02-15 00:00:00,2016-11-15,"MEAD TRE & TURF CARE, INC.",3316 HIPSLEY MILL ROAD,,WOODBINE,MD,21797,UNITED STATES OF AMERICA,,301-854-5990,,WORKFORCE ADVANTAGE,FERNANDO SAENZ,MECHANICSVILLE,VA,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,15.0,15.0,Y,Peakload,$13.69,Hour,20.54,22.5,N,,None,,,N,,N,,,Y,3.0,WOODBINE,MD,21797,Y,,,,
1261,2016,H-400-15312-928712,2016-02-05,H-2B,2015-12-16,Certification,2016-03-14 00:00:00,2016-10-31,"Artisan Landscape Group, LLC",4011 Armory Oaks Dr,,Nashville,TN,37204,UNITED STATES OF AMERICA,,615-776-7456,,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,25.0,25.0,Y,Peakload,$12.02,Hour,18.03,,N,,None,,,N,,N,,,N,,Nolensville,TN,37135,Y,,,,
1262,2016,H-400-15312-996855,2016-01-26,H-2B,2015-11-18,Certification,2016-02-15 00:00:00,2016-11-15,CCG GREENERY INC,44222 GREENERY LANE,,HOLLYWOOD,MD,20636,UNITED STATES OF AMERICA,,301-373-2596,,WORKFORCE ADVANTAGE,FERNANDO SAENZ,MECHANICSVILLE,VA,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,7.0,7.0,Y,Peakload,$12.45,Hour,18.68,24.0,N,,None,,,N,,N,,,Y,3.0,HOLLYWOOD,MD,20636,Y,,,,
1263,2016,H-400-15313-020088,2016-01-15,H-2B,2015-11-20,Certification,2016-02-15 00:00:00,2016-11-14,Villanueva Masonry,502 South Stonewall St.,,Midland,TX,79701,UNITED STATES OF AMERICA,,432-770-6545,,F.E.W.A.,RITA ROMERO,BAY CITY,TX,Mason Helper,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons,",238140.0,18.0,18.0,Y,Peakload,$13.19,Hour,19.79,25.5,N,,None,,,N,,N,,,N,,Midland,TX,79701,Y,,,,
1264,2016,H-400-15313-025948,2016-01-06,H-2B,2015-11-09,Certification,2016-02-01 00:00:00,2016-10-31,Lawns Unlimited,1613 Troy Rd.,,New Iberia,LA,70563,UNITED STATES OF AMERICA,,337-380-3627,,"Foreign Labor Solutions, L.L.C.",Jackie Mitchell,Baton Rouge,LA,Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,6.0,6.0,Y,Peakload,$10.65,Hour,15.97,,N,,None,,,N,,N,,,Y,1.0,New Iberia,LA,70563,Y,Louisiana Department of Labor,,,
1265,2016,H-400-15313-031789,2016-03-29,H-2B,2016-01-11,Certification,2016-04-01 00:00:00,2016-12-15,Shepherd's Landscape Maintenance LLC,"P. O. Box 681448, Charlotte, NC  28216 (mailing)",122 Lumber Lane (physical),Mt. Holly,NC,28120,UNITED STATES OF AMERICA,,704-820-3022,,THE LABOR COMPANY LLC,EVELYN WRIGHT,AMHERST,VA,Landscape laborers,37-3011,Landscaping and Groundskeeping Workers,561730.0,11.0,11.0,Y,Seasonal,$11.3,Hour,16.95,16.95,N,,None,,,N,,N,,,N,,Mt. Holly,NC,28120,Y,,,,
1266,2016,H-400-15313-059900,2016-01-15,H-2B,2015-11-10,Certification,2016-02-08 00:00:00,2016-11-18,"Diversified Labor, LLC - Mine Group",2600 Overlook Drive,mailing: P.O. Box 747  Winter Haven FL 33882,Winter Haven,FL,33884,UNITED STATES OF AMERICA,,863-324-2100,,"MAS Labor H-2B, LLC",Elizabeth Whitley,LOVINGSTON,VA,Hand Crew Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,43.0,43.0,Y,Seasonal,$11.61,Hour,17.42,,N,,None,,,N,,N,,,N,,Wauchula,FL,33833,Y,,,,
1267,2016,H-400-15313-066913,2016-01-07,H-2B,2015-11-09,Certification,2016-01-24 00:00:00,2016-10-24,"B & J CONCESSIONS, LLC",7133 W. CARIBBEAN LANE,,PEORIA,AZ,85381-0000,UNITED STATES OF AMERICA,,623-326-9622,0.0,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,HARLINGEN,TX,Amusement and Recreation Attendant,39-3091,Amusement and Recreation Attendants,713990.0,5.0,5.0,Y,Seasonal,$9.04,Hour,0.0,0.0,N,,None,,None,N,,N,,,N,,Scottsdale,AZ,85260,Y,,,,
1268,2016,H-400-15313-112777,2016-03-18,H-2B,2016-01-05,Certification,2016-04-01 00:00:00,2016-11-15,"Colorado Alpines, Inc.",33601 Highway 6,,Edwards,CO,81632,UNITED STATES OF AMERICA,,970-926-5504,,NOVAK LAW OFFICE,AMY NOVAK,VAIL,CO,Landscaper,37-3011,Landscaping and Groundskeeping Workers,561730.0,10.0,10.0,Y,Peakload,$15.11,Hour,22.66,22.66,N,,None,,None,N,,N,,,N,,Edwards,CO,81631,Y,,,,
1269,2016,H-400-15313-204692,2015-12-07,H-2B,2015-11-09,Denied,2015-12-01 00:00:00,2016-04-30,"MOUNTAIN PROPERTY MANAGEMENT, INC",PO BOX 177,PO BOX 177,GALLATIN GATEWAY,MT,59730,UNITED STATES OF AMERICA,,406-995-2828,,,,,,Housekeeper,37-1011,First-Line Supervisors of Housekeeping and,56172.0,1.0,,N,Seasonal,$12.,Hour,18.0,,N,,None,,,N,,N,,,N,,Big Sky,MT,59716,N,,,,
1270,2016,H-400-15313-247010,2016-03-31,H-2B,2016-01-02,Partial Certification,2016-04-01 00:00:00,2016-12-23,Double A Contracting LP,6865 West 29th St,,Odessa,TX,79764,UNITED STATES OF AMERICA,,432-385-0348,,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,MONSERRAT DANNELS,BAY CITY,TX,Highway Maintenance Worker,47-4051,Highway Maintenance Workers,237310.0,18.0,16.0,Y,Peakload,$17.45,Hour,26.18,,N,,None,,,N,,N,,,Y,3.0,Odessa,TX,79764,Y,,,,
